layer,head,fact_block,position,distance,evals,qk_passes,scored,families,frequency,strength_first,strength_last
0,0,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,0,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,0,demo,demo,previous,8544,0,0,0,0.0,,
0,0,demo,demo,self,8544,0,0,0,0.0,,
0,0,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,0,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,0,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,0,test,test_other,previous,2136,0,0,0,0.0,,
0,0,test,test_other,self,2136,0,0,0,0.0,,
0,1,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,1,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,1,demo,demo,previous,8544,0,0,0,0.0,,
0,1,demo,demo,self,8544,0,0,0,0.0,,
0,1,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,1,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,1,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,1,test,test_other,previous,2136,0,0,0,0.0,,
0,1,test,test_other,self,2136,0,0,0,0.0,,
0,2,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,2,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,2,demo,demo,previous,8544,1662,1662,84,0.19452247191011235,0.04547508141162069,0.03401580952202047
0,2,demo,demo,self,8544,0,0,0,0.0,,
0,2,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,2,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,2,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,2,test,test_other,previous,2136,234,234,35,0.10955056179775281,0.002470664792812557,0.012210637780750154
0,2,test,test_other,self,2136,0,0,0,0.0,,
0,3,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,3,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,3,demo,demo,previous,8544,0,0,0,0.0,,
0,3,demo,demo,self,8544,0,0,0,0.0,,
0,3,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,3,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,3,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,3,test,test_other,previous,2136,0,0,0,0.0,,
0,3,test,test_other,self,2136,0,0,0,0.0,,
0,4,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,4,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,4,demo,demo,previous,8544,0,0,0,0.0,,
0,4,demo,demo,self,8544,0,0,0,0.0,,
0,4,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,4,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,4,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,4,test,test_other,previous,2136,0,0,0,0.0,,
0,4,test,test_other,self,2136,0,0,0,0.0,,
0,5,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,5,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,5,demo,demo,previous,8544,0,0,0,0.0,,
0,5,demo,demo,self,8544,0,0,0,0.0,,
0,5,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,5,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,5,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,5,test,test_other,previous,2136,0,0,0,0.0,,
0,5,test,test_other,self,2136,0,0,0,0.0,,
0,6,demo,answer_prediction,distance_ge_2,8544,0,0,0,0.0,,
0,6,demo,demo,distance_ge_2,1000158,0,0,0,0.0,,
0,6,demo,demo,previous,8544,0,0,0,0.0,,
0,6,demo,demo,self,8544,0,0,0,0.0,,
0,6,demo,test_other,distance_ge_2,451008,0,0,0,0.0,,
0,6,test,answer_prediction,distance_ge_2,2136,0,0,0,0.0,,
0,6,test,test_other,distance_ge_2,57551,0,0,0,0.0,,
0,6,test,test_other,previous,2136,0,0,0,0.0,,
