layer,head,variant,evals,qk_passes,freq,n_a,strength_first,strength_last,null_tok10,null_random
0,0,base,513588,0,0,0,0,0,0,0
0,0,corrupted,513588,0,0,0,0,0,0,0
0,0,reorder,513581,0,0,0,0,0,0,0
0,1,base,513588,0,0,0,0,0,0,0
0,1,corrupted,513588,0,0,0,0,0,0,0
0,1,reorder,513581,0,0,0,0,0,0,0
0,2,base,513588,632,0.00123056,632,0.0401501,0.0313531,0.0217404,0.0297029
0,2,corrupted,513588,632,0.00123056,632,0.0401967,0.0312672,0.0217471,0.0306381
0,2,reorder,513581,632,0.00123058,632,0.0401558,0.0313538,0.0217367,0.0345155
0,3,base,513588,0,0,0,0,0,0,0
0,3,corrupted,513588,0,0,0,0,0,0,0
0,3,reorder,513581,0,0,0,0,0,0,0
0,4,base,513588,0,0,0,0,0,0,0
0,4,corrupted,513588,0,0,0,0,0,0,0
0,4,reorder,513581,0,0,0,0,0,0,0
0,5,base,513588,0,0,0,0,0,0,0
0,5,corrupted,513588,0,0,0,0,0,0,0
0,5,reorder,513581,0,0,0,0,0,0,0
0,6,base,513588,0,0,0,0,0,0,0
0,6,corrupted,513588,0,0,0,0,0,0,0
0,6,reorder,513581,0,0,0,0,0,0,0
0,7,base,513588,218,0.000424465,218,0.00265226,0.00852871,0.0277827,0.0239334
0,7,corrupted,513588,218,0.000424465,218,0.0025797,0.00788053,0.0277969,0.0223956
0,7,reorder,513581,218,0.000424471,218,0.00264042,0.00850329,0.0277498,0.0207596
0,8,base,513588,0,0,0,0,0,0,0
0,8,corrupted,513588,0,0,0,0,0,0,0
0,8,reorder,513581,0,0,0,0,0,0,0
0,9,base,513588,0,0,0,0,0,0,0
0,9,corrupted,513588,0,0,0,0,0,0,0
0,9,reorder,513581,0,0,0,0,0,0,0
0,10,base,513588,0,0,0,0,0,0,0
0,10,corrupted,513588,0,0,0,0,0,0,0
0,10,reorder,513581,0,0,0,0,0,0,0
0,11,base,513588,0,0,0,0,0,0,0
0,11,corrupted,513588,0,0,0,0,0,0,0
0,11,reorder,513581,0,0,0,0,0,0,0
0,12,base,513588,0,0,0,0,0,0,0
0,12,corrupted,513588,0,0,0,0,0,0,0
0,12,reorder,513581,0,0,0,0,0,0,0
0,13,base,513588,0,0,0,0,0,0,0
