head,flat_id,attribution_pairs,exact_pairs,exact_families,old_extension,selection_reasons
L1H27,59,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.032518590086318244, ""events"": 411, ""families"": 84}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 9, ""score"": 0.015929036874660973, ""events"": 411, ""families"": 84}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 1, ""score"": 0.032517891305427635, ""events"": 269, ""families"": 75}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 10, ""score"": 0.0030032779434674283, ""events"": 269, ""families"": 75}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 3, ""score"": 0.01750819784279358, ""events"": 269, ""families"": 75}]"
L2H21,85,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.02539669153365222, ""events"": 93, ""families"": 22}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 10, ""score"": 0.017743605308279717, ""events"": 93, ""families"": 22}]"
L2H22,86,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 5, ""score"": 0.0085262415646058, ""events"": 30, ""families"": 13}]"
L4H0,128,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 9, ""score"": 0.007005810148669644, ""events"": 130, ""families"": 27}]"
L5H18,178,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 6, ""score"": 0.0040988170650846775, ""events"": 45, ""families"": 14}]"
L6H2,194,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 10, ""score"": 0.0066829417055414885, ""events"": 927, ""families"": 89}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 7, ""score"": 0.006648067789064001, ""events"": 411, ""families"": 85}]"
L6H24,216,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.023008441053503675, ""events"": 246, ""families"": 75}]"
L7H18,242,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 10, ""score"": 0.023035192545640782, ""events"": 528, ""families"": 88}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 9, ""score"": 0.02249704230304236, ""events"": 375, ""families"": 88}]"
L7H25,249,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 4, ""score"": 0.005098206787240795, ""events"": 23, ""families"": 15}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 4, ""score"": 0.026101408578041527, ""events"": 23, ""families"": 15}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 8, ""score"": 0.017641917955026856, ""events"": 23, ""families"": 15}]"
L8H8,264,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 1, ""score"": 0.014273123016170999, ""events"": 30, ""families"": 13}]"
L8H15,271,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 10, ""score"": 0.014189359457782918, ""events"": 448, ""families"": 81}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 10, ""score"": 0.015469399430522961, ""events"": 42, ""families"": 28}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 6, ""score"": 0.012119294005173116, ""events"": 42, ""families"": 28}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 4, ""score"": 0.00814213326210966, ""events"": 31, ""families"": 23}]"
L8H16,272,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 7, ""score"": 0.003968464997193457, ""events"": 64, ""families"": 38}]"
L9H6,294,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 6, ""score"": 0.02436363533435559, ""events"": 72, ""families"": 22}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 2, ""score"": 0.011549985932939353, ""events"": 46, ""families"": 18}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 5, ""score"": 0.02436363533435559, ""events"": 72, ""families"": 22}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 6, ""score"": 0.021325770183466375, ""events"": 72, ""families"": 22}]"
L9H16,304,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 7, ""score"": 0.007398279100012952, ""events"": 343, ""families"": 87}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 6, ""score"": 0.006938484598031848, ""events"": 244, ""families"": 76}]"
L9H17,305,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 8, ""score"": 0.007283193141285499, ""events"": 38, ""families"": 22}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 3, ""score"": 0.008666847942946239, ""events"": 24, ""families"": 13}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 9, ""score"": 0.01610458906927508, ""events"": 25, ""families"": 14}]"
L10H16,336,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 8, ""score"": 0.015773151489179908, ""events"": 53, ""families"": 26}]"
L11H3,355,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.0035343227393847586, ""events"": 28, ""families"": 20}, {""scope"": ""all_facts"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.010683832786404914, ""events"": 28, ""families"": 20}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.0036109780616528702, ""events"": 25, ""families"": 17}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 4, ""score"": 0.012569215042829313, ""events"": 25, ""families"": 17}, {""scope"": ""query_fact"", ""position"": ""final"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 4, ""score"": 0.0005158235065394009, ""events"": 25, ""families"": 17}]"
L11H4,356,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 5, ""score"": 0.006522607090628401, ""events"": 94, ""families"": 39}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.016135561728486042, ""events"": 53, ""families"": 29}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 2, ""score"": 0.0070796049947554245, ""events"": 53, ""families"": 29}]"
L11H7,359,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 8, ""score"": 0.022471313534898573, ""events"": 1378, ""families"": 89}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 6, ""score"": 0.021444046899096576, ""events"": 1378, ""families"": 89}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 3, ""score"": 0.023202505785637626, ""events"": 375, ""families"": 88}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 1, ""score"": 0.02214000551089387, ""events"": 375, ""families"": 88}]"
L11H15,367,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 8, ""score"": 0.006294145143374063, ""events"": 434, ""families"": 88}]"
L12H2,386,178,178,89,True,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 3, ""score"": 0.00715573147655151, ""events"": 52, ""families"": 32}]"
L12H9,393,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 10, ""score"": 0.0056240744472019774, ""events"": 49, ""families"": 24}]"
L13H1,417,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 10, ""score"": 0.020203830979087137, ""events"": 37, ""families"": 11}]"
L13H22,438,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 7, ""score"": 0.018309529409371965, ""events"": 74, ""families"": 40}]"
L14H10,458,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""names_gap"", ""rank"": 9, ""score"": 0.0035645233281408452, ""events"": 92, ""families"": 45}]"
L14H23,471,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""target"", ""rank"": 5, ""score"": 0.017876216589178005, ""events"": 517, ""families"": 89}]"
L15H0,480,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 7, ""score"": 0.02450198826126224, ""events"": 23, ""families"": 15}, {""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 7, ""score"": 0.02105276573320562, ""events"": 23, ""families"": 15}]"
L15H2,482,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""first"", ""metric"": ""words_gap"", ""rank"": 9, ""score"": 0.009236631574673644, ""events"": 89, ""families"": 44}]"
L15H3,483,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 9, ""score"": 0.006049786297541683, ""events"": 52, ""families"": 27}]"
L15H18,498,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""names_gap"", ""rank"": 6, ""score"": 0.007893532374978855, ""events"": 110, ""families"": 50}]"
L15H28,508,178,40,20,False,"[{""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""target"", ""rank"": 10, ""score"": 0.02225281304812857, ""events"": 20, ""families"": 14}, {""scope"": ""query_fact"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 5, ""score"": 0.018693333105479795, ""events"": 20, ""families"": 14}]"
L15H29,509,178,40,20,False,"[{""scope"": ""all_facts"", ""position"": ""all_test"", ""anchor"": ""last"", ""metric"": ""words_gap"", ""rank"": 9, ""score"": 0.018178186792273034, ""events"": 38, ""families"": 19}]"
