head_index,layer,head,ri_first,ri_last,attribution_importance,exact_subset_importance,exact_subset_mean_absolute_effect,exact_subset_negative_family_fraction,exact_subset_ci_low,exact_subset_ci_high,extension_selected,random_control,exact_all_importance,exact_all_negative_family_fraction,exact_all_ci_low,exact_all_ci_high,exact_all_gap_fraction
0,0,0,0.0,0.0,-1.4516031676955688e-06,0.0007732391357421875,0.0038417816162109376,0.6,,,False,False,,,,,
1,0,1,0.0,0.0,0.04011024639345287,0.009851646423339844,0.3228925704956055,0.6,,,True,True,0.07954119028670065,0.5955056179775281,,,0.007120673775787841
2,0,2,0.04016753333333333,0.0313247,0.0008738298921354031,0.003145599365234375,0.00587310791015625,0.6,,,False,False,,,,,
3,0,3,0.0,0.0,0.0005335315181991462,0.00067596435546875,0.003741455078125,0.45,,,False,False,,,,,
4,0,4,0.0,0.0,0.000418316081082553,0.005298233032226563,0.015816879272460938,0.55,,,False,False,,,,,
5,0,5,0.0,0.0,-0.00016810575217594592,0.00231475830078125,0.0068206787109375,0.6,,,False,False,,,,,
6,0,6,0.0,0.0,-0.00044316462650855875,0.0022806167602539063,0.004858207702636719,0.7,,,False,False,,,,,
7,0,7,0.002624126666666667,0.008304176666666666,-0.003928474546933358,-0.14249582290649415,0.1737349510192871,0.55,,,False,False,,,,,
8,0,8,0.0,0.0,-1.1593371696976697e-05,-0.0002902984619140625,0.0028858184814453125,0.4,,,False,False,,,,,
9,0,9,0.0,0.0,-0.0003289835101773104,-0.00059814453125,0.008197784423828125,0.6,,,False,False,,,,,
10,0,10,0.0,0.0,0.0009366343135676043,0.0013822555541992188,0.006316566467285156,0.55,,,False,False,,,,,
11,0,11,0.0,0.0,-5.460931071682128e-05,-0.0011247634887695313,0.004882240295410156,0.4,,,False,False,,,,,
12,0,12,0.0,0.0,-0.0022916308531584742,0.0032102584838867186,0.008491706848144532,0.5,,,False,False,,,,,
13,0,13,0.0,0.0,0.006719094853824674,-0.0002227783203125,0.00946197509765625,0.6,,,False,False,,,,,
14,0,14,0.018132,0.028844533333333335,-0.003047538439184362,0.010683822631835937,0.04301872253417969,0.45,,,False,False,,,,,
15,0,15,0.0,0.0,-0.002415020972048194,-0.0021396636962890624,0.0136871337890625,0.4,,,False,False,,,,,
16,0,16,0.007237075,0.0025125333333333335,0.0219297939676038,0.01354389190673828,0.019211769104003906,0.8,,,False,False,,,,,
17,0,17,0.0,0.0,-0.0004525985101547244,0.000446319580078125,0.004932403564453125,0.5,,,False,False,,,,,
18,0,18,0.0,0.0,-4.4334290149063134e-05,-0.0007869720458984375,0.0036869049072265625,0.4,,,False,False,,,,,
19,0,19,0.0,0.0,4.201532073841846e-05,-0.0006803512573242187,0.004323387145996093,0.55,,,False,False,,,,,
20,0,20,0.0,0.0,6.202885307491955e-05,0.00020008087158203126,0.0036893844604492187,0.5,,,False,False,,,,,
21,0,21,0.0,0.0,0.0001334762206435821,-0.0013200759887695313,0.004371833801269531,0.4,,,False,False,,,,,
22,0,22,0.0,0.0,-0.00455494996064128,0.007736587524414062,0.023506546020507814,0.55,,,False,False,,,,,
23,0,23,0.0,0.0,5.6530591720137014e-06,-0.0018972396850585938,0.004538536071777344,0.25,,,False,False,,,,,
24,0,24,0.01321759150918286,0.011124771466595688,0.015951642191058463,0.07824516296386719,0.12856063842773438,0.55,,,False,False,,,,,
25,0,25,0.0,0.0,-7.086390810860046e-05,-0.0004991531372070312,0.004366493225097657,0.5,,,False,False,,,,,
26,0,26,0.0031067734184016117,0.022963612760241777,0.02212352192636286,-0.00041251182556152345,0.06378302574157715,0.4,,,False,False,,,,,
27,0,27,0.11357032592592593,0.04258592666666666,-0.008513863112782703,-0.0002501487731933594,0.03461523056030273,0.45,,,True,False,9.953573848424332e-05,0.48314606741573035,,,8.910622536873622e-06
28,0,28,0.0,0.0,0.0002584686489570415,-0.0014226913452148437,0.005011177062988282,0.45,,,False,False,,,,,
29,0,29,0.0,0.0,0.00013672338806490383,0.0003314971923828125,0.006081008911132812,0.6,,,False,False,,,,,
30,0,30,0.0,0.0,-8.615098941549293e-05,-0.00010204315185546875,0.006220817565917969,0.45,,,False,False,,,,,
31,0,31,0.0,0.0,-0.0002554521237716165,-0.00097808837890625,0.003943634033203125,0.45,,,False,False,,,,,
32,1,0,0.0,0.0,0.0010073460763440666,0.0036397933959960937,0.005919837951660156,0.8,,,False,False,,,,,
33,1,1,0.00739152,0.050610600000000006,0.04311321666359567,0.08409900665283203,0.1283090591430664,0.7,,,False,False,,,,,
34,1,2,0.0,0.0,0.0026557503292321365,0.0005199432373046875,0.007514572143554688,0.65,,,False,False,,,,,
35,1,3,0.0,0.0,0.0002387234932295664,-0.0002288818359375,0.004645538330078125,0.45,,,False,False,,,,,
36,1,4,0.0,0.0,-0.0023129092651390567,-0.005389022827148438,0.04027061462402344,0.8,,,False,False,,,,,
37,1,5,0.0,0.0,-2.2931571171345617e-05,-0.0009511947631835937,0.003840065002441406,0.45,,,False,False,,,,,
38,1,6,0.0,0.0,0.001040525151366954,0.0021762847900390625,0.007320785522460937,0.6,,,False,False,,,,,
39,1,7,0.0,0.0,-5.066493284768226e-05,0.0014436721801757812,0.008518409729003907,0.6,,,False,False,,,,,
40,1,8,0.0,0.0,0.00210239558795917,0.005274367332458496,0.018416762351989746,0.6,,,False,False,,,,,
41,1,9,0.08093136201923076,0.006078481009615384,-0.005258389176366579,0.0071380615234375,0.013396072387695312,0.6,,,True,False,-0.004647351382823473,0.39325842696629215,,,-0.0004160394507457543
