head,flat_id,layer,in_A,in_B,in_C,in_D,random_control,hist_ri_first,ng_first,ng_last,target_first,attribution_178,I_P_178,I_P_lo,I_P_hi,I_P_pos_fam,I_P_gap_fraction,I_40,F_dlogit_clean,F_dlogit_corrupted,F_dlogit_source,F_over_P,I_F_178,I_F_hi,I_F_lo,I_F_pos_fam
L0H1,1,0,False,False,False,True,True,0.0,nan,nan,nan,0.04011024639345287,0.07954119028670065,-0.003306610396738802,0.158437077784806,0.5955056179775281,0.007120673775787841,0.009851646423339844,,,,,,,,
L0H27,27,0,False,False,False,True,False,0.11357032592592593,nan,nan,nan,-0.008513863112782703,9.953573848424332e-05,-0.00957060730859135,0.010243981607844288,0.48314606741573035,8.910622536873622e-06,-0.0002501487731933594,,,,,,,,
L1H9,41,1,False,False,False,True,False,0.08093136201923076,nan,nan,nan,-0.005258389176366579,-0.004647351382823473,-0.009310093622529105,-0.0001560959923133507,0.39325842696629215,-0.0004160394507457543,0.0071380615234375,,,,,,,,
L1H27,59,1,True,False,False,True,False,0.07572950371456501,0.0013263476657968027,0.0009444940326088846,0.032518590086318244,0.01097528090349953,0.021794962079337475,-0.007136240032281769,0.05076623806792696,0.5168539325842697,0.0019511251260289162,0.02895050048828125,-2.8034944212838504e-05,-0.00033603625351123594,-6.514988588483146e-05,-0.014131919879133342,-0.00030800465787394663,0.00045042459884386306,-0.001033370481448227,0.4157303370786517
L2H1,65,2,False,False,False,True,True,0.0,nan,nan,nan,-0.018761072857200765,-0.008900990646876645,-0.03831788274679291,0.01994890938983871,0.4943820224719101,-0.0007968330678645219,-0.02518291473388672,,,,,,,,
L2H21,85,2,True,False,False,False,False,0.003745420433604336,-0.0007189992063249509,0.004093830965915271,0.00883123667695755,-0.0023644412266027727,-0.0013823080598638299,-0.009299129850409003,0.006437937463267452,0.4606741573033708,-0.000123746762104694,-0.006174659729003907,-5.4086192270343225e-05,-0.0007447660639044943,5.897779143258427e-05,0.49966085665670557,-0.0006906852293550299,6.348899241236839e-07,-0.0013818814513388645,0.4044943820224719
L2H22,86,2,True,False,False,False,False,0.015497235483870967,-0.0006208980608976283,0.0085262415646058,0.005578915160623621,0.0016560653679784428,-0.00039165743281332295,-0.007820397146632161,0.006960053658217496,0.449438202247191,-3.5061894357803164e-05,-0.005842399597167969,-0.000309875841890828,-0.00034357992450842695,0.00022905328300561797,0.0860584256137015,-3.3705422047818646e-05,0.0006656757901223853,-0.000729908568135808,0.4943820224719101
L3H11,107,3,False,False,False,True,False,0.24306708053691273,nan,nan,nan,-0.001652667678243826,-0.0022394094574317504,-0.0067458809091803735,0.0024173653527591937,0.47191011235955055,-0.00020047605698769315,0.007417869567871094,,,,,,,,
L3H20,116,3,False,False,False,True,False,0.0370107,nan,nan,nan,-0.0010133070176012102,-0.0005884599149896857,-0.004087698459625244,0.0028046618686633153,0.48314606741573035,-5.2680014840939686e-05,0.00019016265869140626,,,,,,,,
L4H0,128,4,True,False,False,False,False,0.052017042998760844,-0.0019031691405300378,0.007005810148669644,0.00839419782781157,0.0005020033833838926,0.0010287949208463176,-0.0027866405047727435,0.0052474863073799045,0.48314606741573035,9.209961514441867e-05,-0.0028005599975585937,8.25745336125406e-05,-0.0003463230775983146,-6.857882724719102e-05,-0.4168971102119039,-0.0004289016295015142,0.0002528075421794069,-0.0010901626576198622,0.39325842696629215
L4H13,141,4,False,False,False,True,False,0.102554,nan,nan,nan,0.011167633884816609,0.013595883765917145,0.003569053264146441,0.023506467529896935,0.5955056179775281,0.0012171285423523877,0.0128997802734375,,,,,,,,
L4H15,143,4,False,False,False,True,False,0.10827197260273971,nan,nan,0.005546891749036884,-0.005275592039825834,-0.006259709261776356,-0.012129744251122636,-0.0006659559989243413,0.42696629213483145,-0.0005603806961365006,0.004285049438476562,,,,,,,,
L5H6,166,5,False,False,False,True,False,0.011259983783783784,nan,nan,nan,0.0030710064227891603,0.0022226826528484902,-0.0035514042618569365,0.007906755034843182,0.6067415730337079,0.00019897864265029842,0.003277015686035156,,,,,,,,
L5H18,178,5,True,False,False,False,False,0.03937508746465598,0.0035952756835153222,0.00366396475520519,0.00871157020771712,-0.004990722794410134,-0.005606683452477616,-0.013551589612210735,0.0025675036933984633,0.39325842696629215,-0.0005019206235825743,-0.012072181701660157,-0.0003002158711465557,-0.0009120984023876404,-0.0005122838395365169,0.10913472748330574,-0.0006118838706713044,8.929284770836887e-05,-0.0013051911686243636,0.4157303370786517
L6H2,194,6,True,False,False,False,False,0.01213211459074733,-3.9222723412370736e-05,0.0066829417055414885,0.006731075399076976,-0.0038334109152999467,-0.003942350323280591,-0.012464510055070512,0.0036468701416187046,0.42696629213483145,-0.00035292645811269084,-0.007234382629394531,-0.0001097462150488007,-0.00021465172928370786,5.554885007022472e-05,0.02661091073161318,-0.00010490953252556619,0.0005749060866538054,-0.0008048908094341836,0.5393258426966292
L6H11,203,6,False,False,False,True,False,0.03474326968750001,-0.0027972994607859338,-0.002604965054013606,0.008962323609727619,3.033014814882131e-05,3.906850064738413e-05,-0.005490156104055683,0.005710011921571874,0.48314606741573035,3.497484096182714e-06,-0.00033969879150390624,,,,,,,,
L6H12,204,6,False,False,False,True,True,0.0,nan,nan,nan,0.0016427802483111704,0.0004296892144706812,-0.005270822664325156,0.005867666207002787,0.5056179775280899,3.846656946158169e-05,-0.0039612770080566405,,,,,,,,
L6H21,213,6,False,False,False,True,False,0.041154516513761466,nan,nan,nan,-0.003581149844332399,-0.0036069302076704047,-0.007785122983911064,0.0007206099756648021,0.4157303370786517,-0.00032289903191390877,0.003561592102050781,,,,,,,,
L6H24,216,6,True,False,False,False,False,0.0080995310565635,0.00048091056693028817,0.0003388697759851683,0.00939983428078643,0.09310174505278636,0.10134880730275357,0.03054543733596802,0.17407494636064164,0.6404494382022472,0.009072931795047035,0.011005997657775879,-0.00014053435807817436,-0.0005740047840589888,-0.00030174683988764043,-0.004277055209703452,-0.0004334744442714734,0.0003041612968016194,-0.001145086060749011,0.4044943820224719
L7H1,225,7,False,False,False,True,False,0.06234268840579709,-0.0014057961455697689,-0.0007646999901512044,0.008995749995263144,0.19414171450928355,0.23759243461523163,0.18381151148442473,0.29238465287712184,0.8314606741573034,0.021269712112582512,0.25744152069091797,,,,,,,,
L7H18,242,7,True,False,False,False,False,0.016438053505201267,-0.000901972090014709,0.003335996100067201,0.008457169201288268,-0.002413436982341194,-0.0011905766604991441,-0.022546256392189625,0.020723318919706867,0.42696629213483145,-0.00010658261428982914,-0.013592815399169922,-9.154335836346229e-05,-0.00021945224719101123,9.669614641853933e-05,0.10744002484058375,-0.0001279155859786473,0.0006704791208331474,-0.0009187751941466599,0.4606741573033708
L7H25,249,7,True,False,False,False,False,0.01403901712328767,0.001714023814133444,-0.004771431134613074,0.012252467237218906,0.003851320542227686,0.0032631520474894664,-0.012414400631122376,0.018865812762399656,0.5617977528089888,0.00029212337817946505,-0.004505348205566406,1.6917003674453564e-06,-0.000724878204002809,0.00016184603230337078,-0.22266014947722376,-0.0007265739226609134,2.2360448087193035e-06,-0.0014627029386798988,0.38202247191011235
