head,flat_id,layer,head_index,in_A,in_B,in_C,in_D,A_reasons,A_names_gap_rank,B_final_events,B_final_families,first_order_pairs,exact_pairs,exact_families,importance_exact40,importance_first_order,importance_exact178,residual_40,needs_scopeP_138,needs_scopeF_178
L0H1,1,0,1,False,False,False,True,0,False,,,178,178,89,0.009851646423339844,0.04011024639345287,0.07954119028670065,0.030258599970113025,False,False
L0H27,27,0,27,False,False,False,True,0,False,,,178,178,89,-0.0002501487731933594,-0.008513863112782703,9.953573848424332e-05,0.008263714339589345,False,False
L1H9,41,1,9,False,False,False,True,0,False,,,178,178,89,0.0071380615234375,-0.005258389176366579,-0.004647351382823473,0.012396450699804079,False,False
L1H27,59,1,27,True,False,False,True,5,True,,,178,178,89,0.02895050048828125,0.01097528090349953,0.021794962079337475,0.017975219584781717,False,True
L2H1,65,2,1,False,False,False,True,0,False,,,178,178,89,-0.02518291473388672,-0.018761072857200765,-0.008900990646876645,0.006421841876685954,False,False
L2H21,85,2,21,True,False,False,False,2,False,,,178,40,20,-0.006174659729003907,-0.0023644412266027727,,0.003810218502401134,True,True
L2H22,86,2,22,True,False,False,False,1,True,,,178,40,20,-0.005842399597167969,0.0016560653679784428,,0.007498464965146411,True,True
L3H11,107,3,11,False,False,False,True,0,False,,,178,178,89,0.007417869567871094,-0.001652667678243826,-0.0022394094574317504,0.00907053724611492,False,False
L3H20,116,3,20,False,False,False,True,0,False,,,178,178,89,0.00019016265869140626,-0.0010133070176012102,-0.0005884599149896857,0.0012034696762926165,False,False
L4H0,128,4,0,True,False,False,False,1,True,,,178,40,20,-0.0028005599975585937,0.0005020033833838926,,0.0033025633809424864,True,True
L4H13,141,4,13,False,False,False,True,0,False,,,178,178,89,0.0128997802734375,0.011167633884816609,0.013595883765917145,0.001732146388620891,False,False
L4H15,143,4,15,False,False,False,True,0,False,,,178,178,89,0.004285049438476562,-0.005275592039825834,-0.006259709261776356,0.009560641478302396,False,False
L5H6,166,5,6,False,False,False,True,0,False,,,178,178,89,0.003277015686035156,0.0030710064227891603,0.0022226826528484902,0.0002060092632459958,False,False
L5H18,178,5,18,True,False,False,False,1,True,,,178,40,20,-0.012072181701660157,-0.004990722794410134,,0.007081458907250022,True,True
L6H2,194,6,2,True,False,False,False,2,True,,,178,40,20,-0.007234382629394531,-0.0038334109152999467,,0.0034009717140945847,True,True
L6H11,203,6,11,False,False,False,True,0,False,,,178,178,89,-0.00033969879150390624,3.033014814882131e-05,3.906850064738413e-05,0.00037002893965272754,False,False
L6H12,204,6,12,False,False,False,True,0,False,,,178,178,89,-0.0039612770080566405,0.0016427802483111704,0.0004296892144706812,0.005604057256367811,False,False
L6H21,213,6,21,False,False,False,True,0,False,,,178,178,89,0.003561592102050781,-0.003581149844332399,-0.0036069302076704047,0.00714274194638318,False,False
L6H24,216,6,24,True,False,False,False,1,False,,,178,40,20,0.011005997657775879,0.09310174505278636,,0.08209574739501048,True,True
L7H1,225,7,1,False,False,False,True,0,False,,,178,178,89,0.25744152069091797,0.19414171450928355,0.23759243461523163,0.06329980618163442,False,False
L7H18,242,7,18,True,False,False,False,2,False,,,178,40,20,-0.013592815399169922,-0.002413436982341194,,0.011179378416828728,True,True
L7H25,249,7,25,True,False,False,False,3,True,,,178,40,20,-0.004505348205566406,0.003851320542227686,,0.008356668747794092,True,True
L7H27,251,7,27,False,False,False,True,0,False,,,178,178,89,-0.0018007278442382813,0.00032646796833514497,0.0007439302594474192,0.002127195812573426,False,False
L8H0,256,8,0,False,False,False,True,0,False,,,178,178,89,0.0005634307861328125,8.461100147092673e-05,-0.00010424517513660902,0.0004788197846618857,False,False
L8H5,261,8,5,False,False,False,True,0,False,,,178,178,89,-0.0022151947021484377,-0.0021380277401558383,-0.0019269257449032215,7.716696199259934e-05,False,False
L8H8,264,8,8,True,False,False,False,1,True,,,178,40,20,-0.04021615982055664,-0.04558512275211848,,0.0053689629315618395,True,True
L8H14,270,8,14,False,False,False,True,0,False,,,178,178,89,-0.005685615539550781,-0.003479594349392868,-0.0037738526805063313,0.0022060211901579136,False,False
L8H15,271,8,15,True,False,False,False,4,True,,,178,40,20,0.3670095443725586,0.2022510256953119,,0.16475851867724672,True,True
L8H16,272,8,16,True,False,False,False,1,True,,,178,40,20,-0.0037628173828125,-0.009946706694331063,,0.006183889311518562,True,True
L9H3,291,9,3,False,False,False,True,0,False,,,178,178,89,0.016104698181152344,0.013859643177077007,0.015039652920840831,0.0022450550040753366,False,False
L9H6,294,9,6,True,False,False,True,4,True,,,178,178,89,-0.06325407028198242,-0.03331830952933916,-0.034904565704002806,0.02993576075264326,False,True
L9H14,302,9,14,False,False,False,True,0,False,,,178,178,89,0.0028276443481445312,-6.508185290155953e-05,-0.0005769649248444632,0.0028927262010460908,False,False
L9H16,304,9,16,True,False,False,False,2,True,,,178,40,20,0.1090993881225586,0.0749911709657211,,0.0341082171568375,True,True
L9H17,305,9,17,True,False,False,True,3,True,,,178,178,89,0.03446216583251953,0.025204486472615868,0.027045694629797775,0.00925767935990366,False,True
L9H22,310,9,22,False,False,False,True,0,False,,,178,178,89,-0.0012098312377929687,-0.0021281731079510423,-0.0020332443580198824,0.0009183418701580737,False,False
L9H23,311,9,23,False,False,False,True,0,False,,,178,178,89,-0.0002071380615234375,0.000396620154052481,0.0005100711008136192,0.0006037582155759185,False,False
L9H26,314,9,26,False,False,False,True,0,False,,,178,178,89,-0.007602882385253906,-0.0003065091644131233,-0.0016403091087769926,0.007296373220840782,False,False
L10H16,336,10,16,True,False,False,False,1,False,,,178,40,20,-0.026601189374923707,-0.06099439974288257,,0.034393210367958865,True,True
L11H3,355,11,3,True,True,False,False,5,True,28,20,178,40,20,0.03150653839111328,0.01822408685575794,,0.01328245153535534,True,True
L11H4,356,11,4,True,False,False,False,3,True,,,178,40,20,0.00442657470703125,0.004898946073685846,,0.00047237136665459565,True,True
L11H7,359,11,7,True,False,False,False,4,False,,,178,40,20,0.014999198913574218,0.014978451350850335,,2.0747562723882895e-05,True,True
L11H14,366,11,14,False,True,False,False,0,False,3,1,178,40,20,0.027682685852050783,0.01693330320995301,,0.010749382642097773,True,True
L11H15,367,11,15,True,False,False,False,1,True,,,178,40,20,-0.0675471305847168,-0.09854312251018507,,0.030995991925468272,True,True
L11H20,372,11,20,False,False,False,True,0,False,,,178,178,89,-0.010481643676757812,-0.00033629844174458737,-0.0025060739410057496,0.010145345235013224,False,False
L11H22,374,11,22,False,False,False,True,0,False,,,178,178,89,-0.003871726989746094,0.002274272756734758,0.0029194649685634656,0.006145999746480852,False,False
L11H27,379,11,27,False,False,False,True,0,False,,,178,178,89,0.014305877685546874,-0.001172271559768346,-0.004102074698116002,0.01547814924531522,False,False
L12H2,386,12,2,True,False,False,True,1,True,,,178,178,89,0.012058448791503907,0.010396713353013306,0.01014419619956713,0.0016617354384906007,False,True
L12H9,393,12,9,True,False,False,False,1,True,,,178,40,20,-0.004613304138183593,-0.007286193822458219,,0.002672889684274626,True,True
L12H17,401,12,17,False,False,False,True,0,False,,,178,178,89,0.2296274185180664,0.15887626228079701,0.21354269713498233,0.07075115623726938,False,False
L13H1,417,13,1,True,False,False,False,1,False,,,178,40,20,-0.0008211135864257812,0.001974336024023216,,0.002795449610448997,True,True
L13H2,418,13,2,False,False,False,True,0,False,,,178,178,89,0.001708984375,0.006187644818525636,0.006909740105103911,0.004478660443525636,False,False
L13H10,426,13,10,False,False,True,True,0,False,,,178,178,89,-0.8156453132629394,-0.8754062066796455,-0.6808159699600734,0.059760893416706096,False,False
L13H14,430,13,14,False,True,False,False,0,False,2,2,178,40,20,-0.006804752349853516,-0.0018259749742580598,,0.004978777375595456,True,True
L13H19,435,13,19,False,True,False,False,0,False,1,1,178,40,20,0.016261863708496093,0.012679560013178192,,0.0035823036953179007,True,True
L13H22,438,13,22,True,False,False,False,1,False,,,178,40,20,0.0014499664306640626,-0.005040678533128976,,0.006490644963793039,True,True
L13H30,446,13,30,False,False,False,True,0,False,,,178,178,89,0.0009002685546875,0.004156375844083893,0.00251370065667656,0.0032561072893963934,False,False
L14H7,455,14,7,False,True,False,False,0,False,2,1,178,40,20,0.01832103729248047,0.03020089923330907,,0.011879861940828601,True,True
L14H10,458,14,10,True,False,False,False,1,True,,,178,40,20,-0.005430841445922851,-0.011051184174688429,,0.005620342728765578,True,True
L14H23,471,14,23,True,False,False,False,1,False,,,178,40,20,-0.20261282920837403,-0.2559907279929586,,0.05337789878458454,True,True
L14H26,474,14,26,False,False,True,True,0,False,,,178,178,89,0.40526065826416013,0.38685306213963566,0.3985126634662071,0.018407596124524472,False,False
L15H0,480,15,0,True,False,False,False,2,False,,,178,40,20,0.0052623748779296875,0.0029961905151793962,,0.0022661843627502913,True,True
L15H2,482,15,2,True,False,False,False,1,False,,,178,40,20,0.014857101440429687,0.012268916813635759,,0.002588184626793928,True,True
L15H3,483,15,3,True,True,False,False,1,True,1,1,178,40,20,-0.11119871139526367,-0.10818099413914711,,0.0030177172561165616,True,True
