layer,head,flat_id,scopeP_importance_178,scopeP_pairs,scopeF_importance_178,scopeF_pairs,scopeF_mean_dlogit_clean_answer,scopeF_mean_dlogit_corrupted_answer,scopeF_mean_dlogit_source
1,27,59,,0,-0.00030800465787394663,178,-2.8034944212838504e-05,-0.00033603625351123594,-6.514988588483146e-05
2,21,85,-0.0013823080598638299,178,-0.0006906852293550299,178,-5.4086192270343225e-05,-0.0007447660639044943,5.897779143258427e-05
2,22,86,-0.00039165743281332295,178,-3.3705422047818646e-05,178,-0.000309875841890828,-0.00034357992450842695,0.00022905328300561797
4,0,128,0.0010287949208463176,178,-0.0004289016295015142,178,8.25745336125406e-05,-0.0003463230775983146,-6.857882724719102e-05
5,18,178,-0.005606683452477616,178,-0.0006118838706713044,178,-0.0003002158711465557,-0.0009120984023876404,-0.0005122838395365169
6,2,194,-0.003942350323280591,178,-0.00010490953252556619,178,-0.0001097462150488007,-0.00021465172928370786,5.554885007022472e-05
6,24,216,0.10134880730275357,178,-0.0004334744442714734,178,-0.00014053435807817436,-0.0005740047840589888,-0.00030174683988764043
7,18,242,-0.0011905766604991441,178,-0.0001279155859786473,178,-9.154335836346229e-05,-0.00021945224719101123,9.669614641853933e-05
7,25,249,0.0032631520474894664,178,-0.0007265739226609134,178,1.6917003674453564e-06,-0.000724878204002809,0.00016184603230337078
8,8,264,-0.04493177606818381,178,-0.00025186645850706636,178,-0.00017127160275920054,-0.00042313136411516856,0.0003662109375
8,15,271,0.279438067018316,178,-0.00044379341468382417,178,-5.4046009363753075e-06,-0.0004491913184691011,-0.00022219540028089888
8,16,272,-0.005253866817174333,178,-0.0008983397751711728,178,-6.794125846262728e-05,-0.0009662756759129214,0.0005198275105337079
9,6,294,,0,0.001134968875499254,178,-0.0002420765630314859,0.000892896330758427,-0.0003483804424157303
9,16,304,0.09501922800299827,178,-0.0006317556574103537,178,-0.00018365195627962605,-0.0008154022559691012,-0.00029694632198033706
9,17,305,,0,0.0008761213066872586,178,-0.00016084815678971538,0.0007152771681882022,0.00037032566713483144
10,16,336,-0.047743142320868674,178,0.0009239496809712956,178,-0.00044115875544172993,0.0004827949438202247,0.0007584818293539326
