head,flat_id,exact_scopeP_mean_178,in_new_RI,in_historical_RI,final_QK_group,has_saved_scopeF,included,groups
L0H1,1,0.07954119028670065,False,False,False,False,True,random-controls
L0H27,27,9.953573848424332e-05,False,False,False,False,False,
L1H9,41,-0.004647351382823473,False,False,False,False,False,
L1H27,59,0.021794962079337475,True,False,False,True,True,RI-selected_small-effect
L2H1,65,-0.008900990646876645,False,False,False,False,True,random-controls
L2H21,85,-0.0013823080598638299,True,False,False,True,True,RI-selected_small-effect
L2H22,86,-0.00039165743281332295,True,False,False,True,True,RI-selected_small-effect
L3H11,107,-0.0022394094574317504,False,True,False,False,True,RI-selected_small-effect
L3H20,116,-0.0005884599149896857,False,False,False,False,False,
L4H0,128,0.0010287949208463176,True,False,False,True,True,RI-selected_small-effect
L4H13,141,0.013595883765917145,False,False,False,False,False,
L4H15,143,-0.006259709261776356,False,False,False,False,False,
L5H6,166,0.0022226826528484902,False,False,False,False,False,
L5H18,178,-0.005606683452477616,True,False,False,True,True,RI-selected_small-effect
L6H2,194,-0.003942350323280591,True,False,False,True,True,RI-selected_small-effect
L6H11,203,3.906850064738413e-05,False,False,False,False,False,
L6H12,204,0.0004296892144706812,False,False,False,False,True,random-controls
L6H21,213,-0.0036069302076704047,False,False,False,False,False,
L6H24,216,0.10134880730275357,True,False,False,True,True,moderate-effect_supplement
L7H1,225,0.23759243461523163,False,False,False,False,True,moderate-effect_supplement
L7H18,242,-0.0011905766604991441,True,False,False,True,True,RI-selected_small-effect
L7H25,249,0.0032631520474894664,True,False,False,True,True,RI-selected_small-effect
L7H27,251,0.0007439302594474192,False,False,False,False,False,
L8H0,256,-0.00010424517513660902,False,False,False,False,False,
L8H5,261,-0.0019269257449032215,False,False,False,False,False,
L8H8,264,-0.04493177606818381,True,False,False,True,True,RI-selected_small-effect
L8H14,270,-0.0037738526805063313,False,False,False,False,False,
L8H15,271,0.279438067018316,True,False,False,True,True,moderate-effect_supplement
L8H16,272,-0.005253866817174333,True,False,False,True,True,RI-selected_small-effect
L9H3,291,0.015039652920840831,False,False,False,False,False,
L9H6,294,-0.034904565704002806,True,False,False,True,True,RI-selected_small-effect
L9H14,302,-0.0005769649248444632,False,False,False,False,False,
L9H16,304,0.09501922800299827,True,False,False,True,True,RI-selected_small-effect
L9H17,305,0.027045694629797775,True,False,False,True,True,RI-selected_small-effect
L9H22,310,-0.0020332443580198824,False,True,False,False,True,RI-selected_small-effect
L9H23,311,0.0005100711008136192,False,False,False,False,True,random-controls
L9H26,314,-0.0016403091087769926,False,False,False,False,True,random-controls
L10H16,336,-0.047743142320868674,True,False,False,True,True,RI-selected_small-effect
L11H3,355,0.021330653951409158,True,False,True,True,True,RI-selected_small-effect
L11H4,356,0.004021395458264298,True,False,False,True,True,RI-selected_small-effect
L11H7,359,-0.0018788294845752502,True,False,False,True,True,RI-selected_small-effect
L11H14,366,0.018450581625606238,False,False,True,True,False,
L11H15,367,-0.05035826865206944,True,False,False,True,True,RI-selected_small-effect
L11H20,372,-0.0025060739410057496,False,False,False,False,True,random-controls
L11H22,374,0.0029194649685634656,False,False,False,False,False,
L11H27,379,-0.004102074698116002,False,False,False,False,True,random-controls
L12H2,386,0.01014419619956713,True,False,False,True,True,RI-selected_small-effect
L12H9,393,-0.006060691362016656,True,False,False,True,True,RI-selected_small-effect
L12H17,401,0.21354269713498233,False,False,False,False,True,moderate-effect_supplement
L13H1,417,0.001138933588949482,True,False,False,True,True,RI-selected_small-effect
L13H2,418,0.006909740105103911,False,False,False,False,False,
L13H10,426,-0.6808159699600734,False,False,False,False,True,strong-negative
L13H14,430,-0.0016259397013803547,False,False,True,True,False,
L13H19,435,0.01254989859763156,False,False,True,True,False,
L13H22,438,-0.005563995811376679,True,False,False,True,True,RI-selected_small-effect
L13H30,446,0.00251370065667656,False,False,False,False,True,random-controls
L14H7,455,0.031542515486813666,False,False,True,True,False,
L14H10,458,-0.005866050720214844,True,False,False,True,True,RI-selected_small-effect
L14H23,471,-0.21156842521067415,True,False,False,True,True,moderate-effect_supplement
L14H26,474,0.3985126634662071,False,False,False,False,True,strong-positive_outside-RI
L15H0,480,0.005019761203380113,True,False,False,True,True,RI-selected_small-effect
L15H2,482,0.015397532602374473,True,False,False,True,True,RI-selected_small-effect
L15H3,483,-0.10603228311860159,True,False,True,True,True,moderate-effect_supplement
L15H10,490,-0.00146431333563301,False,False,False,False,False,
L15H18,498,0.0262743274817306,True,False,False,True,True,RI-selected_small-effect
L15H25,505,0.6793103164501404,False,False,False,False,True,strong-positive_outside-RI
L15H27,507,0.006103997819879082,False,False,False,False,True,random-controls
L15H28,508,0.014789993843335784,True,False,True,True,True,RI-selected_small-effect
L15H29,509,0.004315520940202005,True,False,False,True,True,RI-selected_small-effect
L16H0,512,-0.002271389693356632,False,False,True,True,False,
L16H1,513,0.8679152553001147,True,False,True,True,True,strong-positive_RI-selected
L16H2,514,0.00660122110602561,True,False,True,True,True,RI-selected_small-effect
L16H4,516,0.02572816141535727,True,False,True,True,True,RI-selected_small-effect
L16H16,528,0.0211655745345555,True,False,False,True,True,RI-selected_small-effect
L16H18,530,0.0032192348094468707,False,False,False,False,False,
L16H21,533,0.9245236214627041,True,False,True,True,True,strong-positive_RI-selected
L16H24,536,-0.0456918277097552,True,False,True,True,True,RI-selected_small-effect
L16H31,543,-0.18757959965909465,True,False,True,True,True,moderate-effect_supplement
L17H1,545,5.701261729336856,False,False,False,False,True,strong-positive_outside-RI
L17H3,547,-0.5459773085090551,False,False,False,False,True,strong-negative
L17H5,549,-0.013264061359876997,True,False,False,True,True,RI-selected_small-effect
L17H16,560,0.0005978144956438728,False,False,False,False,False,
L17H17,561,0.5325947504365043,False,False,False,False,True,strong-positive_outside-RI
L17H19,563,-0.004876790421732356,False,False,False,False,False,
L17H24,568,0.43262004316522834,True,False,False,True,True,strong-positive_RI-selected
L18H5,581,-0.008214977350127831,False,False,False,False,True,random-controls
L18H15,591,0.006046246946527717,True,False,False,True,True,RI-selected_small-effect
L18H18,594,2.7036942390913374,False,False,False,False,True,strong-positive_outside-RI
L18H19,595,3.0721382344706676,True,False,False,True,True,strong-positive_RI-selected
L18H22,598,0.08317061756434066,False,False,False,False,True,random-controls
L18H24,600,-0.5346279197864319,False,False,False,False,True,strong-negative
L18H26,602,0.022829371891664656,False,False,True,True,False,
L19H13,621,-0.005948725711093859,False,False,False,False,False,
L19H16,624,-0.8197843251603373,True,False,False,True,True,strong-negative
L19H20,628,0.001910172151715568,False,False,False,False,True,random-controls
L19H22,630,0.4289205958334248,False,False,False,False,True,strong-positive_outside-RI
L20H1,641,-1.5629723634612693,False,False,False,False,True,strong-negative
L20H6,646,0.0003570706656809603,False,False,False,False,False,
L20H7,647,-0.026114008399877656,True,False,False,True,True,RI-selected_small-effect
L20H14,654,0.017254933882295417,True,False,False,True,True,RI-selected_small-effect
L21H6,678,0.7023398956555998,False,False,False,False,True,strong-positive_outside-RI
L21H11,683,1.3514850916487447e-05,False,False,False,False,True,random-controls
L21H18,690,1.7040413363596028,False,False,False,False,True,strong-positive_outside-RI
L21H22,694,8.256247874056355e-05,False,False,False,False,True,random-controls
L21H23,695,0.6109174931986948,False,False,False,False,True,strong-positive_outside-RI
L21H24,696,0.012582998597220089,True,False,False,True,True,RI-selected_small-effect
L21H25,697,0.054679736662446785,True,False,False,True,True,RI-selected_small-effect
L21H27,699,0.04603419678934505,True,False,False,True,True,RI-selected_small-effect
L22H3,707,0.0026387257522411563,False,False,False,False,False,
L22H4,708,-0.0006199633137563642,False,False,False,False,False,
L22H5,709,0.9824650635880031,True,False,False,True,True,strong-positive_RI-selected
L22H15,719,-0.00013231427482004914,False,False,False,False,True,random-controls
L22H31,735,0.01868989762295498,False,False,False,False,True,random-controls
L23H3,739,0.004780469315775325,False,False,False,False,False,
L23H10,746,0.026634768153844256,True,False,False,True,True,RI-selected_small-effect
L23H15,751,-0.9468907184815138,True,False,False,True,True,strong-negative
L23H17,753,-0.00037554944499155107,False,False,False,False,True,random-controls
L23H19,755,0.0030851739176203695,False,False,False,False,False,
L23H21,757,-0.00726298000035661,False,False,True,True,False,
L24H17,785,0.0346287770217724,True,False,False,True,True,RI-selected_small-effect
L24H27,795,0.001606322406383043,False,False,False,False,False,
L25H11,811,0.00021147460080264658,False,False,False,False,True,random-controls
L25H13,813,0.006096727392646704,False,False,False,False,True,random-controls
L25H15,815,-0.00019501568226332075,False,False,False,False,True,random-controls
L25H17,817,1.267172958073991,False,False,False,False,True,strong-positive_outside-RI
L25H18,818,-0.0006707384345236789,True,False,False,True,True,RI-selected_small-effect
L25H20,820,0.00034789824753664854,False,False,False,False,True,random-controls
L25H21,821,0.006917358784193403,False,False,False,False,True,random-controls
L26H13,845,-0.005557194184721186,False,False,True,True,False,
L26H23,855,-0.36743931556015874,True,False,False,True,True,strong-negative
L26H31,863,0.029452800750732422,True,False,False,True,True,RI-selected_small-effect
L27H6,870,3.070929406733995,False,False,False,False,True,strong-positive_outside-RI
L27H21,885,0.005180535691507747,False,False,False,False,False,
L27H23,887,-0.0011554889464646242,True,False,False,True,True,RI-selected_small-effect
L28H1,897,-0.0002968498830045207,False,False,False,False,True,random-controls
L28H15,911,-0.0009634735878933682,False,False,False,False,True,random-controls
L28H19,915,0.00034010812137903794,False,False,False,False,False,
L28H24,920,0.00048252170005541167,False,False,False,False,False,
L28H28,924,0.0023160730854848797,False,False,True,True,False,
L29H5,933,0.001097588056928656,False,False,False,False,True,random-controls
L29H14,942,0.0045068906934073805,False,False,False,False,False,
L30H3,963,0.0024081401610642336,True,False,False,True,True,RI-selected_small-effect
L30H13,973,0.6320201734478554,False,False,False,False,True,strong-positive_outside-RI
L30H14,974,0.004517914204115278,False,False,False,False,False,
L30H18,978,-1.057036999906047,False,False,False,False,True,strong-negative
L31H1,993,-1.7192926299705932e-05,True,False,False,True,True,RI-selected_small-effect
L31H10,1002,0.00903026441509804,False,False,False,False,False,
L31H16,1008,-0.004500539115305697,False,False,True,True,False,
