writer,site,readout,condition,p_mother,p_other,p_child,mother_top,child_top
L15H25,query_child_last,identity,head_site,0.00024445005754150954,0.00026959198601091367,0.00023572930194889498,0.35,0.15
L15H25,query_child_last,identity,head_span,0.00024445005754150954,0.00026959198601091367,0.00023572930194889498,0.35,0.15
L15H25,query_child_last,identity,intact_clean,0.0002405118268741768,0.0002674486322639674,0.00021518614804413584,0.35,0.15
L15H25,query_child_last,identity,intact_corrupted,0.00025092893394657284,0.0002681453740485386,0.00023769646167949538,0.35,0.15
L15H25,query_child_last,identity,irrelevant,0.00022167662660642996,0.00023843639078911498,3.878306105759134e-05,0.45,0.0
L15H25,query_child_last,identity,none,4.286304185290506e-05,3.9910900509480036e-05,1.0910700496318187e-05,0.3,0.05
L15H25,query_child_last,mother_of,head_site,0.0024949169255733925,0.0019430957614375451,0.0006822685165470821,0.55,0.15
L15H25,query_child_last,mother_of,head_span,0.0024949169255733925,0.0019430957614375451,0.0006822685165470821,0.55,0.15
L15H25,query_child_last,mother_of,intact_clean,0.0024913677670591393,0.0019391039026618044,0.0006820005170721552,0.55,0.15
L15H25,query_child_last,mother_of,intact_corrupted,0.0024868079883374546,0.0019344641678966628,0.0006792875855310871,0.55,0.15
L15H25,query_child_last,mother_of,irrelevant,0.0024493528919732497,0.002041379549028646,0.0006586171447858354,0.525,0.15
L15H25,query_child_last,mother_of,none,0.0019272509067597924,0.0014851825051789799,0.0005204270216063489,0.55,0.15
L15H25,query_is,identity,head_site,0.0002097146882341164,0.00019666938943128462,3.590439666507228e-05,0.45,0.05
L15H25,query_is,identity,head_span,0.0002097146882341164,0.00019666938943128462,3.590439666507228e-05,0.45,0.05
L15H25,query_is,identity,intact_clean,0.00020944004524839124,0.00019659550094583647,3.5732256270939205e-05,0.45,0.05
L15H25,query_is,identity,intact_corrupted,0.00019822416164464772,0.00021221627682712613,3.550593886555508e-05,0.375,0.05
L15H25,query_is,identity,irrelevant,0.00019620771946116545,0.00021227244839385067,3.542610431468162e-05,0.375,0.05
L15H25,query_is,identity,none,4.286304185290506e-05,3.9910900509480036e-05,1.0910700496318187e-05,0.3,0.05
L15H25,query_is,mother_of,head_site,0.0023890042677859836,0.0018562611369280322,0.000637433681006185,0.55,0.15
L15H25,query_is,mother_of,head_span,0.0023890042677859836,0.0018562611369280322,0.000637433681006185,0.55,0.15
L15H25,query_is,mother_of,intact_clean,0.0023890312203706503,0.0018567852810494688,0.0006376250659998587,0.55,0.15
L15H25,query_is,mother_of,intact_corrupted,0.002389895613886659,0.0018596732106776637,0.0006360035258107828,0.55,0.15
L15H25,query_is,mother_of,irrelevant,0.002387743570609161,0.0018582406152728484,0.0006350729879715449,0.55,0.15
L15H25,query_is,mother_of,none,0.0019272509067597924,0.0014851825051789799,0.0005204270216063489,0.55,0.15
L17H1,query_is,identity,head_site,0.0002897973097411133,0.0003826006544105464,5.541879821262661e-05,0.325,0.0
L17H1,query_is,identity,head_span,0.0002897973097411133,0.0003826006544105464,5.541879821262661e-05,0.325,0.0
L17H1,query_is,identity,intact_clean,0.0003732801875240721,0.0002934264158429862,5.454584203656339e-05,0.5,0.0
L17H1,query_is,identity,intact_corrupted,0.0002849072310709015,0.0004098380830822707,5.4120383474732366e-05,0.25,0.0
L17H1,query_is,identity,irrelevant,0.0002822300768509439,0.00039890310704441526,5.3958053249194985e-05,0.275,0.0
L17H1,query_is,identity,none,4.286304185290506e-05,3.9910900509480036e-05,1.0910700496318187e-05,0.3,0.05
L17H1,query_is,mother_of,head_site,0.0022338975746036176,0.0017465685089033318,0.0005989386004659428,0.55,0.15
L17H1,query_is,mother_of,head_span,0.0022338975746036176,0.0017465685089033318,0.0005989386004659428,0.55,0.15
L17H1,query_is,mother_of,intact_clean,0.0022436285144084842,0.0017361578953452445,0.0005983691046636422,0.55,0.15
L17H1,query_is,mother_of,intact_corrupted,0.0022315964319280274,0.0017425144341195933,0.0005981212892999202,0.55,0.15
L17H1,query_is,mother_of,irrelevant,0.002231171954053185,0.0017435602354397776,0.0005991599038753376,0.55,0.15
L17H1,query_is,mother_of,none,0.0019272509067597924,0.0014851825051789799,0.0005204270216063489,0.55,0.15
L17H1,query_period,identity,head_site,0.0003238871392059927,0.00035135782916430016,6.157463292011273e-05,0.375,0.0
L17H1,query_period,identity,head_span,0.0003238871392059927,0.00035135782916430016,6.157463292011273e-05,0.375,0.0
L17H1,query_period,identity,intact_clean,0.00033040494798074454,0.00034218889367489423,6.139740897978558e-05,0.45,0.0
L17H1,query_period,identity,intact_corrupted,0.0003227306666524615,0.0003526800440164081,6.115185921059205e-05,0.4,0.0
L17H1,query_period,identity,irrelevant,0.00032243511205779,0.0003514763481148762,6.0581547577096894e-05,0.4,0.0
L17H1,query_period,identity,none,4.286304185290506e-05,3.9910900509480036e-05,1.0910700496318187e-05,0.3,0.05
L17H1,query_period,mother_of,head_site,0.002274701019668709,0.0017839016401015634,0.0006111612393627464,0.55,0.15
L17H1,query_period,mother_of,head_span,0.002274701019668709,0.0017839016401015634,0.0006111612393627464,0.55,0.15
L17H1,query_period,mother_of,intact_clean,0.0022962819467204254,0.001762861927883964,0.0006109842309400871,0.55,0.15
L17H1,query_period,mother_of,intact_corrupted,0.002267357511184989,0.0017825131040216143,0.0006090637345621273,0.55,0.15
L17H1,query_period,mother_of,irrelevant,0.002267121528577494,0.0017818151975114414,0.000605071980989293,0.55,0.15
L17H1,query_period,mother_of,none,0.0019272509067597924,0.0014851825051789799,0.0005204270216063489,0.55,0.15
