writer,site,readout,family,head_site_shift,head_span_shift,intact_corrupted_shift,irrelevant_shift,none_shift,intact
L15H25,query_child_last,identity,0,0.00390625,0.00390625,0.00390625,1.1328125,-0.052734375,5.876953125
L15H25,query_child_last,identity,16,0.0,0.0,0.029296875,0.05859375,1.375,-0.6484375
L15H25,query_child_last,identity,32,0.0019533634185791016,0.0019533634185791016,0.0175778865814209,-0.1347661018371582,-0.5546865463256836,7.61328125
L15H25,query_child_last,identity,48,0.04296875,0.04296875,0.1230471134185791,-1.121093511581421,-0.6367185115814209,2.285156011581421
L15H25,query_child_last,identity,56,-2.384185791015625e-07,-2.384185791015625e-07,0.01171875,0.126953125,0.140625,-0.734375
L15H25,query_child_last,identity,64,-0.021484375,-0.021484375,0.01953125,0.7832033634185791,-0.23046875,-0.2265625
L15H25,query_child_last,identity,82,0.013671875,0.013671875,-0.009765625,-0.05078125,0.900390625,0.318359375
L15H25,query_child_last,identity,96,0.001953125,0.001953125,-0.0078125,-0.529296875,1.6484375,1.046875
L15H25,query_child_last,identity,98,0.015625,0.015625,-0.017578125,0.595703125,-0.7734375,0.40625
L15H25,query_child_last,identity,102,-0.0195310115814209,-0.0195310115814209,-0.0781252384185791,0.6796872615814209,0.5234363079071045,-6.312499761581421
L15H25,query_child_last,identity,116,0.009765386581420898,0.009765386581420898,0.0507810115814209,0.150390625,1.013671875,-1.181640625
L15H25,query_child_last,identity,130,0.0,0.0,0.005859375,0.0546875,-0.408203125,0.259765625
L15H25,query_child_last,identity,150,0.091796875,0.091796875,0.1601557731628418,-0.1484377384185791,0.3105466365814209,5.119140863418579
L15H25,query_child_last,identity,154,0.013671875,0.013671875,0.001953125,-1.234374761581421,1.0449209213256836,-6.537109375
L15H25,query_child_last,identity,162,-0.001953601837158203,-0.001953601837158203,0.0624997615814209,-0.5214848518371582,-0.4746096134185791,-0.5761716365814209
L15H25,query_child_last,identity,176,-0.007812023162841797,-0.007812023162841797,0.017578125,0.203125,0.79296875,-2.21875
L15H25,query_child_last,identity,178,-0.0078125,-0.0078125,-0.025390625,-0.21484375,-0.13671875,-0.22265625
L15H25,query_child_last,identity,186,-0.0039064884185791016,-0.0039064884185791016,0.009765625,0.1171875,-0.44921875,0.39453125
L15H25,query_child_last,identity,192,-0.011718988418579102,-0.011718988418579102,0.015625,-0.087890625,-0.5234377384185791,-0.7851560115814209
L15H25,query_child_last,identity,196,0.0,0.0,0.013671875,-0.123046875,0.1171875,-0.234375
L15H25,query_child_last,mother_of,0,0.0029296875,0.0029296875,0.0058596134185791016,0.0068356990814208984,0.0312502384185791,5.173828363418579
L15H25,query_child_last,mother_of,16,0.001953125,0.001953125,0.0,-0.00390625,-0.0712890625,0.5732421875
L15H25,query_child_last,mother_of,32,-0.0009765625,-0.0009765625,0.0,0.0029296875,-0.072265625,0.212890625
L15H25,query_child_last,mother_of,48,0.0009765625,0.0009765625,0.0009765625,-0.6650390625,0.029296875,0.482421875
L15H25,query_child_last,mother_of,56,0.0,0.0,0.0029296875,0.029296875,0.08203125,0.265625
L15H25,query_child_last,mother_of,64,-0.001953125,-0.001953125,0.001953125,0.015625,0.1025390625,-0.4462890625
L15H25,query_child_last,mother_of,82,0.0009765625,0.0009765625,0.005859375,0.005859375,-0.0224609375,1.7041015625
L15H25,query_child_last,mother_of,96,0.001953125,0.001953125,0.00390625,-0.001953125,0.0966796875,1.3310546875
L15H25,query_child_last,mother_of,98,0.00390625,0.00390625,0.0,0.01953125,0.119140625,0.076171875
L15H25,query_child_last,mother_of,102,-4.76837158203125e-07,-4.76837158203125e-07,-7.152557373046875e-07,0.009765148162841797,-0.0625009536743164,-2.902343273162842
L15H25,query_child_last,mother_of,116,0.001953125,0.001953125,0.005859375,-0.0146484375,0.041015625,0.521484375
L15H25,query_child_last,mother_of,130,0.0,0.0,0.001953125,0.001953125,0.0673828125,-0.7236328125
L15H25,query_child_last,mother_of,150,-0.0009765625,-0.0009765625,0.00390625,-0.0107421875,0.02734375,1.814453125
L15H25,query_child_last,mother_of,154,-0.007812738418579102,-0.007812738418579102,0.0019528865814208984,0.00390625,-0.009766340255737305,-2.955077886581421
L15H25,query_child_last,mother_of,162,-0.0009765625,-0.0009765625,0.0009765625,-0.0087890625,-0.056640625,0.25390625
L15H25,query_child_last,mother_of,176,0.0009765625,0.0009765625,0.005859375,0.0126953125,-0.0068359375,0.2744140625
L15H25,query_child_last,mother_of,178,-0.001953125,-0.001953125,-0.0009765625,-0.0048828125,-0.0478515625,-0.0400390625
L15H25,query_child_last,mother_of,186,-0.0029296875,-0.0029296875,-0.0029296875,-0.0048828125,-0.0029296875,-0.3740234375
L15H25,query_child_last,mother_of,192,0.0,0.0,0.0009765625,0.0068359375,0.0107421875,-1.2783203125
L15H25,query_child_last,mother_of,196,-0.001953125,-0.001953125,-0.0029296875,-0.0068359375,0.021484375,0.8984375
L15H25,query_is,identity,0,0.0,0.0,-0.12109375,-0.15625,-0.220703125,6.044921875
L15H25,query_is,identity,16,0.0,0.0,-0.1875,-0.21875,1.041015625,-0.314453125
L15H25,query_is,identity,32,-0.0058596134185791016,-0.0058596134185791016,-0.13671875,-0.142578125,-0.2226552963256836,7.28125
L15H25,query_is,identity,48,0.005859375,0.005859375,-0.1640625,-0.15625,0.603515625,1.044921875
L15H25,query_is,identity,56,0.0078125,0.0078125,0.10546875,0.138671875,-0.234375,-0.359375
L15H25,query_is,identity,64,0.011718511581420898,0.011718511581420898,0.00390625,-0.0273439884185791,-0.98046875,0.5234375
L15H25,query_is,identity,82,0.005859375,0.005859375,-0.513671875,-0.5390625,0.861328125,0.357421875
L15H25,query_is,identity,96,0.01953125,0.01953125,-0.119140625,-0.14453125,1.3828125,1.3125
L15H25,query_is,identity,98,0.005859375,0.005859375,-0.076171875,-0.091796875,-0.5078125,0.140625
L15H25,query_is,identity,102,0.013671875,0.013671875,-0.298828125,-0.30859375,-0.4648447036743164,-5.32421875
L15H25,query_is,identity,116,0.0078122615814208984,0.0078122615814208984,-0.2070314884185791,-0.25,0.720703125,-0.888671875
L15H25,query_is,identity,130,-0.0058591365814208984,-0.0058591365814208984,-0.0332028865814209,-0.0195310115814209,-0.2851560115814209,0.1367185115814209
L15H25,query_is,identity,150,-0.005859375,-0.005859375,-0.11328125,-0.0625,0.837890625,4.591796875
L15H25,query_is,identity,154,0.0,0.0,-0.060546875,-0.025390625,1.1484365463256836,-6.640625
L15H25,query_is,identity,162,-0.001953125,-0.001953125,-0.1171875,-0.099609375,-0.568359375,-0.482421875
L15H25,query_is,identity,176,-0.0039064884185791016,-0.0039064884185791016,-0.0742189884185791,-0.0722661018371582,0.3164060115814209,-1.742187261581421
L15H25,query_is,identity,178,0.005859375,0.005859375,-0.23828125,-0.2734375,-0.609375,0.25
L15H25,query_is,identity,186,-0.001953125,-0.001953125,-0.25390625,-0.2734375,-0.521484375,0.466796875
L15H25,query_is,identity,192,-0.001953125,-0.001953125,-0.25,-0.298828125,-0.98046875,-0.328125
L15H25,query_is,identity,196,0.00390625,0.00390625,-0.16796875,-0.1328125,0.07421875,-0.19140625
L15H25,query_is,mother_of,0,7.152557373046875e-07,7.152557373046875e-07,-0.0019528865814208984,-0.0019526481628417969,0.012696266174316406,5.192382335662842
L15H25,query_is,mother_of,16,-0.0029296875,-0.0029296875,-0.0166015625,-0.0185546875,-0.09765625,0.599609375
L15H25,query_is,mother_of,32,-0.0009765625,-0.0009765625,0.0087890625,0.013671875,-0.083984375,0.224609375
L15H25,query_is,mother_of,48,0.0,0.0,0.0,-0.001953125,0.0537109375,0.4580078125
L15H25,query_is,mother_of,56,0.0,0.0,0.0048828125,0.0078125,0.0458984375,0.3017578125
L15H25,query_is,mother_of,64,0.0,0.0,0.0,0.0,0.0654296875,-0.4091796875
L15H25,query_is,mother_of,82,-0.0009765625,-0.0009765625,-0.0078125,-0.0126953125,-0.0263671875,1.7080078125
L15H25,query_is,mother_of,96,-0.001953125,-0.001953125,0.0009765625,-0.0107421875,0.0693359375,1.3583984375
L15H25,query_is,mother_of,98,0.001953125,0.001953125,0.00390625,0.001953125,0.12890625,0.06640625
L15H25,query_is,mother_of,102,0.0019533634185791016,0.0019533634185791016,0.0019526481628417969,0.0039060115814208984,-0.035156965255737305,-2.929687261581421
L15H25,query_is,mother_of,116,0.0,0.0,-0.005859375,-0.0048828125,0.0390625,0.5234375
L15H25,query_is,mother_of,130,0.001953125,0.001953125,-0.0048828125,-0.0048828125,0.056640625,-0.712890625
L15H25,query_is,mother_of,150,0.0009765625,0.0009765625,0.00390625,0.00390625,0.0146484375,1.8271484375
L15H25,query_is,mother_of,154,-4.76837158203125e-07,-4.76837158203125e-07,-0.005859851837158203,-0.011719226837158203,-0.042969703674316406,-2.921874523162842
L15H25,query_is,mother_of,162,0.0,0.0,0.0029296875,-0.001953125,-0.0234375,0.220703125
L15H25,query_is,mother_of,176,0.001953125,0.001953125,0.0,0.0009765625,-0.0244140625,0.2919921875
L15H25,query_is,mother_of,178,0.0,0.0,-0.00390625,-0.00390625,-0.05859375,-0.029296875
L15H25,query_is,mother_of,186,0.0,0.0,-0.005859375,-0.0009765625,-0.013671875,-0.36328125
L15H25,query_is,mother_of,192,0.001953125,0.001953125,-0.001953125,0.0009765625,0.009765625,-1.27734375
L15H25,query_is,mother_of,196,0.0,0.0,-0.0068359375,-0.00390625,0.0361328125,0.8837890625
L17H1,query_is,identity,0,-0.4472649097442627,-0.4472649097442627,-0.4101552963256836,-0.42578125,-1.0214838981628418,6.845702648162842
L17H1,query_is,identity,16,-0.45703125,-0.45703125,-0.560546875,-0.5214838981628418,1.582031488418579,-0.8554689884185791
L17H1,query_is,identity,32,-0.3437507152557373,-0.3437507152557373,-0.3906254768371582,-0.4160158634185791,-0.9433588981628418,8.001953601837158
L17H1,query_is,identity,48,-0.5546877384185791,-0.5546877384185791,-0.5703127384185791,-0.5917971134185791,0.3300778865814209,1.318359613418579
L17H1,query_is,identity,56,-0.37890625,-0.37890625,-0.359375,-0.3496091365814209,-0.435546875,-0.158203125
L17H1,query_is,identity,64,-0.55078125,-0.55078125,-0.638671875,-0.62890625,-1.03125,0.57421875
L17H1,query_is,identity,82,-0.533203125,-0.533203125,-0.8476557731628418,-0.822265625,1.037109613418579,0.1816403865814209
L17H1,query_is,identity,96,-0.234375,-0.234375,-0.306640625,-0.26953125,1.01171875,1.68359375
L17H1,query_is,identity,98,-0.3359372615814209,-0.3359372615814209,-0.3105459213256836,-0.3300776481628418,-1.3828120231628418,1.0156245231628418
L17H1,query_is,identity,102,-0.6953120231628418,-0.6953120231628418,-0.67578125,-0.724609375,-0.2421884536743164,-5.546875
L17H1,query_is,identity,116,-0.701171875,-0.701171875,-0.9101564884185791,-0.8457033634185791,0.16796875,-0.3359375
L17H1,query_is,identity,130,-0.4609375,-0.4609375,-0.3671877384185791,-0.349609375,-0.341796875,0.193359375
L17H1,query_is,identity,150,-0.419921875,-0.419921875,-0.5214846134185791,-0.462890625,0.26953125,5.16015625
L17H1,query_is,identity,154,-0.5390625,-0.5390625,-0.421875,-0.38671875,0.6132802963256836,-6.10546875
L17H1,query_is,identity,162,-0.3671875,-0.3671875,-0.41015625,-0.4140622615814209,0.04296875,-1.09375
L17H1,query_is,identity,176,-0.4765622615814209,-0.4765622615814209,-0.47265625,-0.45703125,-0.03125,-1.39453125
L17H1,query_is,identity,178,-0.501953125,-0.501953125,-0.634765625,-0.6660158634185791,-0.794921875,0.435546875
L17H1,query_is,identity,186,-0.2402341365814209,-0.2402341365814209,-0.5566403865814209,-0.5253903865814209,-0.4726560115814209,0.4179685115814209
L17H1,query_is,identity,192,-0.3828127384185791,-0.3828127384185791,-0.5058598518371582,-0.5000002384185791,-1.0,-0.30859375
L17H1,query_is,identity,196,-0.546875,-0.546875,-0.54296875,-0.56640625,-0.380859375,0.263671875
L17H1,query_is,mother_of,0,-0.0107421875,-0.0107421875,-0.0009760856628417969,-0.0009768009185791016,-0.010741710662841797,5.2158203125
L17H1,query_is,mother_of,16,-0.005859375,-0.005859375,-0.001953125,0.0009765625,-0.0947265625,0.5966796875
L17H1,query_is,mother_of,32,-0.025390625,-0.025390625,-0.0322265625,-0.0341796875,-0.115234375,0.255859375
L17H1,query_is,mother_of,48,-0.0078125,-0.0078125,-0.0078125,-0.009765625,0.0498046875,0.4619140625
L17H1,query_is,mother_of,56,-0.017578125,-0.017578125,-0.0107421875,-0.009765625,0.0224609375,0.3251953125
L17H1,query_is,mother_of,64,-0.0234375,-0.0234375,-0.01171875,-0.015625,0.0546875,-0.3984375
L17H1,query_is,mother_of,82,-0.0068359375,-0.0068359375,-0.0078125,-0.01171875,-0.0263671875,1.7080078125
L17H1,query_is,mother_of,96,0.0048828125,0.0048828125,-0.0068359375,-0.0087890625,0.07421875,1.353515625
L17H1,query_is,mother_of,98,-0.001953125,-0.001953125,0.0,0.0,0.1328125,0.0625
L17H1,query_is,mother_of,102,-0.023437023162841797,-0.023437023162841797,-0.015624761581420898,-0.0195310115814209,-0.013672113418579102,-2.951172113418579
L17H1,query_is,mother_of,116,-0.01953125,-0.01953125,-0.017578125,-0.0146484375,-0.0029296875,0.5654296875
L17H1,query_is,mother_of,130,-0.0068359375,-0.0068359375,-0.005859375,-0.0078125,0.0634765625,-0.7197265625
L17H1,query_is,mother_of,150,0.00390625,0.00390625,0.00390625,0.0068359375,0.01171875,1.830078125
L17H1,query_is,mother_of,154,0.00390625,0.00390625,-0.003906726837158203,0.003905773162841797,-0.0371098518371582,-2.927734375
L17H1,query_is,mother_of,162,-0.01953125,-0.01953125,-0.0146484375,-0.015625,-0.015625,0.212890625
L17H1,query_is,mother_of,176,-0.0009765625,-0.0009765625,-0.001953125,-0.0029296875,-0.033203125,0.30078125
L17H1,query_is,mother_of,178,-0.013671875,-0.013671875,-0.0126953125,-0.01171875,-0.064453125,-0.0234375
L17H1,query_is,mother_of,186,-0.0068359375,-0.0068359375,-0.0029296875,-0.00390625,0.00390625,-0.380859375
L17H1,query_is,mother_of,192,-0.0087890625,-0.0087890625,-0.0126953125,-0.0146484375,0.0205078125,-1.2880859375
L17H1,query_is,mother_of,196,-0.009765625,-0.009765625,-0.0166015625,-0.015625,0.02734375,0.892578125
L17H1,query_period,identity,0,-0.0332033634185791,-0.0332033634185791,0.001953125,-0.015625,-0.755859375,6.580078125
L17H1,query_period,identity,16,-0.052734375,-0.052734375,-0.0644528865814209,-0.0722658634185791,1.78125,-1.0546875
L17H1,query_period,identity,32,-0.01171875,-0.01171875,-0.025390625,-0.0253903865814209,-0.8281240463256836,7.88671875
L17H1,query_period,identity,48,-0.0468752384185791,-0.0468752384185791,-0.0664060115814209,-0.0703125,0.615234375,1.033203125
L17H1,query_period,identity,56,-0.0390625,-0.0390625,-0.04296875,-0.056640625,-0.21875,-0.375
L17H1,query_period,identity,64,-0.04296875,-0.04296875,-0.05078125,-0.05078125,-0.79296875,0.3359375
L17H1,query_period,identity,82,-0.06640625,-0.06640625,-0.080078125,-0.115234375,1.177734375,0.041015625
L17H1,query_period,identity,96,-0.02734375,-0.02734375,-0.029296875,-0.044921875,1.087890625,1.607421875
L17H1,query_period,identity,98,-0.0507814884185791,-0.0507814884185791,-0.0429685115814209,-0.03515625,-1.333984375,0.966796875
L17H1,query_period,identity,102,-0.0722649097442627,-0.0722649097442627,-0.095703125,-0.0742185115814209,-0.041016340255737305,-5.748047113418579
L17H1,query_period,identity,116,-0.056640625,-0.056640625,-0.0664064884185791,-0.056640625,0.6015625,-0.76953125
L17H1,query_period,identity,130,-0.0234372615814209,-0.0234372615814209,-0.01953125,-0.017578125,-0.078125,-0.0703125
L17H1,query_period,identity,150,-0.0312502384185791,-0.0312502384185791,-0.05078125,-0.0703125,0.482421875,4.947265625
