writer,site,family,saved_site_importance
L15H25,query_child_last,0,0.200958251953125
L15H25,query_child_last,16,0.25507354736328125
L15H25,query_child_last,32,0.2966461181640625
L15H25,query_child_last,48,0.30477142333984375
L15H25,query_child_last,56,0.2271575927734375
L15H25,query_child_last,64,0.2711181640625
L15H25,query_child_last,82,0.32208251953125
L15H25,query_child_last,96,0.7073593139648438
L15H25,query_child_last,98,0.4831695556640625
L15H25,query_child_last,102,0.35651350021362305
L15H25,query_child_last,116,0.86602783203125
L15H25,query_child_last,130,0.1756591796875
L15H25,query_child_last,150,0.248687744140625
L15H25,query_child_last,154,0.7568359375
L15H25,query_child_last,162,0.7138671875
L15H25,query_child_last,176,0.2587890625
L15H25,query_child_last,178,0.3863945007324219
L15H25,query_child_last,186,0.881072998046875
L15H25,query_child_last,192,0.568115234375
L15H25,query_child_last,196,0.30029296875
L15H25,query_is,0,-0.00372314453125
L15H25,query_is,16,0.0097808837890625
L15H25,query_is,32,-0.0264892578125
L15H25,query_is,48,0.0149688720703125
L15H25,query_is,56,0.0197601318359375
L15H25,query_is,64,0.0302734375
L15H25,query_is,82,0.00579833984375
L15H25,query_is,96,0.007720947265625
L15H25,query_is,98,-0.02154541015625
L15H25,query_is,102,0.02893829345703125
L15H25,query_is,116,0.02178955078125
L15H25,query_is,130,-0.008087158203125
L15H25,query_is,150,0.01593017578125
L15H25,query_is,154,-0.00347900390625
L15H25,query_is,162,0.0107421875
L15H25,query_is,176,0.002197265625
L15H25,query_is,178,-0.01860809326171875
L15H25,query_is,186,-0.0225830078125
L15H25,query_is,192,-0.00457763671875
L15H25,query_is,196,0.02001953125
L17H1,query_is,0,0.89404296875
L17H1,query_is,16,1.5325965881347656
L17H1,query_is,32,1.7858123779296875
L17H1,query_is,48,1.4874267578125
L17H1,query_is,56,1.218597412109375
L17H1,query_is,64,1.048095703125
L17H1,query_is,82,0.959228515625
L17H1,query_is,96,1.6971054077148438
L17H1,query_is,98,2.38720703125
L17H1,query_is,102,2.6138992309570312
L17H1,query_is,116,2.65484619140625
L17H1,query_is,130,2.1017913818359375
L17H1,query_is,150,0.555877685546875
L17H1,query_is,154,1.5765380859375
L17H1,query_is,162,2.591064453125
L17H1,query_is,176,3.46875
L17H1,query_is,178,1.5477561950683594
L17H1,query_is,186,1.462890625
L17H1,query_is,192,2.192352294921875
L17H1,query_is,196,1.609130859375
L17H1,query_period,0,0.4285888671875
L17H1,query_period,16,2.256927490234375
L17H1,query_period,32,1.3793487548828125
L17H1,query_period,48,0.81976318359375
L17H1,query_period,56,1.0070343017578125
L17H1,query_period,64,1.1365966796875
L17H1,query_period,82,1.738616943359375
L17H1,query_period,96,2.9747848510742188
L17H1,query_period,98,1.75213623046875
L17H1,query_period,102,1.2115707397460938
L17H1,query_period,116,1.39544677734375
L17H1,query_period,130,0.5080108642578125
L17H1,query_period,150,1.240692138671875
L17H1,query_period,154,1.97412109375
L17H1,query_period,162,1.03173828125
L17H1,query_period,176,0.835693359375
L17H1,query_period,178,0.9586906433105469
L17H1,query_period,186,2.17254638671875
L17H1,query_period,192,1.67791748046875
L17H1,query_period,196,1.0400390625
