pair_id,family,order,writer,site,condition,readout,lp_query_mother,lp_other_candidate,lp_other_mothers_mean,lp_query_child,contrast_candidates,contrast_all_mothers,query_mother_is_top_candidate,other_candidate_is_top_candidate,query_child_is_top_candidate,mother_in_top5,top_tokens
000/direct/base/0/order0,0,0,L17H1,query_is,intact_clean,identity,-7.443750858306885,-14.154687881469727,-16.615625381469727,-16.170312881469727,6.710937023162842,7.941405773162842,True,False,False,False, hello| | cat| x| \
000/direct/base/0/order0,0,0,L17H1,query_is,intact_clean,mother_of,-6.289812088012695,-11.500749588012695,-11.649187088012695,-10.547624588012695,5.2109375,5.28515625,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_is,head_site,identity,-7.681392669677734,-14.013423919677734,-16.669673919677734,-16.154048919677734,6.33203125,7.66015625,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_is,head_site,mother_of,-6.292156219482422,-11.499187469482422,-11.647624969482422,-10.538249969482422,5.20703125,5.28125,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_is,head_span,identity,-7.681392669677734,-14.013423919677734,-16.669673919677734,-16.154048919677734,6.33203125,7.66015625,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_is,head_span,mother_of,-6.292156219482422,-11.499187469482422,-11.647624969482422,-10.538249969482422,5.20703125,5.28125,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_is,intact_corrupted,identity,-7.7145915031433105,-14.105216979980469,-16.69115447998047,-16.18334197998047,6.390625476837158,7.683594226837158,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_is,intact_corrupted,mother_of,-6.298329830169678,-11.511220932006836,-11.651845932006836,-10.550283432006836,5.212891101837158,5.283203601837158,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_is,irrelevant,identity,-7.687849521636963,-14.156599044799805,-16.703474044799805,-16.242536544799805,6.468749523162842,7.742187023162842,True,False,False,False, hello| | cat| x| \
000/direct/base/0/order0,0,0,L17H1,query_is,irrelevant,mother_of,-6.292010307312012,-11.506854057312012,-11.647479057312012,-10.545916557312012,5.21484375,5.28515625,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_is,none,identity,-9.3501615524292,-15.1743803024292,-18.525943756103516,-18.182193756103516,5.82421875,7.500000476837158,True,False,False,False, x| | hello| ;| cat
000/direct/base/0/order0,0,0,L17H1,query_is,none,mother_of,-6.409299373626709,-11.614377975463867,-11.997190475463867,-10.622190475463867,5.205078601837158,5.396484851837158,True,False,False,False, k| Mary| mary| mar| j
000/direct/base/0/order0,0,0,L17H1,query_period,intact_clean,identity,-7.494455337524414,-13.892892837524414,-16.197580337524414,-15.728830337524414,6.3984375,7.55078125,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_period,intact_clean,mother_of,-6.250678539276123,-11.434272766113281,-11.582710266113281,-10.488960266113281,5.183594226837158,5.257812976837158,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_period,head_site,identity,-7.539532661437988,-13.891095161437988,-16.219219207763672,-15.758282661437988,6.3515625,7.515624523162842,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_period,head_site,mother_of,-6.259416580200195,-11.427385330200195,-11.583635330200195,-10.482072830200195,5.16796875,5.24609375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_period,head_span,identity,-7.539532661437988,-13.891095161437988,-16.219219207763672,-15.758282661437988,6.3515625,7.515624523162842,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_period,head_span,mother_of,-6.259416580200195,-11.427385330200195,-11.583635330200195,-10.482072830200195,5.16796875,5.24609375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_period,intact_corrupted,identity,-7.575893402099609,-13.98995590209961,-16.27901840209961,-15.85714340209961,6.4140625,7.55859375,True,False,False,False, hello| | cat| x| ;
000/direct/base/0/order0,0,0,L17H1,query_period,intact_corrupted,mother_of,-6.262709617614746,-11.424818992614746,-11.581068992614746,-10.479506492614746,5.162109375,5.240234375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_period,irrelevant,identity,-7.604475975036621,-14.331038475036621,-16.581039428710938,-16.206039428710938,6.7265625,7.851562976837158,True,False,False,False, hello| | cat| x| Hello
000/direct/base/0/order0,0,0,L17H1,query_period,irrelevant,mother_of,-6.280045032501221,-11.500747680664062,-11.649185180664062,-10.547622680664062,5.220702648162842,5.294921398162842,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L17H1,query_period,none,identity,-9.3501615524292,-15.1743803024292,-18.525943756103516,-18.182193756103516,5.82421875,7.500000476837158,True,False,False,False, x| | hello| ;| cat
000/direct/base/0/order0,0,0,L17H1,query_period,none,mother_of,-6.409299373626709,-11.614377975463867,-11.997190475463867,-10.622190475463867,5.205078601837158,5.396484851837158,True,False,False,False, k| Mary| mary| mar| j
000/direct/base/0/order0,0,0,L15H25,query_child_last,intact_clean,identity,-8.440201759338379,-14.190201759338379,-15.963639259338379,-14.955826759338379,5.75,6.63671875,True,False,False,False, hello| | cat| ;| Hello
000/direct/base/0/order0,0,0,L15H25,query_child_last,intact_clean,mother_of,-6.145124435424805,-11.318952560424805,-11.420515060424805,-10.354108810424805,5.173828125,5.224609375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_child_last,head_site,identity,-8.44847297668457,-14.20237922668457,-15.99144172668457,-14.96019172668457,5.75390625,6.6484375,True,False,False,False, hello| | cat| ;| Hello
000/direct/base/0/order0,0,0,L15H25,query_child_last,head_site,mother_of,-6.142233848571777,-11.316061973571777,-11.417624473571777,-10.351218223571777,5.173828125,5.224609375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_child_last,head_span,identity,-8.44847297668457,-14.20237922668457,-15.99144172668457,-14.96019172668457,5.75390625,6.6484375,True,False,False,False, hello| | cat| ;| Hello
000/direct/base/0/order0,0,0,L15H25,query_child_last,head_span,mother_of,-6.142233848571777,-11.316061973571777,-11.417624473571777,-10.351218223571777,5.173828125,5.224609375,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_child_last,intact_corrupted,identity,-8.343040466308594,-14.093040466308594,-15.749290466308594,-14.577415466308594,5.75,6.578125,True,False,False,False, hello| | cat| ;| Hello
000/direct/base/0/order0,0,0,L15H25,query_child_last,intact_corrupted,mother_of,-6.137338161468506,-11.315073013305664,-11.416635513305664,-10.346323013305664,5.177734851837158,5.228516101837158,True,False,False,False, Mary| k| mar| j| mary
000/direct/base/0/order0,0,0,L15H25,query_child_last,irrelevant,identity,-7.659509181976318,-14.600915908813477,-16.897790908813477,-15.741540908813477,6.941406726837158,8.089844226837158,True,False,False,False, hello| cat| | ;| Hello
000/direct/base/0/order0,0,0,L15H25,query_child_last,irrelevant,mother_of,-6.198599338531494,-11.382192611694336,-11.522817611694336,-10.444692611694336,5.183593273162842,5.253905773162842,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_child_last,none,identity,-9.3501615524292,-15.1743803024292,-18.525943756103516,-18.182193756103516,5.82421875,7.500000476837158,True,False,False,False, x| | hello| ;| cat
000/direct/base/0/order0,0,0,L15H25,query_child_last,none,mother_of,-6.409299373626709,-11.614377975463867,-11.997190475463867,-10.622190475463867,5.205078601837158,5.396484851837158,True,False,False,False, k| Mary| mary| mar| j
000/direct/base/0/order0,0,0,L15H25,query_is,intact_clean,identity,-8.090714454650879,-14.063370704650879,-17.039934158325195,-15.821183204650879,5.97265625,7.460937976837158,True,False,False,False, hello| | cat| ;| \
000/direct/base/0/order0,0,0,L15H25,query_is,intact_clean,mother_of,-6.213188648223877,-11.404594421386719,-11.553031921386719,-10.428031921386719,5.191405773162842,5.265624523162842,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_is,head_site,identity,-8.103667259216309,-14.080229759216309,-17.048978805541992,-15.830229759216309,5.9765625,7.460937023162842,True,False,False,False, hello| | cat| ;| \
000/direct/base/0/order0,0,0,L15H25,query_is,head_site,mother_of,-6.212747097015381,-11.402200698852539,-11.550638198852539,-10.429544448852539,5.189453601837158,5.263672351837158,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_is,head_span,identity,-8.103667259216309,-14.080229759216309,-17.048978805541992,-15.830229759216309,5.9765625,7.460937023162842,True,False,False,False, hello| | cat| ;| \
000/direct/base/0/order0,0,0,L15H25,query_is,head_span,mother_of,-6.212747097015381,-11.402200698852539,-11.550638198852539,-10.429544448852539,5.189453601837158,5.263672351837158,True,False,False,False, Mary| k| mar| mary| j
000/direct/base/0/order0,0,0,L15H25,query_is,intact_corrupted,identity,-8.2296142578125,-14.1827392578125,-17.1124267578125,-15.8702392578125,5.953125,7.41796875,True,False,False,False, hello| | cat| ;| \
000/direct/base/0/order0,0,0,L15H25,query_is,intact_corrupted,mother_of,-6.2057061195373535,-11.391252517700195,-11.539690017700195,-10.434221267700195,5.185546398162842,5.259765148162842,True,False,False,False, Mary| k| mar| mary| j
