writer,site,readout,condition,families,prompts,contrast_candidates,contrast_all_mothers,lp_query_mother,lp_other_candidate,lp_query_child,frac_query_mother_top,frac_other_candidate_top,frac_query_child_top
L15H25,query_child_last,identity,head_site,20,40,0.18818360567092896,2.413085925579071,-9.057730209827422,-9.245913815498351,-13.94259353876114,0.35,0.4,0.15
L15H25,query_child_last,identity,head_span,20,40,0.18818360567092896,2.413085925579071,-9.057730209827422,-9.245913815498351,-13.94259353876114,0.35,0.4,0.15
L15H25,query_child_last,identity,intact_clean,20,40,0.18212894201278687,2.405468779802322,-9.0680340051651,-9.250162947177888,-13.96100274324417,0.35,0.4,0.15
L15H25,query_child_last,identity,intact_corrupted,20,40,0.20234372615814208,2.422265589237213,-9.042512893676758,-9.2448566198349,-13.934700441360473,0.35,0.4,0.15
L15H25,query_child_last,identity,irrelevant,20,40,0.1689453125,2.0273437559604646,-9.12935620546341,-9.29830151796341,-14.951133465766906,0.45,0.4,0.0
L15H25,query_child_last,identity,none,20,40,0.3634765148162842,2.636035370826721,-10.778091335296631,-11.141567850112915,-16.657974767684937,0.3,0.5,0.05
L15H25,query_child_last,mother_of,head_site,20,40,0.24291993379592897,1.7319335997104646,-6.356521046161651,-6.59944097995758,-9.860915541648865,0.55,0.25,0.15
L15H25,query_child_last,mother_of,head_span,20,40,0.24291993379592897,1.7319335997104646,-6.356521046161651,-6.59944097995758,-9.860915541648865,0.55,0.25,0.15
L15H25,query_child_last,mother_of,intact_clean,20,40,0.24311528205871583,1.732080101966858,-6.357955253124237,-6.601070535182953,-9.863033413887024,0.55,0.25,0.15
L15H25,query_child_last,mother_of,intact_corrupted,20,40,0.24492188692092895,1.734130895137787,-6.360021185874939,-6.604943072795868,-9.867198967933655,0.55,0.25,0.15
L15H25,query_child_last,mother_of,irrelevant,20,40,0.21279298067092894,1.6652344167232513,-6.375093865394592,-6.587886846065521,-9.950826358795165,0.525,0.275,0.15
L15H25,query_child_last,mother_of,none,20,40,0.2569335699081421,1.7532716035842895,-6.611252546310425,-6.868186116218567,-10.110276317596435,0.55,0.25,0.15
L15H25,query_is,identity,head_site,20,40,0.2969726204872131,2.4682617008686067,-9.094490504264831,-9.391463124752045,-15.01851396560669,0.45,0.4,0.05
L15H25,query_is,identity,head_span,20,40,0.2969726204872131,2.4682617008686067,-9.094490504264831,-9.391463124752045,-15.01851396560669,0.45,0.4,0.05
L15H25,query_is,identity,intact_clean,20,40,0.2939453125,2.465576148033142,-9.095507180690765,-9.389452493190765,-15.018456363677979,0.45,0.4,0.05
L15H25,query_is,identity,intact_corrupted,20,40,0.14277342557907105,2.357324206829071,-9.176174330711365,-9.318947756290436,-15.032522177696228,0.375,0.475,0.05
