head,all_positive,base_final_events,base_final_positive,final_events,final_positive,all_answer_fraction,base_final_answer_fraction,final_answer_fraction
L0H1,0.490032154340836,0,,0,,0.170995670995671,,
L10H16,0.5204359673024523,0,,0,,0.051771117166212535,,
L11H15,0.5088607594936709,0,,0,,0.09069767441860466,,
L11H20,0.265993265993266,0,,0,,0.28635346756152125,,
L11H27,0.45518453427065025,0,,0,,0.07863247863247863,,
L11H3,0.5708382526564345,21,0.5714285714285714,68,0.5882352941176471,0.14165261382799327,0.0,0.014705882352941176
L11H4,0.34911242603550297,0,,0,,0.002890173410404624,,
L11H7,0.41741472172351884,0,,0,,0.12558869701726844,,
L12H17,0.5452488687782805,0,,0,,0.1849894291754757,,
L12H2,0.43029259896729777,0,,0,,0.12060301507537688,,
L12H9,0.5066666666666667,0,,0,,0.11666666666666667,,
L13H1,0.39655172413793105,0,,0,,0.10638297872340426,,
L13H10,0.43142857142857144,0,,0,,0.16824966078697423,,
L13H22,0.4342629482071713,0,,0,,0.0,,
L14H10,0.5066225165562914,0,,0,,0.003278688524590164,,
L14H23,0.4915102770330652,0,,0,,0.12509773260359655,,
L14H26,0.5380604796663191,0,,0,,0.13496448303078137,,
L15H0,0.5043478260869565,0,,0,,0.12324929971988796,,
L15H18,0.6590909090909091,0,,0,,0.004545454545454545,,
L15H2,0.7166947723440135,0,,0,,0.05844155844155844,,
L15H25,0.41736227045075125,0,,0,,0.31260229132569556,,
L15H28,0.44558991981672397,2,0.5,15,0.5333333333333333,0.026345933562428408,0.0,0.0
L15H29,0.4968553459119497,0,,0,,0.08333333333333333,,
L15H3,0.5353418308227115,7,0.42857142857142855,29,0.6896551724137931,0.05625717566016074,0.0,0.0
L16H1,0.5022421524663677,39,0.5384615384615384,136,0.47794117647058826,0.020802377414561663,0.0,0.007352941176470588
L16H16,0.4819639278557114,1,0.0,6,0.16666666666666666,0.07347328244274809,0.0,0.0
L16H2,0.39790575916230364,19,0.2631578947368421,76,0.3026315789473684,0.03398058252427184,0.0,0.0
L16H21,0.5989110707803993,36,0.5555555555555556,145,0.5103448275862069,0.11282843894899536,0.0,0.0
L16H24,0.5087351502445842,35,0.45714285714285713,135,0.45185185185185184,0.03805774278215223,0.0,0.0
L16H31,0.41735537190082644,18,0.3333333333333333,57,0.3157894736842105,0.05371900826446281,0.0,0.0
L16H4,0.48,27,0.5185185185185185,98,0.5204081632653061,0.04772234273318872,0.0,0.0
L17H1,0.7656385125396368,0,,0,,0.1896091284292304,,
L17H17,0.3883495145631068,0,,2,0.5,0.19907407407407407,,0.5
L17H24,0.9431500465983225,14,1.0,52,1.0,0.16176470588235295,1.0,0.9423076923076923
L17H3,0.44200626959247646,8,0.375,26,0.34615384615384615,0.13850415512465375,0.0,0.0
