head,role,condition,signed_mean,mean_absolute_pair,max_absolute_pair,mean_absolute_family
L0H1,target,reorder,-0.0012176139119674078,0.0016285239718399238,0.0048820207357493,0.001287547181891549
L0H1,target,corruption,-4.308451025280035e-05,0.00030971531373322593,0.001252731308341,0.0002938276588792855
L0H1,source,reorder,-0.0022835008095569063,0.003142423962020715,0.0081386250967625,0.002474868719440319
L0H1,source,corruption,3.1510394364886447e-07,2.04528400900017e-06,1.0441988706588743e-05,1.8911076494987356e-06
L10H16,target,reorder,0.002035002544289427,0.002714804961578869,0.0113815022632479,0.0023302525456528767
L10H16,target,corruption,0.00015244758687912754,0.0013518977444618423,0.0051387678831815,0.0013027246808632723
L10H16,source,reorder,-0.00580519820796324,0.00967763887019823,0.0207650582306087,0.007211346284020664
L10H16,source,corruption,-0.0012086246395483404,0.0016199848847463301,0.0069337040185928,0.0015815630322321874
L11H15,target,reorder,-6.883408132125546e-05,0.0004319318373745386,0.0014844505349174,0.00024400608162976158
L11H15,target,corruption,-2.280106928083496e-05,0.00023141947676773482,0.0007166104041971,0.00018985560091093123
L11H15,source,reorder,-0.0006922342339748445,0.000716550123433943,0.0014647983480244,0.0006922342339748445
L11H15,source,corruption,1.197749224956317e-06,7.798180886309782e-05,0.0002719283802434,7.23228717106227e-05
L11H20,target,reorder,-0.0005748859577579217,0.001237160610617092,0.0040487317601218,0.0008662962791276867
L11H20,target,corruption,-9.555041033308011e-05,0.0004665080370613864,0.001309314277023,0.0004328923678258099
L11H20,source,reorder,-0.0003672024264233154,0.0011188413569470403,0.0032820736523717,0.0006204457080457266
L11H20,source,corruption,9.618913463781734e-06,9.81578094069662e-05,0.0005454546771943,8.762788347665244e-05
L11H27,target,reorder,-0.008181816409341984,0.0212054413510486,0.0610652100294828,0.011880167271010569
L11H27,target,corruption,-0.0009554177289828644,0.013165409513749133,0.0545186698436737,0.012850500526837953
L11H27,source,reorder,-0.01413190489984115,0.02339717461145479,0.0680802618153393,0.018303441646276015
L11H27,source,corruption,-0.00035794612485914987,0.00374273520428683,0.0205052942037582,0.0032927828608080552
L11H3,target,reorder,-0.010258940176572634,0.014545689278747836,0.0426965355873107,0.011095594649668762
L11H3,target,corruption,-0.001541568036191147,0.011567255179397709,0.0413635708391666,0.010861687152646437
L11H3,source,reorder,-0.04015209369827059,0.05107982803601767,0.1288365572690963,0.042902669985778595
L11H3,source,corruption,0.00027341512031853963,0.01000688499771053,0.0335783213376998,0.00891167591325934
L11H4,target,reorder,-0.0017629195703193206,0.002183094795327586,0.0091975922696292,0.0017819988890550708
L11H4,target,corruption,0.00020297648734411727,0.0021303164714481255,0.009016552241519,0.001935286988737037
L11H4,source,reorder,-0.011412910404033005,0.014796607146854466,0.0568602411076426,0.011412910404033005
L11H4,source,corruption,-0.00124379636254161,0.0030258309445343476,0.0214452184736728,0.002922914258670024
L11H7,target,reorder,0.0017751707986462674,0.001994001952698416,0.0083944250363856,0.0018240109959151425
L11H7,target,corruption,0.00021342534455469058,0.0004798454872797683,0.001643561059609,0.0004336413112468588
L11H7,source,reorder,0.0004050370946060769,0.001273233015672266,0.0033234765869565,0.0006749966618371976
L11H7,source,corruption,2.2302828438108692e-05,0.00010527064878258633,0.0003412244841456,9.264314576282877e-05
L12H17,target,reorder,-0.0048803250596392775,0.006894688197644386,0.0220098597928881,0.005436121829552568
