head,routing_signed,routing_mean_absolute,values_mean_absolute,interaction_mean_absolute
L0H1,-0.00030274337597107617,0.0027965267052811184,0.002788436546754301,0.004105492924036605
L1H27,0.00019262613875142644,0.0024697110894021023,0.0025361843323439695,0.003472301397430763
L2H1,-0.0006272310621283027,0.00254454505577516,0.0028418315930312937,0.004337053620413448
L2H21,-0.0005171432923734857,0.002237786068005508,0.002580811468402991,0.0038406420289800406
L2H22,-0.0005849157826284345,0.003205307414022724,0.0025936083847217344,0.004184870237714789
L3H11,-0.00036413214179906953,0.002831801939546392,0.003218942813658982,0.004081176907828684
L4H0,-0.0003393419672933857,0.002716476997632659,0.002645138944132944,0.004100649544362272
L5H18,-2.404009358266766e-05,0.0031322147069352394,0.003444087639283598,0.004715635535422336
L6H2,-0.0006092103679528397,0.002742161911525083,0.0028395920657040027,0.004217935412117605
L6H12,-0.00022394201728735078,0.0025935548075129477,0.002576067206564914,0.0036817186334159938
L6H24,-0.00014092948999297754,0.003079210774282391,0.0029704517193054887,0.003876809323771616
L7H1,0.0002786657783422577,0.0027566974082689605,0.002863953622539392,0.004320884018801571
L7H18,-0.0002782559126950382,0.0028035212098882437,0.00283931882193919,0.0032456403367974785
L7H25,-0.0005122891972573955,0.0028969357522685875,0.0027285533004932187,0.0037336590584744226
L8H8,0.00025816178053952334,0.0029369793581158926,0.0026880703615338613,0.004419776830780372
L8H15,-0.0002949746806969803,0.0030382027786769223,0.003255311022983508,0.003931158044365015
L8H16,-3.356612130497279e-05,0.0029453802644536734,0.0027972446398788625,0.004588748631852396
L9H6,-0.00042313136411516856,0.002851432628845901,0.004153015908230556,0.0039627203780613586
L9H16,0.00031453036190418716,0.002966623627737667,0.002818954124879301,0.00382836481158653
L9H17,-0.000822469089808089,0.003564668505379323,0.004180005427156941,0.004927921830938103
L9H22,-0.0010707485541868746,0.0030299813559885773,0.003325665934701984,0.0038695897948875855
L9H23,-0.0006380402640010534,0.00306999549437105,0.0027373506781760227,0.004251013980822616
L9H26,-0.0003343164251091775,0.0030279963204030242,0.003832040208109309,0.004706832800018653
L10H16,-0.0001363781061065331,0.0033176856094531797,0.003959853997391262,0.004154636618796359
L11H3,-0.0015947282984015646,0.005216199360536725,0.005423776219400127,0.005985702021738116
L11H4,0.00011723764826742451,0.0032501542166377723,0.003295743063594518,0.0034666114978575972
L11H7,0.0002992019224702642,0.0026485089505656383,0.0037849619147482883,0.00420151399762443
L11H15,-8.933731679166301e-05,0.002657175064086914,0.006968230343936534,0.003576586755473962
L11H20,6.4405162682694e-05,0.003165550446242429,0.003469306431459577,0.0038056025344334293
L11H27,0.0005377973063608233,0.012329112277941758,0.012434771891390339,0.007143079564812478
L12H2,-0.00021769491474280198,0.0033105357309405723,0.003992053899872169,0.004603166258736943
L12H9,-0.0012174134843804863,0.008949922711661692,0.009259320376964097,0.005396687582637487
L12H17,-0.0007952411523026027,0.004306509253684055,0.016866619667310394,0.004508610521809438
L13H1,-0.0004184058543001668,0.0027000662985812414,0.0026980357223682187,0.0034817309861772516
L13H10,-0.0012219086121977045,0.005008049225539304,0.033325982897469165,0.004908325966824306
L13H22,0.0005163878537295909,0.00857568590828542,0.00824190793412455,0.005267445960741365
L13H30,-4.810697576972876e-05,0.004072473290261258,0.0042322378480032586,0.005189807227488314
L14H10,-0.00016283185294504914,0.004705964849236306,0.010377841049365783,0.005946719244624791
L14H23,0.0003768165459793605,0.006248701824231095,0.033523184529850994,0.004432919320095791
