head,anchor,current_role,events,families,target,control,gap
L1H27,first,control,366,84,0.03308643194561746,0.03109184968786297,0.001994582257754487
L1H27,last,control,366,84,0.008169221805222886,0.0073240268583030866,0.0008451949469197987
L1H27,first,neither,40,23,0.02823822440755,0.03010258554753168,-0.0018643611399816794
L1H27,last,neither,40,23,0.01086144887342833,0.008919869507168046,0.0019415793662602848
L1H27,first,target,5,1,0.05846955180168152,0.05257745496928692,0.0058920968323946
L1H27,last,target,5,1,0.0,0.0,0.0
L2H21,first,neither,53,16,0.009341122617721947,0.011581637607863134,-0.0022405149901411885
L2H21,last,neither,53,16,0.01773679122561589,0.01673856316629099,0.0009982280593249014
L2H21,first,control,15,8,0.005699297762475908,0.006613846472949565,-0.0009145487104736578
L2H21,last,control,15,8,0.027710818802006543,0.023289643034028508,0.004421175767978031
L2H21,first,target,9,2,0.004027513476709525,0.013356005359027121,-0.009328491882317597
L2H21,last,target,9,2,0.0,0.0007331701409485606,-0.0007331701409485606
L2H22,first,neither,18,9,0.007962214386228609,0.009108573938202526,-0.0011463595519739167
L2H22,last,neither,18,9,0.01038659492559317,0.005974194285011402,0.004412400640581769
L2H22,first,control,3,3,0.0,0.006627379153441223,-0.006627379153441223
L2H22,last,control,3,3,0.014884311705827713,0.01538420610854195,-0.0004998944027142384
L2H22,first,target,9,3,0.011812418735644314,0.0,0.011812418735644314
L2H22,last,target,9,3,0.05896142264828086,0.02951968606147501,0.029441736586805854
L3H11,first,neither,3,1,0.03651334593693415,0.012336155399680138,0.024177190537254017
L3H11,last,neither,3,1,0.0,0.009386424285670122,-0.009386424285670122
L4H0,first,neither,69,20,0.008471863995128798,0.0063674457098906205,0.0021044182852381797
L4H0,last,neither,69,20,0.020512571211050577,0.016955382199393212,0.0035571890116573614
L4H0,first,control,61,12,0.004057731497030343,0.0132598548265243,-0.00920212332949396
L4H0,last,control,61,12,0.01889580539168997,0.004664855445002171,0.014230949946687799
L5H18,first,neither,181,59,0.010272363789741208,0.0055119826203858385,0.004760381169355367
L5H18,last,neither,181,59,0.01270542332826965,0.008903512622980938,0.0038019107052887128
L5H18,first,control,133,50,0.007078337506513992,0.005990858323162621,0.001087479183351369
L5H18,last,control,133,50,0.01402870953751897,0.015866553824418605,-0.001837844286899634
L5H18,first,target,71,20,0.01508844809635775,0.003961724350210426,0.011126723746147326
L5H18,last,target,71,20,0.01720375625908976,0.012801100625638068,0.004402655633451695
L6H2,first,control,811,89,0.006602676571496443,0.006906297198761602,-0.000303620627265156
L6H2,last,control,811,89,0.012599454408555163,0.0056821275115247006,0.006917326897030462
L6H2,first,neither,116,37,0.009427151863097347,0.005893110234340379,0.0035340416287569674
L6H2,last,neither,116,37,0.02019470938083376,0.01005989633071098,0.010134813050122779
L6H24,first,control,346,86,0.009636491859526064,0.008468268507971756,0.0011682233515543114
L6H24,last,control,346,86,0.02328221339517118,0.02257618902417876,0.0007060243709924173
