head,role,observed_pairs,conditional_report_mean,all40_mean
L17H1,child first,40,-0.060343170166015626,-0.060343170166015626
L17H1,child last,40,-0.0036577224731445326,-0.0036577224731445326
L17H1,child middle,6,-0.0034688313802083335,-0.00052032470703125
L17H1,is,40,1.76925048828125,1.76925048828125
L17H1,mother,40,0.32528076171875,0.32528076171875
L17H1,mother first,40,0.05010242462158203,0.05010242462158203
L17H1,mother last,40,1.6681089401245117,1.6681089401245117
L17H1,mother middle,40,1.1490149438381194,1.1490149438381194
L17H1,of,40,0.3593172073364258,0.3593172073364258
L17H1,period,40,1.3770132064819336,1.3770132064819336
L17H1,the,40,-0.00741119384765625,-0.00741119384765625
L15H25,child first,40,0.03668422698974609,0.03668422698974609
L15H25,child last,40,0.42902963161468505,0.42902963161468505
L15H25,child middle,6,0.018829345703125,0.00282440185546875
L15H25,is,40,0.00394134521484375,0.00394134521484375
L15H25,mother,40,0.009610366821289063,0.009610366821289063
L15H25,mother first,40,0.0005283355712890625,0.0005283355712890625
L15H25,mother last,40,0.0067205429077148455,0.0067205429077148455
L15H25,mother middle,40,-0.00195779800415039,-0.00195779800415039
L15H25,of,40,0.0050291061401367175,0.0050291061401367175
L15H25,period,40,0.03289585113525391,0.03289585113525391
L15H25,the,40,-0.001069068908691405,-0.001069068908691405
L13H10,child first,40,0.018923568725585937,0.018923568725585937
L13H10,child last,40,0.010161781311035156,0.010161781311035156
L13H10,child middle,6,0.046488444010416664,0.0069732666015625
L13H10,is,40,-0.21942424774169922,-0.21942424774169922
L13H10,mother,40,-0.030263519287109374,-0.030263519287109374
L13H10,mother first,40,-0.01987152099609375,-0.01987152099609375
L13H10,mother last,40,-0.14378700256347657,-0.14378700256347657
L13H10,mother middle,40,-0.04676074981689453,-0.04676074981689453
L13H10,of,40,-0.21529273986816405,-0.21529273986816405
L13H10,period,40,-0.03172047138214111,-0.03172047138214111
L13H10,the,40,0.0011974334716796874,0.0011974334716796874
