head,variant,site,metric,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L0H1,base,earlier,self,0.15372702930217322,0.004839515176900373,0.14742147631697217,0.1627753604880788,20,2096,1.0
L0H1,base,earlier,previous,0.6722105307673532,0.009466502819815885,0.6544538505661947,0.6862994743620648,20,2096,1.0
L0H1,base,earlier,distractor_target_mass,0.0432128360521553,0.00120486285973607,0.0411859392175688,0.04556526749012026,20,4413,1.0
L0H1,base,earlier,distractor_target_first,0.008590907388034178,0.004932998450514149,0.002660667094069989,0.01944362009786904,20,4413,1.0
L0H1,base,earlier,distractor_target_last,0.015811615649796176,0.001176916461345978,0.014351124790145742,0.018491414973533515,20,4413,1.0
L0H1,base,earlier,distractor_source_mass,0.039342036610949725,0.0021914029287638708,0.03341103242913953,0.04315335117587745,20,3633,1.0
L0H1,base,earlier,distractor_source_first,0.01735707910906169,0.008493739289575291,0.0020254531595504366,0.029689044975735157,20,3633,1.0
L0H1,base,earlier,distractor_source_last,0.010910729081238118,0.001492001909623927,0.00895747802973065,0.013598133847651293,20,3633,1.0
L0H1,base,earlier,relevant_target_mass,0.054509803560272664,0.00204209740497538,0.050433707970001684,0.057045047172371265,20,1193,1.0
L0H1,base,earlier,relevant_target_first,0.005823924083789753,0.0011097225944590144,0.0041378199722815,0.007842407880894757,20,1193,1.0
L0H1,base,earlier,relevant_target_last,0.020672550946699994,0.0038973037104933677,0.016102199175798942,0.027903458804253965,20,1193,1.0
L0H1,base,earlier,relevant_source_mass,0.04755336666997076,0.0038604133880262856,0.03761774083407912,0.05315881455254384,20,947,1.0
L0H1,base,earlier,relevant_source_first,0.029766288980365326,0.011028301925991751,0.006383628752034838,0.040420838499935774,20,947,1.0
L0H1,base,earlier,relevant_source_last,0.01310876255440677,0.003658036175894391,0.009777427722784969,0.02093985041560842,20,947,1.0
L0H1,base,final,self,0.3864089109003544,0.001273311579556761,0.383549302816391,0.3883265554904938,20,40,1.0
L0H1,base,final,previous,0.251248911768198,0.0008457152760250972,0.24887615442276,0.2527672350406647,20,40,1.0
L0H1,base,final,distractor_source_mass,0.0016792938735780655,0.0003879560923665056,0.0009032230336742941,0.002361882333692241,20,120,1.0
L0H1,base,final,distractor_source_first,0.0004230146880653744,0.0001849035059284728,0.00015243946836562827,0.0007880344589163238,20,120,1.0
L0H1,base,final,distractor_source_last,0.0007969290163894509,0.00020306820745461259,0.0005745924912237873,0.0012835838420717967,20,120,1.0
L0H1,base,final,distractor_target_mass,0.0008163886773369693,0.00017245187834800002,0.0004767072493147377,0.0011457642091651603,20,120,1.0
L0H1,base,final,distractor_target_first,0.00015843835442031683,7.325930298128188e-05,4.531055333245604e-05,0.0003038316341796114,20,120,1.0
L0H1,base,final,distractor_target_last,0.0002684832455590443,5.7080060543775663e-05,0.00014380104827675191,0.0003861553841488785,20,120,1.0
L0H1,base,final,relevant_source_mass,0.003522951645982175,0.0006719733468764678,0.0021413365902844816,0.004680627200286835,20,40,1.0
L0H1,base,final,relevant_source_first,0.0013747790471370536,0.0006202105533681139,7.799868672009325e-05,0.0024128132426994853,20,40,1.0
L0H1,base,final,relevant_source_last,0.002034076177824318,0.0005442189808456351,0.0013917754308749863,0.0036887451715301722,20,40,1.0
L0H1,base,final,relevant_target_mass,0.0019456424070085632,0.0006995485201250118,0.00036928955660187057,0.002669979352504015,20,40,1.0
L0H1,base,final,relevant_target_first,0.00043638524054472326,0.00020026114805994055,5.3812210921933e-05,0.0007994065817911178,20,40,1.0
L0H1,base,final,relevant_target_last,0.0005471868449234308,0.00021945850344078218,0.00024383002630656847,0.0011175636609550565,20,40,1.0
L2H21,base,earlier,self,0.010513452853761021,0.0023154642084064238,0.006760891765879933,0.016146399720773016,20,2096,1.0
L2H21,base,earlier,previous,0.030304800517148112,0.018134152690358844,0.008776427559570614,0.07775658450495526,20,2096,1.0
L2H21,base,earlier,distractor_target_mass,0.017835871235102493,0.004220565314629577,0.012043807482566789,0.028346756285075037,20,4413,1.0
L2H21,base,earlier,distractor_target_first,0.0033831218048457658,0.0013246714805337958,0.0017879739191032837,0.006164355931649089,20,4413,1.0
L2H21,base,earlier,distractor_target_last,0.005510832630705255,0.0023512611447025185,0.0025508934069906806,0.01242385781452863,20,4413,1.0
L2H21,base,earlier,distractor_source_mass,0.019309567080987487,0.007377763304030625,0.00995205356759305,0.03724269200229665,20,3633,1.0
L2H21,base,earlier,distractor_source_first,0.005948450993186995,0.0022777236374744297,0.0023874366319780187,0.010480363611857117,20,3633,1.0
L2H21,base,earlier,distractor_source_last,0.006510135160519235,0.0031866591350798216,0.0028249427726542626,0.016772223804478667,20,3633,1.0
L2H21,base,earlier,relevant_target_mass,0.021837858155781563,0.012376382698663552,0.005694323081600791,0.04529081609054301,20,1193,1.0
L2H21,base,earlier,relevant_target_first,0.0028648075367255278,0.0009242408599999598,0.0012135470991277795,0.005389273852743514,20,1193,1.0
L2H21,base,earlier,relevant_target_last,0.004104528028317204,0.0014857586203338637,0.002158498430799227,0.006816784915766524,20,1193,1.0
L2H21,base,earlier,relevant_source_mass,0.011833339693324854,0.007986670637258516,0.004187697163180691,0.04113583752890312,20,947,1.0
L2H21,base,earlier,relevant_source_first,0.00469404735819365,0.002868630990279639,0.0010832577292761846,0.012034107626296897,20,947,1.0
L2H21,base,earlier,relevant_source_last,0.004615086541321129,0.002730379815786417,0.001949086653185077,0.012672781947912881,20,947,1.0
L2H21,base,final,self,0.0036935546377208084,0.000279520194765879,0.0031449124217033386,0.004249803023412824,20,40,1.0
L2H21,base,final,previous,0.009028096531983465,0.0006004189460665676,0.007668529404327273,0.009827241767197847,20,40,1.0
L2H21,base,final,distractor_source_mass,0.012614456961940352,0.004395440910620001,0.0044942036814366775,0.023957681686927874,20,120,1.0
L2H21,base,final,distractor_source_first,0.00521604497722971,0.002310448760419352,0.0017514456994831562,0.012778957141563296,20,120,1.0
L2H21,base,final,distractor_source_last,0.0051000805615331055,0.0036818627829269075,0.001622399848808224,0.01658681609357397,20,120,1.0
L2H21,base,final,distractor_target_mass,0.016218795344078295,0.004630116417396711,0.009201438321421543,0.026761196941758197,20,120,1.0
