head,anchor,scope,site,metric,total_events,matched_events,families,eligible,status,raw_mean,contextual_mean,change,contextual_family_sd,matched_causal_pairs,matched_causal_mean
L7H18,first,all_facts,all_test,target,528,528,88,True,completed,0.00845621112662156,0.016526208288469638,0.008069997161848077,0.012133983305369637,174,-0.0024702603166753597
L7H18,first,all_facts,all_test,names_gap,528,526,88,True,completed,-0.0009017439594144916,0.0018710152113723957,0.0027727591707868873,0.012081045065878383,174,-0.0024702603166753597
L7H18,first,all_facts,all_test,words_gap,528,528,88,True,completed,-0.006244218040282762,0.0002541869276873226,0.0064984049679700845,0.014037981271863923,174,-0.0024702603166753597
L7H18,last,all_facts,all_test,target,528,528,88,True,completed,0.023040410384197227,0.013965181851309384,-0.009075228532887843,0.01045047836296235,174,-0.0024702603166753597
L7H18,last,all_facts,all_test,names_gap,528,526,88,True,completed,0.0033366017131624018,0.003994539384442772,0.0006579376712803702,0.010125791576200487,174,-0.0024702603166753597
L7H18,last,all_facts,all_test,words_gap,528,528,88,True,completed,0.008339981217292904,-0.0023068395094729324,-0.010646820726765836,0.012143606470328935,174,-0.0024702603166753597
L8H15,first,all_facts,all_test,target,448,448,81,True,completed,0.017265478475074786,0.014299270912006048,-0.0029662075630687377,0.012202724117962076,144,0.27059432017950363
L8H15,first,all_facts,all_test,names_gap,448,280,76,True,completed,-0.003115081339324504,0.002850598683373469,0.005965680022697973,0.018901205464171376,125,0.32696317998986496
L8H15,first,all_facts,all_test,words_gap,448,448,81,True,completed,0.01418270241855504,0.005325493776567911,-0.008857208641987128,0.01313727901071462,144,0.27059432017950363
L8H15,last,all_facts,all_test,target,448,448,81,True,completed,0.012421313925957939,0.025126003064732418,0.01270468913877448,0.02084257634403305,144,0.27059432017950363
L8H15,last,all_facts,all_test,names_gap,448,280,76,True,completed,0.0002829811400952303,0.00308622136903146,0.0028032402289362296,0.018859233898219203,125,0.32696317998986496
L8H15,last,all_facts,all_test,words_gap,448,448,81,True,completed,0.00933853786943819,0.01615222592929428,0.006813688059856089,0.020855923288492985,144,0.27059432017950363
