head,family,order,j,text,final,question,punctuation,entities,importance,promotion,suppression
L0H1,0,0,234,R,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": true, ""last"": false}]",0.003173828125,0.00390625,-0.000732421875
L0H1,0,0,235,arn,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": false}]",0.0274658203125,0.0390625,-0.0115966796875
L0H1,0,0,236,ia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""target"", ""first"": false, ""last"": true}]",-0.02490234375,-0.0390625,0.01416015625
L0H1,0,0,237,is,False,False,False,[],-0.00213623046875,0.0,-0.00213623046875
L0H1,0,0,238,the,False,False,False,[],0.00164794921875,0.00390625,-0.00225830078125
L0H1,0,0,239,mother,False,False,False,[],0.00665283203125,0.0078125,-0.00115966796875
L0H1,0,0,240,of,False,False,False,[],0.005126953125,0.00390625,0.001220703125
L0H1,0,0,241,Jar,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": true, ""last"": false}]",-0.0001220703125,0.0,-0.0001220703125
L0H1,0,0,242,lia,False,False,False,"[{""fact"": 17, ""query"": true, ""role"": ""source"", ""first"": false, ""last"": true}]",0.00726318359375,0.0078125,-0.00054931640625
L0H1,0,0,243,.,False,False,True,[],0.00665283203125,0.0078125,-0.00115966796875
L0H1,0,0,244,K,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": true, ""last"": false}]",0.00726318359375,0.0078125,-0.00054931640625
L0H1,0,0,245,ul,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",0.0029296875,0.00390625,-0.0009765625
L0H1,0,0,246,n,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",-0.00067138671875,0.0,-0.00067138671875
L0H1,0,0,247,ra,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": true}]",0.01129150390625,0.01171875,-0.00042724609375
L0H1,0,0,248,is,False,False,False,[],0.00811767578125,0.0078125,0.00030517578125
L0H1,0,0,249,the,False,False,False,[],0.000244140625,0.00390625,-0.003662109375
L0H1,0,0,250,mother,False,False,False,[],0.00384521484375,0.00390625,-6.103515625e-05
L0H1,0,0,251,of,False,False,False,[],0.00238037109375,0.0,0.00238037109375
L0H1,0,0,252,Til,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""source"", ""first"": true, ""last"": false}]",6.103515625e-05,0.0,6.103515625e-05
L0H1,0,0,253,nia,False,False,False,"[{""fact"": 18, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": true}]",0.00262451171875,0.00390625,-0.00128173828125
L0H1,0,0,254,.,False,False,True,[],0.0018310546875,0.00390625,-0.0020751953125
L0H1,0,0,255,Dir,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": true, ""last"": false}]",-0.001708984375,0.0,-0.001708984375
L0H1,0,0,256,ln,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": false}]",0.13397216796875,0.1484375,-0.01446533203125
L0H1,0,0,257,a,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""target"", ""first"": false, ""last"": true}]",-0.0001220703125,0.0,-0.0001220703125
L0H1,0,0,258,is,False,False,False,[],0.006103515625,0.0078125,-0.001708984375
L0H1,0,0,259,the,False,False,False,[],0.010498046875,0.01171875,-0.001220703125
L0H1,0,0,260,mother,False,False,False,[],0.00189208984375,0.00390625,-0.00201416015625
L0H1,0,0,261,of,False,False,False,[],0.003173828125,0.00390625,-0.000732421875
L0H1,0,0,262,Kul,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": true, ""last"": false}]",0.00506591796875,0.0078125,-0.00274658203125
L0H1,0,0,263,n,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": false}]",0.002197265625,0.00390625,-0.001708984375
L0H1,0,0,264,ra,False,False,False,"[{""fact"": 19, ""query"": false, ""role"": ""source"", ""first"": false, ""last"": true}]",0.00347900390625,0.00390625,-0.00042724609375
L0H1,0,0,265,.,False,False,True,[],0.0023193359375,0.00390625,-0.0015869140625
L0H1,0,0,266,Question,False,True,False,[],0.00244140625,0.00390625,-0.00146484375
L0H1,0,0,267,:,False,True,True,[],-0.0003662109375,0.0,-0.0003662109375
