head,benchmark,condition,metric,mean,events,trials,trial_sd,positive_trial_fraction,trial_min,trial_max
L0H1,repeated_sequence,all_probes,source_attention,0.00021048069936752302,992,32,4.2255720997654634e-05,1.0,0.00011620822530652907,0.0002970128778308149
L0H1,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L0H1,repeated_sequence,all_probes,self_attention,0.07226966602179492,992,32,0.006003432502925618,1.0,0.05875021808089748,0.08699132616241131
L0H1,repeated_sequence,all_probes,previous_attention,0.7506940996935291,992,32,0.014629551796778514,1.0,0.7126326887838302,0.7812688235313662
L0H1,repeated_sequence,all_probes,output_gold_minus_others,-0.0004590533209275528,992,32,0.011090231565110707,0.5625,-0.026749909164444093,0.020096960147061655
L0H1,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L0H1,repeated_sequence,correct_copy_events,source_attention,0.00021015233413335246,953,32,4.310134599466604e-05,1.0,0.00011860706896792787,0.00028954861142362157
L0H1,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L0H1,repeated_sequence,correct_copy_events,self_attention,0.07240969247574401,953,32,0.0060497901505059725,1.0,0.05841527370115121,0.08736812068770329
L0H1,repeated_sequence,correct_copy_events,previous_attention,0.7501156365143544,953,32,0.014609411759031942,1.0,0.7139358063538869,0.7803437054157257
L0H1,repeated_sequence,correct_copy_events,output_gold_minus_others,0.0001657506216528428,953,32,0.011904662139560894,0.5,-0.026749909164444093,0.020420435598740974
L0H1,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L2H21,repeated_sequence,all_probes,source_attention,0.021664145737304352,992,32,0.0021779088204022723,1.0,0.016952381078754703,0.027305295946256768
L2H21,repeated_sequence,all_probes,source_argmax,0.025201612903225805,992,32,0.02421521748986161,0.59375,0.0,0.06451612903225806
L2H21,repeated_sequence,all_probes,self_attention,0.020000683670479056,992,32,0.0015934871663054657,1.0,0.017687361364463163,0.024548981428867387
L2H21,repeated_sequence,all_probes,previous_attention,0.020381388199365896,992,32,0.0017319994113589704,1.0,0.016935955995934143,0.024066551753710353
L2H21,repeated_sequence,all_probes,output_gold_minus_others,-0.0002630267132014025,992,32,0.000612137370207021,0.375,-0.0016198980832292187,0.000860284247826184
L2H21,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L2H21,repeated_sequence,correct_copy_events,source_attention,0.021007337071892885,953,32,0.0019296211497897878,1.0,0.017210267717018723,0.026984240168765668
L2H21,repeated_sequence,correct_copy_events,source_argmax,0.020811318131256952,953,32,0.023577586372802148,0.5,0.0,0.06896551724137931
L2H21,repeated_sequence,correct_copy_events,self_attention,0.01989286104116863,953,32,0.001638280856707462,1.0,0.016993804269337227,0.02495383294299245
L2H21,repeated_sequence,correct_copy_events,previous_attention,0.020171415422490346,953,32,0.0019104300364799294,1.0,0.016777170402527755,0.02413262160650144
L2H21,repeated_sequence,correct_copy_events,output_gold_minus_others,-0.0003159114882261881,953,32,0.0007223808317855682,0.34375,-0.00202936806405584,0.0009807960997367728
L2H21,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L4H0,repeated_sequence,all_probes,source_attention,0.017585538887707967,992,32,0.0024763361146412756,1.0,0.010096498952818013,0.02304661824488111
L4H0,repeated_sequence,all_probes,source_argmax,0.013104838709677418,992,32,0.018061868023535495,0.375,0.0,0.06451612903225806
L4H0,repeated_sequence,all_probes,self_attention,0.05271787929532659,992,32,0.010851451400915724,1.0,0.030631671028752482,0.0801879930790634
L4H0,repeated_sequence,all_probes,previous_attention,0.029946356092442596,992,32,0.0037040913230386775,1.0,0.023709011174017382,0.037323322627813585
L4H0,repeated_sequence,all_probes,output_gold_minus_others,0.00010159787915096875,992,32,0.0008112441130303223,0.46875,-0.0013391549864243115,0.0021638930437245197
L4H0,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L4H0,repeated_sequence,correct_copy_events,source_attention,0.017488079725153205,953,32,0.002561879936322533,1.0,0.010564376866178853,0.0232004691637924
L4H0,repeated_sequence,correct_copy_events,source_argmax,0.013586855765665554,953,32,0.018856773453432746,0.375,0.0,0.06896551724137931
L4H0,repeated_sequence,correct_copy_events,self_attention,0.051748882607557646,953,32,0.011371192237434278,1.0,0.02765834138825022,0.0801879930790634
L4H0,repeated_sequence,correct_copy_events,previous_attention,0.02947914536225924,953,32,0.003930456892707692,1.0,0.020044181412751123,0.037323322627813585
L4H0,repeated_sequence,correct_copy_events,output_gold_minus_others,0.00011141011288360511,953,32,0.0008549185230505794,0.5625,-0.0015147731794665257,0.0021638930437245197
L4H0,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L6H12,repeated_sequence,all_probes,source_attention,0.014006695495247128,992,32,0.0024170706004171282,1.0,0.009367369028979973,0.01864265875079699
L6H12,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L6H12,repeated_sequence,all_probes,self_attention,0.19988290398971237,992,32,0.03749111527319825,1.0,0.11674299535732116,0.2892007121155339
L6H12,repeated_sequence,all_probes,previous_attention,0.050681717867489845,992,32,0.013296228089574195,1.0,0.020621394648426963,0.07391984162912253
L6H12,repeated_sequence,all_probes,output_gold_minus_others,-0.00022301765051041346,992,32,0.0019013614810064522,0.46875,-0.0048130286496973805,0.003591031497043948
L6H12,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L6H12,repeated_sequence,correct_copy_events,source_attention,0.013044846418990287,953,32,0.002429135538170085,1.0,0.007373003376414999,0.018323572624164324
L6H12,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L6H12,repeated_sequence,correct_copy_events,self_attention,0.200276849794909,953,32,0.03742086793235403,1.0,0.1160190302346434,0.28861527864275305
L6H12,repeated_sequence,correct_copy_events,previous_attention,0.05090749437152624,953,32,0.013665556565431777,1.0,0.020551993078070468,0.07512216347580154
L6H12,repeated_sequence,correct_copy_events,output_gold_minus_others,-0.0002445136749478577,953,32,0.002318107124006484,0.40625,-0.005592551361769438,0.004461478814482689
L6H12,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L7H18,repeated_sequence,all_probes,source_attention,0.003144891702552213,992,32,0.0016280280101513534,1.0,0.001271812636273793,0.007384466141428997
L7H18,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L7H18,repeated_sequence,all_probes,self_attention,0.01256913480506961,992,32,0.004024188462131398,1.0,0.005346510816560758,0.026800825395771572
L7H18,repeated_sequence,all_probes,previous_attention,0.0006616817926894105,992,32,0.0003354895179325942,1.0,0.00013024173602154348,0.0013946017959296437
L7H18,repeated_sequence,all_probes,output_gold_minus_others,0.00021337147805869822,992,32,0.004121791081501271,0.5,-0.008369657180963023,0.011142189464261454
L7H18,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L7H18,repeated_sequence,correct_copy_events,source_attention,0.0022933900862862513,953,32,0.0008405400035156145,1.0,0.0012366099851125658,0.005279348250863428
L7H18,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L7H18,repeated_sequence,correct_copy_events,self_attention,0.012358052849728678,953,32,0.003988338729125307,1.0,0.005331058088146771,0.026800825395771572
L7H18,repeated_sequence,correct_copy_events,previous_attention,0.000648020282348507,953,32,0.00034529117619863973,1.0,0.00012986145855696426,0.0013946017959296437
L7H18,repeated_sequence,correct_copy_events,output_gold_minus_others,0.00022449333322952902,953,32,0.004144707894509356,0.53125,-0.008369657180963023,0.011142189464261454
L7H18,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L8H15,repeated_sequence,all_probes,source_attention,0.0008463564549911538,992,32,0.00014096942064466882,1.0,0.0006099853799828599,0.0010912849515255902
L8H15,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L8H15,repeated_sequence,all_probes,self_attention,0.10716842663391762,992,32,0.011344328741930301,1.0,0.07865029297048046,0.13168023250276042
L8H15,repeated_sequence,all_probes,previous_attention,0.6600457013194119,992,32,0.02339789039869152,1.0,0.6207516443344855,0.7033811471154613
L8H15,repeated_sequence,all_probes,output_gold_minus_others,-0.0009086426275203968,992,32,0.009976454433576266,0.53125,-0.03495578359692327,0.017287025768910686
L8H15,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L8H15,repeated_sequence,correct_copy_events,source_attention,0.0008130227622511357,953,32,0.00013056700788474914,1.0,0.0005767451486839302,0.0010912849515255902
L8H15,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L8H15,repeated_sequence,correct_copy_events,self_attention,0.10689384349146555,953,32,0.011358011579844965,1.0,0.07865029297048046,0.12815883922679672
L8H15,repeated_sequence,correct_copy_events,previous_attention,0.6601641975168768,953,32,0.023606310207038586,1.0,0.6258614460627238,0.7082974057773064
L8H15,repeated_sequence,correct_copy_events,output_gold_minus_others,-0.0014270069039387817,953,32,0.010129341678485284,0.46875,-0.03495578359692327,0.019919229139174734
L8H15,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L9H16,repeated_sequence,all_probes,source_attention,0.012035634233184116,992,32,0.0078057102970120135,1.0,0.003276827244910178,0.03348905069237991
L9H16,repeated_sequence,all_probes,source_argmax,0.006048387096774193,992,32,0.012792186111492451,0.1875,0.0,0.03225806451612903
L9H16,repeated_sequence,all_probes,self_attention,0.0034542179584573867,992,32,0.0018613357623317856,1.0,0.0007159378758754633,0.010209737320227789
L9H16,repeated_sequence,all_probes,previous_attention,1.2605597245955781e-05,992,32,2.6738870078580534e-05,1.0,4.0941608089246053e-07,0.00013224305294448177
L9H16,repeated_sequence,all_probes,output_gold_minus_others,0.0014160303246406386,992,32,0.006643327937947355,0.6875,-0.012314247748544139,0.014319738493331017
L9H16,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L9H16,repeated_sequence,correct_copy_events,source_attention,0.008304397242363358,953,32,0.0067426011609673505,1.0,0.0015472970135090628,0.029591592711340348
L9H16,repeated_sequence,correct_copy_events,source_argmax,0.0020161290322580645,953,32,0.007933377045773625,0.0625,0.0,0.03225806451612903
L9H16,repeated_sequence,correct_copy_events,self_attention,0.0026813947827738008,953,32,0.0014721524917447634,1.0,0.0005943107469041327,0.007591278124891687
L9H16,repeated_sequence,correct_copy_events,previous_attention,4.189477560338999e-06,953,32,4.731766489703955e-06,1.0,3.7499193131325334e-07,1.8855724410146427e-05
L9H16,repeated_sequence,correct_copy_events,output_gold_minus_others,0.0017676110472085683,953,32,0.007068584810371773,0.6875,-0.013333870097994804,0.01673494009622212
L9H16,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L9H23,repeated_sequence,all_probes,source_attention,0.0018700397392216648,992,32,0.0005314297526062685,1.0,0.0007955235656305787,0.0029350603881832813
L9H23,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L9H23,repeated_sequence,all_probes,self_attention,0.0018032400857332358,992,32,0.0005457472312219552,1.0,0.0007057464409304122,0.002892005033866172
L9H23,repeated_sequence,all_probes,previous_attention,0.0017198912324426104,992,32,0.0005229399692051037,1.0,0.0006213232826989805,0.0030283203194548768
L9H23,repeated_sequence,all_probes,output_gold_minus_others,6.470613897686088e-05,992,32,0.0004894559923097872,0.5625,-0.001058216206729412,0.0009331126892638783
L9H23,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L9H23,repeated_sequence,correct_copy_events,source_attention,0.001780134917086766,953,32,0.0005090553633016726,1.0,0.0007232991754010852,0.0027774576388765126
L9H23,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L9H23,repeated_sequence,correct_copy_events,self_attention,0.0017292914900355486,953,32,0.0005355151406327295,1.0,0.0006294374564147022,0.00284722791947124
L9H23,repeated_sequence,correct_copy_events,previous_attention,0.001674151838019143,953,32,0.0005093818698037861,1.0,0.000564555299206404,0.00282879492539602
L9H23,repeated_sequence,correct_copy_events,output_gold_minus_others,-0.0001335775404356192,953,32,0.000591154453559983,0.34375,-0.0016196762405646344,0.0011296820128336548
L9H23,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L11H3,repeated_sequence,all_probes,source_attention,0.014491541987515502,992,32,0.0030528536524560526,1.0,0.006993890278071405,0.020710547939093122
L11H3,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L11H3,repeated_sequence,all_probes,self_attention,0.04144596101856047,992,32,0.007189663945338517,1.0,0.025082189289312207,0.056837194328827244
L11H3,repeated_sequence,all_probes,previous_attention,0.022841848956769325,992,32,0.003925408148694244,1.0,0.01738416470376955,0.031234182935628678
L11H3,repeated_sequence,all_probes,output_gold_minus_others,0.0003775168122721821,992,32,0.0016916166425546976,0.59375,-0.0031478840917829546,0.003442606629593478
L11H3,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L11H3,repeated_sequence,correct_copy_events,source_attention,0.014338390616308882,953,32,0.0030747389785961286,1.0,0.006993890278071405,0.02158639272112913
L11H3,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L11H3,repeated_sequence,correct_copy_events,self_attention,0.04127401745556537,953,32,0.007047017195079757,1.0,0.025082189289312207,0.054641605258501806
L11H3,repeated_sequence,correct_copy_events,previous_attention,0.023081343073728222,953,32,0.003961380139759123,1.0,0.0166422394492353,0.031234182935628678
L11H3,repeated_sequence,correct_copy_events,output_gold_minus_others,0.00023500890655397838,953,32,0.0017944429023162996,0.53125,-0.003920141559351107,0.003488681290764362
L11H3,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L11H15,repeated_sequence,all_probes,source_attention,0.011704960030446302,992,32,0.0015529511074965853,1.0,0.008395007372112764,0.01414819951770046
L11H15,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L11H15,repeated_sequence,all_probes,self_attention,0.3218853703339494,992,32,0.025198489420731374,1.0,0.2654728483288519,0.3790078278510801
L11H15,repeated_sequence,all_probes,previous_attention,0.023071176081430167,992,32,0.0033306020173833454,1.0,0.018420317923770316,0.03344827439756163
L11H15,repeated_sequence,all_probes,output_gold_minus_others,-0.0035926526173669466,992,32,0.004147900630630502,0.15625,-0.011495822484815312,0.008472692551872423
L11H15,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L11H15,repeated_sequence,correct_copy_events,source_attention,0.011586885714095243,953,32,0.001513502380554951,1.0,0.008424324010654042,0.014047958125392425
L11H15,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L11H15,repeated_sequence,correct_copy_events,self_attention,0.31887132209069685,953,32,0.026612933482318742,1.0,0.25834288345328693,0.3736069122950236
L11H15,repeated_sequence,correct_copy_events,previous_attention,0.023396544635875628,953,32,0.003424632594284702,1.0,0.018882659864762136,0.033910503643083165
L11H15,repeated_sequence,correct_copy_events,output_gold_minus_others,-0.0033881728211155996,953,32,0.004601156768291886,0.1875,-0.011056508356705307,0.009508593225230772
L11H15,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L12H2,repeated_sequence,all_probes,source_attention,0.005867703721774418,992,32,0.0007793727440186891,1.0,0.00474351970103359,0.00733389908958587
L12H2,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L12H2,repeated_sequence,all_probes,self_attention,0.011910365793732301,992,32,0.0023926831115509456,1.0,0.00815556495405373,0.01659694361320186
L12H2,repeated_sequence,all_probes,previous_attention,0.011941628574952061,992,32,0.0020295072463899283,1.0,0.008382621463463311,0.017209232619573033
L12H2,repeated_sequence,all_probes,output_gold_minus_others,-4.113919807892788e-05,992,32,0.0014020396862681008,0.4375,-0.003627315539145662,0.002656661604921664
L12H2,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L12H2,repeated_sequence,correct_copy_events,source_attention,0.005927520136656367,953,32,0.0008421427915848243,1.0,0.004817572959776347,0.007465678204815569
L12H2,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L12H2,repeated_sequence,correct_copy_events,self_attention,0.011768700077148088,953,32,0.002532098318747348,1.0,0.00733155426007278,0.016755564254708588
L12H2,repeated_sequence,correct_copy_events,previous_attention,0.01209149443233519,953,32,0.002116936309092765,1.0,0.008630864434720328,0.018026504798659256
L12H2,repeated_sequence,correct_copy_events,output_gold_minus_others,-1.1970803387604481e-05,953,32,0.001502217959170238,0.4375,-0.0032817070527623097,0.0034087241095091614
L12H2,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L13H1,repeated_sequence,all_probes,source_attention,0.0039212177941056236,992,32,0.001384826151853116,1.0,0.0023100100046459346,0.009828338102858153
L13H1,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L13H1,repeated_sequence,all_probes,self_attention,0.02009766111698428,992,32,0.0047273399913553525,1.0,0.013095361856563438,0.02913054317656544
L13H1,repeated_sequence,all_probes,previous_attention,0.02169754112190041,992,32,0.007159379709349202,1.0,0.01111676492502973,0.04270790399412715
L13H1,repeated_sequence,all_probes,output_gold_minus_others,-8.433558715267049e-05,992,32,0.0010015845682150159,0.53125,-0.0028676611761892993,0.0016817513012116956
L13H1,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L13H1,repeated_sequence,correct_copy_events,source_attention,0.0035050497438223298,953,32,0.0012636682759288903,1.0,0.0019258632046644222,0.008730577060487122
L13H1,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L13H1,repeated_sequence,correct_copy_events,self_attention,0.019508510348747798,953,32,0.004792865444318136,1.0,0.012386384907100971,0.02895531853147108
L13H1,repeated_sequence,correct_copy_events,previous_attention,0.020526804900438782,953,32,0.005401031676525772,1.0,0.010550923300130913,0.036513045569881795
L13H1,repeated_sequence,correct_copy_events,output_gold_minus_others,0.00013334400340160834,953,32,0.0008957669271499349,0.53125,-0.0018131288389364878,0.001944609352254442
L13H1,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L13H30,repeated_sequence,all_probes,source_attention,0.0036284727690065023,992,32,0.0006049776743447823,1.0,0.002681939233650243,0.004929260527264447
L13H30,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L13H30,repeated_sequence,all_probes,self_attention,0.1463161303104097,992,32,0.025221678827931186,1.0,0.09574835329887367,0.18875305450731708
L13H30,repeated_sequence,all_probes,previous_attention,0.08053993304436577,992,32,0.012834655199074705,1.0,0.05333420093501768,0.10770330070367744
L13H30,repeated_sequence,all_probes,output_gold_minus_others,0.00042665506806506234,992,32,0.0033842047640654767,0.5625,-0.006908583935470351,0.006479710400585205
L13H30,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L13H30,repeated_sequence,correct_copy_events,source_attention,0.0035839901882327822,953,32,0.000577629786193021,1.0,0.0026640707791860526,0.004768948128912598
L13H30,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L13H30,repeated_sequence,correct_copy_events,self_attention,0.1392074565587702,953,32,0.025422679742499957,1.0,0.09218872329220176,0.18758200926165428
L13H30,repeated_sequence,correct_copy_events,previous_attention,0.0812385159238709,953,32,0.013541516579717479,1.0,0.05413466027627389,0.11100595047076543
L13H30,repeated_sequence,correct_copy_events,output_gold_minus_others,0.0006583489234102976,953,32,0.0030092115298643784,0.59375,-0.006533725347755284,0.006206767899649484
L13H30,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L14H26,repeated_sequence,all_probes,source_attention,0.0004905493221207096,992,32,0.00016300462706229089,1.0,0.0002393424932843998,0.0008127017372316914
L14H26,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L14H26,repeated_sequence,all_probes,self_attention,0.18640349259048009,992,32,0.02018987453052354,1.0,0.15514818074241762,0.22537698356374616
L14H26,repeated_sequence,all_probes,previous_attention,0.29214023360081254,992,32,0.018713761271096106,1.0,0.26099121258143454,0.3331968652144555
L14H26,repeated_sequence,all_probes,output_gold_minus_others,0.0012180449505854818,992,32,0.006453362873615758,0.5625,-0.012973827760546439,0.013438659780208142
L14H26,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
L14H26,repeated_sequence,correct_copy_events,source_attention,0.0004140212742437517,953,32,0.00014030704249306625,1.0,0.00021524722584824,0.000724816762037032
L14H26,repeated_sequence,correct_copy_events,source_argmax,0.0,953,32,0.0,0.0,0.0,0.0
L14H26,repeated_sequence,correct_copy_events,self_attention,0.18837875546345137,953,32,0.021515809984378177,1.0,0.15298312542767362,0.22585485582905157
L14H26,repeated_sequence,correct_copy_events,previous_attention,0.29592496746183095,953,32,0.019438711351751344,1.0,0.26537748858813315,0.3488368870956557
L14H26,repeated_sequence,correct_copy_events,output_gold_minus_others,0.0013921281348022348,953,32,0.0062496984886933555,0.5625,-0.010055938213613004,0.012885031445572773
L14H26,repeated_sequence,correct_copy_events,model_correct,1.0,953,32,0.0,1.0,1.0,1.0
L15H3,repeated_sequence,all_probes,source_attention,0.033252996020300706,992,32,0.006232647169244046,1.0,0.022905655190228455,0.04875101049941394
L15H3,repeated_sequence,all_probes,source_argmax,0.0,992,32,0.0,0.0,0.0,0.0
L15H3,repeated_sequence,all_probes,self_attention,0.10966995937070029,992,32,0.017270161395883162,1.0,0.0839183956625,0.15333338670672908
L15H3,repeated_sequence,all_probes,previous_attention,0.033034956261784126,992,32,0.005332312775457012,1.0,0.024858908096869147,0.04746981977575248
L15H3,repeated_sequence,all_probes,output_gold_minus_others,-0.00428832587990215,992,32,0.00331256861241575,0.09375,-0.010148329780467095,0.0016970296780909261
L15H3,repeated_sequence,all_probes,model_correct,0.9606854838709677,992,32,0.029238916461507957,1.0,0.9032258064516129,1.0
