head,rule,anchor,others,events,families,positive_fraction,negative_fraction,mean_contrast,family_mean_positive_fraction,label,self_event_fraction,final_site_events,answer_name_events,argmax_middle_events,label_last_anchor,label_same_role_controls,label_excluding_self,label_final_site_only,label_base_variant_only,scopeF_importance_178,scopeF_promotion,scopeF_suppression,scopeF_cross_check
L0H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,1555,20,0.490032154340836,0.509967845659164,-0.0032044281696327758,0.55,neither,0.0,0,316,776,neither,neither,neither,insufficient,neither,-0.00010879388016261411,-0.00025237008426966294,0.0001435802223977078,not applicable (no label)
L1H27,80% of events; support >= 20 events / 10 families,first,all_visible_names,1661,20,0.5153521974714028,0.48404575556893437,-0.0008135427451148083,0.45,neither,0.01778304682868998,0,84,414,neither,neither,neither,insufficient,neither,-0.00030800465787394663,-0.00033603625351123594,2.8034944212838504e-05,not applicable (no label)
L2H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,1110,20,0.5216216216216216,0.4783783783783784,0.0017563718691602482,0.6,neither,0.0,0,160,776,neither,neither,neither,insufficient,neither,-0.00021277920583660684,-0.00043341818820224717,0.00022064400522896414,not applicable (no label)
L2H21,80% of events; support >= 20 events / 10 families,first,all_visible_names,912,20,0.4791666666666667,0.5208333333333334,-0.0007076952050913842,0.5,neither,0.05236656596173213,28,138,571,neither,neither,neither,insufficient,neither,-0.0006906852293550299,-0.0007447660639044943,5.4086192270343225e-05,not applicable (no label)
L2H22,80% of events; support >= 20 events / 10 families,first,all_visible_names,1283,20,0.4240062353858145,0.5759937646141855,-0.0008307633279329399,0.35,neither,0.015312916111850865,0,281,200,neither,neither,neither,insufficient,neither,-3.3705422047818646e-05,-0.00034357992450842695,0.000309875841890828,not applicable (no label)
L3H11,80% of events; support >= 20 events / 10 families,first,all_visible_names,602,20,0.29900332225913623,0.7009966777408638,-0.0040308740101383375,0.2,neither,0.0,0,209,8,neither,neither,neither,insufficient,neither,-0.0006270087167118372,-0.0005678326896067416,-5.917066938421699e-05,not applicable (no label)
L4H0,80% of events; support >= 20 events / 10 families,first,all_visible_names,88,9,0.4431818181818182,0.5568181818181818,0.00014687957185687453,0.4444444444444444,insufficient,0.8823529411764706,0,19,12,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0004289016295015142,-0.0003463230775983146,-8.25745336125406e-05,not applicable (insufficient support)
L5H18,80% of events; support >= 20 events / 10 families,first,all_visible_names,1534,20,0.49282920469361147,0.5071707953063885,-0.00026127492368661643,0.5,neither,0.18774815655133295,0,155,263,neither,neither,neither,insufficient,neither,-0.0006118838706713044,-0.0009120984023876404,0.0003002158711465557,not applicable (no label)
L6H2,80% of events; support >= 20 events / 10 families,first,all_visible_names,590,20,0.4542372881355932,0.5457627118644067,-0.0007895981229967992,0.4,neither,1.0,0,81,0,neither,neither,insufficient,insufficient,neither,-0.00010490953252556619,-0.00021465172928370786,0.0001097462150488007,not applicable (no label)
L6H12,80% of events; support >= 20 events / 10 families,first,all_visible_names,393,19,0.4732824427480916,0.5267175572519084,-0.0015878711644626451,0.47368421052631576,neither,0.0,0,48,10,neither,neither,neither,insufficient,neither,-0.00046906310520815044,-0.00032094891151685396,-0.0001481101754006375,not applicable (no label)
L6H24,80% of events; support >= 20 events / 10 families,first,all_visible_names,1052,20,0.5275665399239544,0.47243346007604564,-0.003969557815631532,0.45,neither,0.017013232514177693,0,6,286,neither,neither,neither,insufficient,neither,-0.0004334744442714734,-0.0005740047840589888,0.00014053435807817436,not applicable (no label)
L7H1,80% of events; support >= 20 events / 10 families,first,all_visible_names,2332,20,0.6247855917667239,0.3752144082332762,0.010775591668195217,0.9,neither,0.04897815362931642,0,582,542,neither,neither,neither,insufficient,neither,-0.0002562383587440748,-0.00017007549157303372,-8.615483058972305e-05,not applicable (no label)
L7H18,80% of events; support >= 20 events / 10 families,first,all_visible_names,1864,20,0.4951716738197425,0.5048283261802575,-0.0005774762151024714,0.55,neither,0.004271222637479978,0,82,371,neither,neither,neither,insufficient,neither,-0.0001279155859786473,-0.00021945224719101123,9.154335836346229e-05,not applicable (no label)
L7H25,80% of events; support >= 20 events / 10 families,first,all_visible_names,1167,20,0.4772922022279349,0.5227077977720651,-0.002465297235348878,0.35,neither,0.01224177505738332,0,243,73,neither,neither,neither,insufficient,neither,-0.0007265739226609134,-0.000724878204002809,-1.6917003674453564e-06,not applicable (no label)
L8H8,80% of events; support >= 20 events / 10 families,first,all_visible_names,624,20,0.3942307692307692,0.6057692307692307,-0.006031285579770039,0.15,neither,0.3008720930232558,0,66,209,neither,neither,neither,insufficient,neither,-0.00025186645850706636,-0.00042313136411516856,0.00017127160275920054,not applicable (no label)
L8H15,80% of events; support >= 20 events / 10 families,first,all_visible_names,2142,20,0.5401493930905695,0.4598506069094304,0.0036485104797563924,0.6,neither,0.039527302363488184,0,351,753,neither,neither,neither,insufficient,neither,-0.00044379341468382417,-0.0004491913184691011,5.4046009363753075e-06,not applicable (no label)
L8H16,80% of events; support >= 20 events / 10 families,first,all_visible_names,2289,20,0.5203145478374837,0.4796854521625164,0.0009183284391634015,0.45,neither,0.0,0,238,302,neither,neither,neither,insufficient,neither,-0.0008983397751711728,-0.0009662756759129214,6.794125846262728e-05,not applicable (no label)
L9H6,80% of events; support >= 20 events / 10 families,first,all_visible_names,1175,20,0.502127659574468,0.4978723404255319,0.0007832673289251665,0.6,neither,0.002207505518763797,0,128,110,neither,neither,neither,insufficient,neither,0.001134968875499254,0.000892896330758427,0.0002420765630314859,not applicable (no label)
L9H16,80% of events; support >= 20 events / 10 families,first,all_visible_names,1039,20,0.47256977863330124,0.5274302213666987,0.0009062182302845189,0.45,neither,0.0028873917228103944,0,4,314,neither,neither,neither,insufficient,neither,-0.0006317556574103537,-0.0008154022559691012,0.00018365195627962605,not applicable (no label)
L9H17,80% of events; support >= 20 events / 10 families,first,all_visible_names,901,20,0.5172031076581576,0.4827968923418424,0.000494656359271742,0.55,neither,0.03296703296703297,0,219,26,neither,neither,neither,insufficient,neither,0.0008761213066872586,0.0007152771681882022,0.00016084815678971538,not applicable (no label)
L9H22,80% of events; support >= 20 events / 10 families,first,all_visible_names,11,4,0.18181818181818182,0.8181818181818182,-0.010007627082593512,0.25,insufficient,0.84,0,0,3,insufficient,insufficient,insufficient,insufficient,insufficient,-0.0007952465100234813,-0.0010101661253511236,0.00021491827589742253,not applicable (insufficient support)
