anchor,scope,site,metric,heads,raw_vs_causal,contextual_vs_causal,raw_vs_matched_causal,contextual_vs_matched_causal,population
first,all_facts,all_test,target,70,0.010270317557519027,0.024302335753652347,0.047397428046540103,0.005441343714460678,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,all_facts,all_test,names_gap,68,-0.25907546665648734,-0.17040119097606596,-0.275336870634042,-0.19257930297362294,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,all_facts,all_test,words_gap,70,-0.0013822062811652523,0.12287638876738693,0.0225527075496457,0.10782958621292973,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,all_test,target,70,-0.3100516140320182,-0.2314933076721197,-0.3582713673344414,-0.24244598022920133,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,all_test,names_gap,68,-0.15841508569683552,-0.025689964499751878,-0.15322365156315607,-0.07500858876970645,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,all_test,words_gap,70,-0.24835972355874378,-0.10079608083282302,-0.29727932814276964,-0.11717260082232525,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,all_test,target,46,-0.15596669750231265,-0.10502621029910578,-0.08948504471168671,-0.1470860314523589,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,all_test,names_gap,45,-0.33504611330698286,-0.23451910408432144,-0.2952569169960474,-0.24308300395256913,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,all_test,words_gap,46,-0.06321307431390687,-0.10280604378661731,-0.05679925994449584,-0.05692260252852297,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,all_test,target,46,-0.3113783533765032,-0.24650015417823,-0.4139993832870798,-0.26500154178230034,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,all_test,names_gap,45,-0.3238471673254282,0.03491436100131751,-0.3341238471673254,-0.11001317523056652,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,all_test,words_gap,46,-0.18692568609312363,-0.18273203823620104,-0.29781066913351834,-0.12439099599136601,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,all_facts,final,target,7,-0.28571428571428575,-0.3214285714285715,-0.3571428571428572,-0.3571428571428572,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,all_facts,final,names_gap,7,0.5357142857142858,0.03571428571428572,0.4642857142857144,0.10714285714285716,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,all_facts,final,words_gap,7,-0.3571428571428572,-0.4642857142857144,-0.25,-0.5714285714285715,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,final,target,7,-0.42857142857142866,-0.25,-0.1785714285714286,-0.1785714285714286,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,final,names_gap,7,0.5357142857142858,0.03571428571428572,0.5357142857142858,-0.14285714285714288,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
first,query_fact,final,words_gap,7,-0.3571428571428572,-0.4642857142857144,-0.1785714285714286,-0.1785714285714286,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,final,target,7,-0.3571428571428572,-0.1785714285714286,-0.5,-0.21428571428571433,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,final,names_gap,7,-0.6071428571428572,0.6785714285714287,-0.7142857142857144,0.642857142857143,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,all_facts,final,words_gap,7,-0.5,-0.5,-0.5714285714285715,-0.6071428571428572,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,final,target,7,-0.3214285714285715,-0.1785714285714286,-0.25,-0.28571428571428575,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,final,names_gap,7,-0.5714285714285715,0.6785714285714287,-0.5357142857142858,0.3571428571428572,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
last,query_fact,final,words_gap,7,-0.5,-0.5,-0.21428571428571433,-0.3571428571428572,same supported inventory heads; report both fixed 178-pair and RI-supported family/order causal means
