head,variant,site,role,anchor,mode,mean,family_sd,family_min,family_max,families,events,positive_family_fraction
L0H1,base,earlier,target,first,raw,-0.0008579619817150168,0.022697374462692106,-0.0506979295577126,0.04121608682017509,20,1193,0.55
L0H1,base,earlier,target,first,output,-0.0008115550595217295,0.015823486585815248,-0.04019518693288167,0.02956317813018632,20,1193,0.55
L0H1,base,earlier,target,last,raw,0.0024851889251772457,0.014480811203301712,-0.03325601915518443,0.02905233171251085,20,1193,0.65
L0H1,base,earlier,target,last,output,0.0033155606022210217,0.010665314739933918,-0.022939741611480713,0.025432603112582504,20,1193,0.7
L0H1,base,earlier,source,first,raw,0.003907201597183914,0.028068444129042233,-0.034739014104748445,0.060339913851972946,20,947,0.4
L0H1,base,earlier,source,first,output,0.004891832333922659,0.02863733198513543,-0.042026257684044804,0.08352851694908695,20,947,0.45
L0H1,base,earlier,source,last,raw,-0.00808630510175697,0.019050941366001765,-0.05024374395176985,0.02127555343839857,20,947,0.45
L0H1,base,earlier,source,last,output,-0.003924326891318094,0.015460491462488306,-0.03905889262323794,0.023396526442633736,20,947,0.5
L0H1,base,final,source,first,raw,0.009837055206298828,0.0729324913911188,-0.14094034830729166,0.1529973347981771,20,40,0.5
L0H1,base,final,source,first,output,0.007998021443684897,0.042689195827918816,-0.039911905924479164,0.09027735392252603,20,40,0.5
L0H1,base,final,source,last,raw,0.0035736401875813804,0.042999058701866676,-0.13091659545898438,0.059740702311197914,20,40,0.7
L0H1,base,final,source,last,output,-0.0015741586685180653,0.031709224062157336,-0.070404052734375,0.0679168701171875,20,40,0.5
L0H1,base,final,target,first,raw,-0.008280531565348307,0.06969706566718455,-0.16207758585611978,0.07639567057291666,20,40,0.5
L0H1,base,final,target,first,output,-0.00663334528605143,0.0395735951634179,-0.08045450846354167,0.07218170166015625,20,40,0.4
L0H1,base,final,target,last,raw,0.004243628184000652,0.02625771273251327,-0.04593404134114583,0.05993143717447917,20,40,0.6
L0H1,base,final,target,last,output,0.004377969106038412,0.030696202066849643,-0.05957921346028646,0.0646514892578125,20,40,0.55
