head,benchmark,correct_copy_events,conditional_status
L0H1,repeated_sequence,953,completed
L0H1,key_value_retrieval,32,completed
L1H27,repeated_sequence,953,completed
L1H27,key_value_retrieval,32,completed
L2H1,repeated_sequence,953,completed
L2H1,key_value_retrieval,32,completed
L2H21,repeated_sequence,953,completed
L2H21,key_value_retrieval,32,completed
L2H22,repeated_sequence,953,completed
L2H22,key_value_retrieval,32,completed
L3H11,repeated_sequence,953,completed
L3H11,key_value_retrieval,32,completed
L4H0,repeated_sequence,953,completed
L4H0,key_value_retrieval,32,completed
L5H18,repeated_sequence,953,completed
L5H18,key_value_retrieval,32,completed
L6H2,repeated_sequence,953,completed
L6H2,key_value_retrieval,32,completed
L6H12,repeated_sequence,953,completed
L6H12,key_value_retrieval,32,completed
L6H24,repeated_sequence,953,completed
L6H24,key_value_retrieval,32,completed
L7H1,repeated_sequence,953,completed
L7H1,key_value_retrieval,32,completed
L7H18,repeated_sequence,953,completed
L7H18,key_value_retrieval,32,completed
L7H25,repeated_sequence,953,completed
L7H25,key_value_retrieval,32,completed
L8H8,repeated_sequence,953,completed
L8H8,key_value_retrieval,32,completed
L8H15,repeated_sequence,953,completed
L8H15,key_value_retrieval,32,completed
L8H16,repeated_sequence,953,completed
L8H16,key_value_retrieval,32,completed
L9H6,repeated_sequence,953,completed
L9H6,key_value_retrieval,32,completed
L9H16,repeated_sequence,953,completed
L9H16,key_value_retrieval,32,completed
L9H17,repeated_sequence,953,completed
L9H17,key_value_retrieval,32,completed
L9H22,repeated_sequence,953,completed
L9H22,key_value_retrieval,32,completed
L9H23,repeated_sequence,953,completed
L9H23,key_value_retrieval,32,completed
L9H26,repeated_sequence,953,completed
L9H26,key_value_retrieval,32,completed
L10H16,repeated_sequence,953,completed
L10H16,key_value_retrieval,32,completed
L11H3,repeated_sequence,953,completed
L11H3,key_value_retrieval,32,completed
L11H4,repeated_sequence,953,completed
L11H4,key_value_retrieval,32,completed
L11H7,repeated_sequence,953,completed
L11H7,key_value_retrieval,32,completed
L11H15,repeated_sequence,953,completed
L11H15,key_value_retrieval,32,completed
L11H20,repeated_sequence,953,completed
L11H20,key_value_retrieval,32,completed
L11H27,repeated_sequence,953,completed
L11H27,key_value_retrieval,32,completed
L12H2,repeated_sequence,953,completed
L12H2,key_value_retrieval,32,completed
L12H9,repeated_sequence,953,completed
L12H9,key_value_retrieval,32,completed
L12H17,repeated_sequence,953,completed
L12H17,key_value_retrieval,32,completed
L13H1,repeated_sequence,953,completed
L13H1,key_value_retrieval,32,completed
L13H10,repeated_sequence,953,completed
L13H10,key_value_retrieval,32,completed
L13H22,repeated_sequence,953,completed
L13H22,key_value_retrieval,32,completed
L13H30,repeated_sequence,953,completed
L13H30,key_value_retrieval,32,completed
L14H10,repeated_sequence,953,completed
L14H10,key_value_retrieval,32,completed
L14H23,repeated_sequence,953,completed
L14H23,key_value_retrieval,32,completed
L14H26,repeated_sequence,953,completed
L14H26,key_value_retrieval,32,completed
L15H0,repeated_sequence,953,completed
L15H0,key_value_retrieval,32,completed
L15H2,repeated_sequence,953,completed
L15H2,key_value_retrieval,32,completed
L15H3,repeated_sequence,953,completed
L15H3,key_value_retrieval,32,completed
L15H18,repeated_sequence,953,completed
L15H18,key_value_retrieval,32,completed
L15H25,repeated_sequence,953,completed
L15H25,key_value_retrieval,32,completed
L15H27,repeated_sequence,953,completed
L15H27,key_value_retrieval,32,completed
L15H28,repeated_sequence,953,completed
L15H28,key_value_retrieval,32,completed
L15H29,repeated_sequence,953,completed
L15H29,key_value_retrieval,32,completed
L16H1,repeated_sequence,953,completed
L16H1,key_value_retrieval,32,completed
L16H2,repeated_sequence,953,completed
L16H2,key_value_retrieval,32,completed
L16H4,repeated_sequence,953,completed
L16H4,key_value_retrieval,32,completed
L16H16,repeated_sequence,953,completed
L16H16,key_value_retrieval,32,completed
L16H21,repeated_sequence,953,completed
L16H21,key_value_retrieval,32,completed
L16H24,repeated_sequence,953,completed
L16H24,key_value_retrieval,32,completed
L16H31,repeated_sequence,953,completed
L16H31,key_value_retrieval,32,completed
L17H1,repeated_sequence,953,completed
L17H1,key_value_retrieval,32,completed
L17H3,repeated_sequence,953,completed
L17H3,key_value_retrieval,32,completed
L17H5,repeated_sequence,953,completed
L17H5,key_value_retrieval,32,completed
L17H17,repeated_sequence,953,completed
L17H17,key_value_retrieval,32,completed
L17H24,repeated_sequence,953,completed
L17H24,key_value_retrieval,32,completed
L18H5,repeated_sequence,953,completed
L18H5,key_value_retrieval,32,completed
L18H15,repeated_sequence,953,completed
L18H15,key_value_retrieval,32,completed
L18H18,repeated_sequence,953,completed
L18H18,key_value_retrieval,32,completed
L18H19,repeated_sequence,953,completed
L18H19,key_value_retrieval,32,completed
L18H22,repeated_sequence,953,completed
L18H22,key_value_retrieval,32,completed
L18H24,repeated_sequence,953,completed
L18H24,key_value_retrieval,32,completed
L19H16,repeated_sequence,953,completed
L19H16,key_value_retrieval,32,completed
L19H20,repeated_sequence,953,completed
L19H20,key_value_retrieval,32,completed
L19H22,repeated_sequence,953,completed
L19H22,key_value_retrieval,32,completed
L20H1,repeated_sequence,953,completed
L20H1,key_value_retrieval,32,completed
L20H7,repeated_sequence,953,completed
L20H7,key_value_retrieval,32,completed
L20H14,repeated_sequence,953,completed
L20H14,key_value_retrieval,32,completed
L21H6,repeated_sequence,953,completed
L21H6,key_value_retrieval,32,completed
L21H11,repeated_sequence,953,completed
L21H11,key_value_retrieval,32,completed
L21H18,repeated_sequence,953,completed
L21H18,key_value_retrieval,32,completed
L21H22,repeated_sequence,953,completed
L21H22,key_value_retrieval,32,completed
L21H23,repeated_sequence,953,completed
L21H23,key_value_retrieval,32,completed
L21H24,repeated_sequence,953,completed
L21H24,key_value_retrieval,32,completed
L21H25,repeated_sequence,953,completed
L21H25,key_value_retrieval,32,completed
L21H27,repeated_sequence,953,completed
L21H27,key_value_retrieval,32,completed
L22H5,repeated_sequence,953,completed
L22H5,key_value_retrieval,32,completed
L22H15,repeated_sequence,953,completed
L22H15,key_value_retrieval,32,completed
L22H31,repeated_sequence,953,completed
L22H31,key_value_retrieval,32,completed
L23H10,repeated_sequence,953,completed
L23H10,key_value_retrieval,32,completed
L23H15,repeated_sequence,953,completed
L23H15,key_value_retrieval,32,completed
L23H17,repeated_sequence,953,completed
L23H17,key_value_retrieval,32,completed
L24H17,repeated_sequence,953,completed
L24H17,key_value_retrieval,32,completed
L25H11,repeated_sequence,953,completed
L25H11,key_value_retrieval,32,completed
L25H13,repeated_sequence,953,completed
L25H13,key_value_retrieval,32,completed
L25H15,repeated_sequence,953,completed
L25H15,key_value_retrieval,32,completed
L25H17,repeated_sequence,953,completed
L25H17,key_value_retrieval,32,completed
L25H18,repeated_sequence,953,completed
L25H18,key_value_retrieval,32,completed
L25H20,repeated_sequence,953,completed
L25H20,key_value_retrieval,32,completed
L25H21,repeated_sequence,953,completed
L25H21,key_value_retrieval,32,completed
L26H23,repeated_sequence,953,completed
L26H23,key_value_retrieval,32,completed
L26H31,repeated_sequence,953,completed
L26H31,key_value_retrieval,32,completed
L27H6,repeated_sequence,953,completed
L27H6,key_value_retrieval,32,completed
L27H23,repeated_sequence,953,completed
L27H23,key_value_retrieval,32,completed
L28H1,repeated_sequence,953,completed
L28H1,key_value_retrieval,32,completed
