config_id,direction,contrast,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification
426:query_sentence:head:513:KV,noise,KV_minus_K_minus_V,20,-0.010114288330078125,0.01298065185546875,-0.0089263916015625,-0.06661224365234375,0.01151275634765625,0.85,0.0,False,below_rule
426:query_sentence:head:547:KV,noise,KV_minus_K_minus_V,20,0.0427825927734375,0.04338531494140625,0.03516960144042969,-0.0060272216796875,0.11349868774414062,0.95,0.05,False,below_rule
426:query_sentence:head:594:KV,noise,KV_minus_K_minus_V,20,-2.193450927734375e-06,0.0031508445739746095,0.000701904296875,-0.00580596923828125,0.00518798828125,0.45,0.0,False,below_rule
426:query_sentence:head:595:KV,noise,KV_minus_K_minus_V,20,-0.013128900527954101,0.013557672500610352,-0.0125732421875,-0.038059234619140625,0.0042877197265625,0.95,0.0,False,below_rule
474:query_sentence:head:513:KV,noise,KV_minus_K_minus_V,20,-0.0032878875732421874,0.006031417846679687,-0.0040721893310546875,-0.017658233642578125,0.0116119384765625,0.7,0.0,False,below_rule
505:query_child_last:head:513:KV,noise,KV_minus_K_minus_V,20,-0.011597251892089844,0.02112712860107422,-0.007598876953125,-0.07318115234375,0.0394287109375,0.65,0.0,False,below_rule
505:query_child_last:head:533:KV,noise,KV_minus_K_minus_V,20,0.0034142494201660155,0.009719753265380859,0.001132965087890625,-0.0401611328125,0.05621337890625,0.6,0.0,False,below_rule
513:colon:head:561:KV,noise,KV_minus_K_minus_V,20,4.072189331054688e-05,0.008063983917236329,0.00269317626953125,-0.02803802490234375,0.01318359375,0.6,0.0,False,below_rule
533:colon:head:561:KV,noise,KV_minus_K_minus_V,20,0.00010275840759277344,0.006124353408813477,-0.0002288818359375,-0.0147705078125,0.01416015625,0.5,0.0,False,below_rule
545:query_is_token:head:594:KV,noise,KV_minus_K_minus_V,20,0.09614498615264892,0.17984325885772706,0.10439872741699219,-0.5072708129882812,0.39064693450927734,0.65,0.6,True,heterogeneous
545:query_is_token:head:595:KV,noise,KV_minus_K_minus_V,20,0.054604530334472656,0.11790332794189454,0.03966522216796875,-0.17333984375,0.2908935546875,0.6,0.5,True,heterogeneous
545:query_is_token:head:600:KV,noise,KV_minus_K_minus_V,20,0.02645895481109619,0.0713075876235962,0.024003267288208008,-0.148956298828125,0.25146484375,0.6,0.25,False,below_rule
545:query_is_token:head:641:KV,noise,KV_minus_K_minus_V,20,0.09074602127075196,0.09074602127075196,0.06406211853027344,0.00396728515625,0.233856201171875,1.0,0.3,False,below_rule
545:query_is_token:head:709:KV,noise,KV_minus_K_minus_V,20,0.021998786926269533,0.029160499572753906,0.01212310791015625,-0.036376953125,0.1148529052734375,0.8,0.1,False,below_rule
545:query_mother:head:594:KV,noise,KV_minus_K_minus_V,20,0.15600051879882812,0.2020172119140625,0.08589935302734375,-0.1626129150390625,0.768768310546875,0.8,0.55,True,coherent
545:query_mother:head:595:KV,noise,KV_minus_K_minus_V,20,0.0768289566040039,0.1004110336303711,0.028055191040039062,-0.15771484375,0.30680084228515625,0.75,0.4,True,heterogeneous
545:query_mother:head:600:KV,noise,KV_minus_K_minus_V,20,0.046496248245239256,0.08740429878234864,0.008762359619140625,-0.12652587890625,0.38421630859375,0.6,0.2,False,below_rule
545:query_mother:head:624:KV,noise,KV_minus_K_minus_V,20,0.06605162620544433,0.06605162620544433,0.0416259765625,0.0120849609375,0.252716064453125,1.0,0.25,False,below_rule
