config_id,direction,query_first,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification
434:all_child:single:434:,noise,False,20,0.00697174072265625,0.06620941162109376,0.009521484375,-0.211181640625,0.227783203125,0.55,0.25,False,below_rule
434:all_child:single:434:,noise,True,20,0.0012630462646484376,0.02547111511230469,0.00891876220703125,-0.0770263671875,0.060791015625,0.65,0.0,False,below_rule
434:all_mother:single:434:,noise,False,20,0.2591972351074219,0.35413284301757814,0.188720703125,-0.2265625,0.9404296875,0.65,0.85,True,heterogeneous
434:all_mother:single:434:,noise,True,20,0.20150489807128907,0.23272438049316407,0.1658935546875,-0.225250244140625,0.8236846923828125,0.85,0.65,True,coherent
434:all_punctuation:single:434:,noise,False,20,0.0244873046875,0.0381195068359375,0.0250244140625,-0.051513671875,0.10693359375,0.75,0.05,False,below_rule
434:all_punctuation:single:434:,noise,True,20,0.011466598510742188,0.01843681335449219,0.016265869140625,-0.0244140625,0.0545654296875,0.8,0.0,False,below_rule
434:all_template:single:434:,noise,False,20,0.17229766845703126,0.22130584716796875,0.13397216796875,-0.277099609375,0.591552734375,0.8,0.7,True,coherent
434:all_template:single:434:,noise,True,20,0.12557697296142578,0.12557697296142578,0.09326171875,0.006561279296875,0.34838104248046875,1.0,0.4,True,coherent
434:colon:single:434:,noise,False,20,0.0427093505859375,0.0464385986328125,0.0306396484375,-0.02020263671875,0.243408203125,0.8,0.1,False,below_rule
434:colon:single:434:,noise,True,20,0.004137802124023438,0.010571670532226563,0.0014801025390625,-0.028564453125,0.034027099609375,0.55,0.0,False,below_rule
434:question:single:434:,noise,False,20,0.024946975708007812,0.09932670593261719,0.029541015625,-0.22607421875,0.278076171875,0.5,0.4,False,below_rule
434:question:single:434:,noise,True,20,-0.0044537544250488285,0.02666196823120117,0.0008087158203125,-0.0902099609375,0.0574951171875,0.5,0.0,False,below_rule
