config_id,direction,family,effect,shared_prefix
434:all_child:single:434:,noise,0,0.01373291015625,False
434:all_child:single:434:,noise,16,-0.0101776123046875,False
434:all_child:single:434:,noise,32,0.019073486328125,False
434:all_child:single:434:,noise,48,-0.0327606201171875,False
434:all_child:single:434:,noise,56,0.0091400146484375,False
434:all_child:single:434:,noise,64,0.06842041015625,False
434:all_child:single:434:,noise,82,0.144287109375,False
434:all_child:single:434:,noise,96,0.01076507568359375,False
434:all_child:single:434:,noise,98,0.00604248046875,False
434:all_child:single:434:,noise,102,0.01242828369140625,False
434:all_child:single:434:,noise,116,-0.04217529296875,False
434:all_child:single:434:,noise,130,-0.0068817138671875,False
434:all_child:single:434:,noise,150,-0.0159912109375,False
434:all_child:single:434:,noise,154,-0.030517578125,False
434:all_child:single:434:,noise,162,0.0595703125,False
434:all_child:single:434:,noise,176,0.0206298828125,False
434:all_child:single:434:,noise,178,-0.06401443481445312,False
434:all_child:single:434:,noise,186,-0.08233642578125,False
434:all_child:single:434:,noise,192,-0.00030517578125,False
434:all_child:single:434:,noise,196,0.00341796875,False
434:all_mother:single:434:,noise,0,0.269134521484375,False
434:all_mother:single:434:,noise,16,-0.04602813720703125,False
434:all_mother:single:434:,noise,32,-0.1422882080078125,False
434:all_mother:single:434:,noise,48,0.00360107421875,False
434:all_mother:single:434:,noise,56,-0.1179351806640625,False
434:all_mother:single:434:,noise,64,0.061767578125,False
434:all_mother:single:434:,noise,82,-0.0106201171875,False
434:all_mother:single:434:,noise,96,0.8284683227539062,False
434:all_mother:single:434:,noise,98,0.543731689453125,False
434:all_mother:single:434:,noise,102,0.5550765991210938,False
434:all_mother:single:434:,noise,116,0.606201171875,False
434:all_mother:single:434:,noise,130,-0.09702301025390625,False
434:all_mother:single:434:,noise,150,0.087677001953125,False
434:all_mother:single:434:,noise,154,0.3492431640625,False
434:all_mother:single:434:,noise,162,0.017333984375,False
434:all_mother:single:434:,noise,176,0.1658935546875,False
434:all_mother:single:434:,noise,178,0.6875114440917969,False
434:all_mother:single:434:,noise,186,0.32293701171875,False
434:all_mother:single:434:,noise,192,0.1990966796875,False
434:all_mother:single:434:,noise,196,0.3232421875,False
434:all_punctuation:single:434:,noise,0,-0.0074462890625,False
434:all_punctuation:single:434:,noise,16,0.0181121826171875,False
434:all_punctuation:single:434:,noise,32,0.00225830078125,False
434:all_punctuation:single:434:,noise,48,0.0282745361328125,False
434:all_punctuation:single:434:,noise,56,0.005950927734375,False
434:all_punctuation:single:434:,noise,64,0.02313232421875,False
434:all_punctuation:single:434:,noise,82,-0.0360107421875,False
434:all_punctuation:single:434:,noise,96,0.03424835205078125,False
434:all_punctuation:single:434:,noise,98,0.036285400390625,False
434:all_punctuation:single:434:,noise,102,0.02892303466796875,False
434:all_punctuation:single:434:,noise,116,0.0546875,False
434:all_punctuation:single:434:,noise,130,-0.0089569091796875,False
434:all_punctuation:single:434:,noise,150,0.02362060546875,False
434:all_punctuation:single:434:,noise,154,0.0242919921875,False
434:all_punctuation:single:434:,noise,162,0.01904296875,False
434:all_punctuation:single:434:,noise,176,-0.0250244140625,False
434:all_punctuation:single:434:,noise,178,0.055080413818359375,False
434:all_punctuation:single:434:,noise,186,0.08074951171875,False
434:all_punctuation:single:434:,noise,192,0.0096435546875,False
434:all_punctuation:single:434:,noise,196,-0.00732421875,False
434:all_template:single:434:,noise,0,0.1041259765625,False
434:all_template:single:434:,noise,16,0.0897369384765625,False
434:all_template:single:434:,noise,32,0.0461273193359375,False
434:all_template:single:434:,noise,48,0.1065673828125,False
434:all_template:single:434:,noise,56,-0.0005340576171875,False
434:all_template:single:434:,noise,64,0.07684326171875,False
434:all_template:single:434:,noise,82,-0.1109619140625,False
434:all_template:single:434:,noise,96,0.28801727294921875,False
434:all_template:single:434:,noise,98,0.359649658203125,False
434:all_template:single:434:,noise,102,0.1747722625732422,False
434:all_template:single:434:,noise,116,0.31524658203125,False
434:all_template:single:434:,noise,130,-0.0176239013671875,False
434:all_template:single:434:,noise,150,0.040557861328125,False
434:all_template:single:434:,noise,154,0.37451171875,False
434:all_template:single:434:,noise,162,0.090087890625,False
434:all_template:single:434:,noise,176,0.1171875,False
434:all_template:single:434:,noise,178,0.4251670837402344,False
434:all_template:single:434:,noise,186,0.34246826171875,False
434:all_template:single:434:,noise,192,0.15728759765625,False
434:all_template:single:434:,noise,196,-0.00048828125,False
434:colon:single:434:,noise,0,0.018646240234375,False
434:colon:single:434:,noise,16,0.0363006591796875,False
434:colon:single:434:,noise,32,0.0122222900390625,False
434:colon:single:434:,noise,48,0.0142364501953125,False
434:colon:single:434:,noise,56,-0.004547119140625,False
434:colon:single:434:,noise,64,0.0032958984375,False
434:colon:single:434:,noise,82,0.00469970703125,False
434:colon:single:434:,noise,96,0.130828857421875,False
434:colon:single:434:,noise,98,0.021697998046875,False
434:colon:single:434:,noise,102,0.0047454833984375,False
434:colon:single:434:,noise,116,0.02642822265625,False
434:colon:single:434:,noise,130,-0.003997802734375,False
434:colon:single:434:,noise,150,0.030364990234375,False
434:colon:single:434:,noise,154,0.0592041015625,False
434:colon:single:434:,noise,162,-0.003173828125,False
434:colon:single:434:,noise,176,-0.0025634765625,False
434:colon:single:434:,noise,178,0.038417816162109375,False
434:colon:single:434:,noise,186,0.03009033203125,False
434:colon:single:434:,noise,192,0.02081298828125,False
434:colon:single:434:,noise,196,0.03076171875,False
434:question:single:434:,noise,0,0.0655517578125,False
434:question:single:434:,noise,16,0.0568084716796875,False
434:question:single:434:,noise,32,0.0972747802734375,False
434:question:single:434:,noise,48,-0.011257171630859375,False
434:question:single:434:,noise,56,0.01702880859375,False
434:question:single:434:,noise,64,0.0491943359375,False
434:question:single:434:,noise,82,0.1165771484375,False
434:question:single:434:,noise,96,0.0515594482421875,False
434:question:single:434:,noise,98,0.000274658203125,False
434:question:single:434:,noise,102,0.0629425048828125,False
434:question:single:434:,noise,116,-0.00091552734375,False
434:question:single:434:,noise,130,0.046905517578125,False
434:question:single:434:,noise,150,-0.07977294921875,False
434:question:single:434:,noise,154,-0.03363037109375,False
434:question:single:434:,noise,162,-0.126953125,False
434:question:single:434:,noise,176,-0.005859375,False
434:question:single:434:,noise,178,-0.03982257843017578,False
434:question:single:434:,noise,186,-0.05462646484375,False
434:question:single:434:,noise,192,0.05810546875,False
434:question:single:434:,noise,196,-0.064453125,False
