head,groups,stage2_P,stage3_F,F_family_sd,F_positive_family_fraction,F_promotion,F_suppression,P_common40,F_common40,routing_importance,value_importance,AV_interaction_importance,position_comparisons,contextual_RI_status,reverse_P_recovery,reverse_F_recovery,ri_test_only,ri_historical_extra,ri_union
L0H1,random-controls,0.0795411902867006,-0.0001087938801626,0.0031901401270677,0.4943820224719101,-0.0002523700842696,0.0001435802223977,0.0098516464233398,-0.0008506774902343,-0.000302743375971,-0.0004064795676242,0.0004472411080692,1724,insufficient support: zero saved scored events,,,False,False,False
L1H27,RI-selected_small-effect,0.0217949620793374,-0.0003080046578739,0.0035803667931281,0.4157303370786517,-0.0003360362535112,2.8034944212838504e-05,0.0289505004882812,-0.001286506652832,0.0001926261387514,0.0001889025227407,-0.0005141108223561,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L2H1,random-controls,-0.0089009906468766,-0.0002127792058366,0.0035869124789465,0.4831460674157303,-0.0004334181882022,0.0002206440052289,-0.0251829147338867,-0.0019590377807617,-0.0006272310621283,-0.0006686542811018,0.0013391730490695,1724,insufficient support: zero saved scored events,,,False,False,False
L2H21,RI-selected_small-effect,-0.0013823080598638,-0.000690685229355,0.0033337371330451,0.4044943820224719,-0.0007447660639044,5.4086192270343225e-05,-0.0061746597290039,-0.0009172439575195,-0.0005171432923734,-0.0003637704956397,0.0001750662085715,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L2H22,RI-selected_small-effect,-0.0003916574328133,-3.3705422047818646e-05,0.0033961166581935,0.4943820224719101,-0.0003435799245084,0.0003098758418908,-0.0058423995971679,-0.0013114929199218,-0.0005849157826284,-3.832913516612536e-05,0.0002356191699424,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L3H11,RI-selected_small-effect,-0.0022394094574317,-0.0006270087167118,0.0043848548405029,0.4831460674157303,-0.0005678326896067,-5.917066938421699e-05,0.007417869567871,-0.0013067245483398,-0.000364132141799,-0.0008194553718138,0.0002954863430408,1724,insufficient matched support: see contextual_ri.csv,,,False,True,True
L4H0,RI-selected_small-effect,0.0010287949208463,-0.0004289016295015,0.0032854863427584,0.3932584269662921,-0.0003463230775983,-8.25745336125406e-05,-0.0028005599975585,-0.0009138107299804,-0.0003393419672933,-0.0012162776475542,0.0012610360477747,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L5H18,RI-selected_small-effect,-0.0056066834524776,-0.0006118838706713,0.0033617115170276,0.4157303370786517,-0.0009120984023876,0.0003002158711465,-0.0120721817016601,-0.0013280868530273,-2.404009358266766e-05,0.0002769138036149,-0.0002210970675007,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L6H2,RI-selected_small-effect,-0.0039423503232805,-0.0001049095325255,0.0033299416992057,0.5393258426966292,-0.0002146517292837,0.0001097462150488,-0.0072343826293945,-0.0013259887695312,-0.0006092103679528,-0.0004994896020782,0.0012282843000433,1724,completed; eligibility varies by metric (see support table),,,True,False,True
L6H12,random-controls,0.0004296892144706,-0.0004690631052081,0.0029565821559963,0.4044943820224719,-0.0003209489115168,-0.0001481101754006,-0.0039612770080566,-0.0014142990112304,-0.0002239420172873,-0.000364839360955,4.586209072155899e-06,1724,insufficient support: zero saved scored events,,,False,False,False
