head,best_original_RI_rank,stage2_P,stage3_F,retain_RI,retain_causal,retained
L1H27,1,0.0217949620793374,-0.0003080046578739,True,False,True
L2H21,6,-0.0013823080598638,-0.000690685229355,False,False,False
L2H22,5,-0.0003916574328133,-3.3705422047818646e-05,False,False,False
L4H0,9,0.0010287949208463,-0.0004289016295015,False,False,False
L5H18,6,-0.0056066834524776,-0.0006118838706713,False,False,False
L6H2,7,-0.0039423503232805,-0.0001049095325255,False,False,False
L6H24,7,0.1013488073027535,-0.0004334744442714,False,True,True
L7H18,9,-0.0011905766604991,-0.0001279155859786,False,False,False
L7H25,4,0.0032631520474894,-0.0007265739226609,False,False,False
L8H8,1,-0.0449317760681838,-0.000251866458507,True,False,True
L8H15,4,0.279438067018316,-0.0004437934146838,False,True,True
L8H16,7,-0.0052538668171743,-0.0008983397751711,False,False,False
L9H6,2,-0.0349045657040028,0.0011349688754992,True,False,True
L9H16,6,0.0950192280029982,-0.0006317556574103,False,False,False
L9H17,3,0.0270456946297977,0.0008761213066872,True,False,True
L10H16,8,-0.0477431423208686,0.0009239496809712,False,False,False
L11H3,4,0.0213306539514091,0.0030929104665691,False,False,False
L11H4,2,0.0040213954582642,0.0004384008686194,True,False,True
L11H7,1,-0.0018788294845752,-0.0002502484268017,True,False,True
L11H15,8,-0.0503582686520694,-0.0029604354601227,False,False,False
L12H2,3,0.0101441961995671,-0.0006904869936825,True,False,True
L12H9,10,-0.0060606913620166,0.0004080708107251,False,False,False
L13H1,10,0.0011389335889494,8.198920260654407e-05,False,False,False
L13H22,7,-0.0055639958113766,0.0001976891849817,False,False,False
L14H10,9,-0.0058660507202148,-0.0017773140682263,False,False,False
L14H23,5,-0.2115684252106741,-0.024763487697987,False,True,True
L15H0,7,0.0050197612033801,0.0002642213628533,False,False,False
L15H2,9,0.0153975326023744,0.0085916572742247,False,False,False
L15H3,9,-0.1060322831186015,-0.0488650611277376,False,True,True
L15H18,6,0.0262743274817306,0.0404967190174574,False,False,False
L15H28,5,0.0147899938433357,0.0113936220661977,False,False,False
L15H29,9,0.004315520940202,-0.0004707909701915,False,False,False
L16H1,3,0.8679152553001147,0.8566900478320175,True,True,True
L16H2,4,0.0066012211060256,0.008399883013093,False,False,False
L16H4,1,0.0257281614153572,0.0209455757998348,True,False,True
L16H16,3,0.0211655745345555,0.0156291629491227,True,False,True
L16H21,2,0.924523621462704,0.892819924300976,True,True,True
L16H24,1,-0.0456918277097552,-0.0419822114237238,True,False,True
L16H31,1,-0.1875795996590946,-0.1729035966851738,True,True,True
L17H5,1,-0.0132640613598769,-0.0587060746182216,True,False,True
L17H24,1,0.4326200431652283,0.4291944557361388,True,True,True
L18H15,4,0.0060462469465277,0.005192488766788,False,False,False
L18H19,10,3.072138234470668,3.0789664997143693,False,True,True
L19H16,6,-0.8197843251603373,-0.8292487685600024,False,True,True
L20H7,1,-0.0261140083998776,-0.0260404951117011,True,False,True
L20H14,7,0.0172549338822954,0.0173213026496801,False,False,False
L21H24,6,0.01258299859722,0.0132375138529231,False,False,False
L21H25,2,0.0546797366624467,0.0496970669607098,True,False,True
L21H27,6,0.046034196789345,0.0503837660457311,False,False,False
L22H5,2,0.9824650635880032,0.9838193989871592,True,True,True
L23H10,1,0.0266347681538442,0.033515764086434,True,False,True
L23H15,9,-0.9468907184815138,-0.953273545490222,False,True,True
L24H17,4,0.0346287770217724,0.036341265346227,False,False,False
L25H18,2,-0.0006707384345236,0.000505458103137,True,False,True
L26H23,5,-0.3674393155601587,-0.3693097628904193,False,True,True
L26H31,3,0.0294528007507324,0.0273350222726886,True,False,True
L27H23,2,-0.0011554889464646,-0.0011011348681503,True,False,True
L30H3,1,0.0024081401610642,0.0021694376227561,True,False,True
L31H1,9,-1.7192926299705932e-05,-1.7192926299705932e-05,False,False,False
