configuration,panel,source,source_site,receiver,receiver_type,channel,receiver_site,output_row,path
P1_0000,P1,L17H1,query_mother_span,L18H18,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0001,P1,L17H1,query_mother_span,L18H18,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0002,P1,L17H1,query_mother_span,L18H19,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0003,P1,L17H1,query_mother_span,L18H19,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0004,P1,L17H1,query_mother_span,L18H24,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0005,P1,L17H1,query_mother_span,L18H24,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0006,P1,L17H1,query_mother_span,L19H16,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0007,P1,L17H1,query_mother_span,L19H16,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0008,P1,L17H1,query_mother_span,L19H22,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0009,P1,L17H1,query_mother_span,L19H22,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0010,P1,L17H1,query_mother_span,L20H1,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0011,P1,L17H1,query_mother_span,L20H1,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0012,P1,L17H1,query_mother_span,L21H6,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0013,P1,L17H1,query_mother_span,L21H6,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0014,P1,L17H1,query_mother_span,L21H18,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0015,P1,L17H1,query_mother_span,L21H18,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0016,P1,L17H1,query_mother_span,L21H23,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0017,P1,L17H1,query_mother_span,L21H23,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0018,P1,L17H1,query_mother_span,L22H5,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0019,P1,L17H1,query_mother_span,L22H5,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0020,P1,L17H1,query_mother_span,L23H15,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0021,P1,L17H1,query_mother_span,L23H15,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0022,P1,L17H1,query_mother_span,L25H17,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0023,P1,L17H1,query_mother_span,L25H17,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0024,P1,L17H1,query_mother_span,L26H23,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0025,P1,L17H1,query_mother_span,L26H23,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0026,P1,L17H1,query_mother_span,L27H6,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0027,P1,L17H1,query_mother_span,L27H6,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0028,P1,L17H1,query_mother_span,L30H13,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0029,P1,L17H1,query_mother_span,L30H13,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0030,P1,L17H1,query_mother_span,L30H18,head,K,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0031,P1,L17H1,query_mother_span,L30H18,head,V,query_mother_span,colon,direct with intervening residual branch increments frozen
P1_0032,P1,L17H1,query_mother_span,MLP17,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0033,P1,L17H1,query_mother_span,MLP18,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0034,P1,L17H1,query_mother_span,MLP19,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0035,P1,L17H1,query_mother_span,MLP20,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0036,P1,L17H1,query_mother_span,MLP21,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0037,P1,L17H1,query_mother_span,MLP22,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0038,P1,L17H1,query_mother_span,MLP23,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0039,P1,L17H1,query_mother_span,MLP24,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
P1_0040,P1,L17H1,query_mother_span,MLP25,mlp,input,query_mother_span,live downstream,direct with intervening residual branch increments frozen
