id,direction,family,effect,order_delta
G1:I1:conditional:L18H18,noise,0,2.26873779296875,1.2930908203125
G1:I1:conditional:L18H18,noise,2,1.05841064453125,1.9151611328125
G1:I1:conditional:L18H18,noise,4,7.243415832519531,4.3679046630859375
G1:I1:conditional:L18H18,noise,6,1.9400634765625,3.148193359375
G1:I1:conditional:L18H18,noise,8,2.08203125,5.1875
G1:I1:conditional:L18H18,noise,12,4.749294281005859,2.6417922973632812
G1:I1:conditional:L18H18,noise,14,3.97869873046875,5.1888427734375
G1:I1:conditional:L18H18,noise,16,3.60272216796875,3.9637451171875
G1:I1:conditional:L18H18,noise,20,4.845001220703125,4.03814697265625
G1:I1:conditional:L18H18,noise,24,3.33380126953125,7.8841552734375
G1:I1:conditional:L18H18,noise,26,4.397705078125,5.32470703125
G1:I1:conditional:L18H18,noise,28,4.1485595703125,1.875244140625
G1:I1:conditional:L18H18,noise,30,3.905803680419922,4.713951110839844
G1:I1:conditional:L18H18,noise,32,4.25140380859375,6.7762451171875
G1:I1:conditional:L18H18,noise,34,6.6916046142578125,0.973419189453125
G1:I1:conditional:L18H18,noise,36,3.64544677734375,2.7313232421875
G1:I1:conditional:L18H18,noise,38,3.9208984375,3.130859375
G1:I1:conditional:L18H18,noise,40,3.170257568359375,5.94500732421875
G1:I1:conditional:L18H18,noise,44,3.668212890625,1.684326171875
G1:I1:conditional:L18H18,noise,46,3.56329345703125,3.3836669921875
G1:I1:conditional:L18H18,noise,48,2.767120361328125,4.26654052734375
G1:I1:conditional:L18H18,noise,50,2.6196136474609375,5.940399169921875
G1:I1:conditional:L18H18,noise,52,2.53839111328125,4.9730224609375
G1:I1:conditional:L18H18,noise,54,2.9505538940429688,2.6892547607421875
G1:I1:conditional:L18H18,noise,56,4.4727020263671875,4.546783447265625
G1:I1:conditional:L18H18,noise,58,3.05438232421875,4.7025146484375
G1:I1:conditional:L18H18,noise,60,2.9776611328125,5.738525390625
G1:I1:conditional:L18H18,noise,62,4.914257049560547,7.560935974121094
G1:I1:conditional:L18H18,noise,64,3.0338134765625,5.306396484375
G1:I1:conditional:L18H18,noise,66,1.67431640625,5.5849609375
G1:I1:conditional:L18H18,noise,68,3.59881591796875,6.4764404296875
G1:I1:conditional:L18H18,noise,70,3.7302398681640625,5.661163330078125
G1:I1:conditional:L18H18,noise,72,1.5367431640625,2.664306640625
G1:I1:conditional:L18H18,noise,76,2.72686767578125,1.8643798828125
G1:I1:conditional:L18H18,noise,78,5.6031494140625,3.963623046875
G1:I1:conditional:L18H18,noise,80,4.134246826171875,5.17633056640625
G1:I1:conditional:L18H18,noise,82,1.917205810546875,3.93157958984375
G1:I1:conditional:L18H18,noise,84,6.096900939941406,5.6453704833984375
G1:I1:conditional:L18H18,noise,86,2.087158203125,4.3056640625
G1:I1:conditional:L18H18,noise,88,4.523040771484375,5.14141845703125
G1:I1:conditional:L18H18,noise,90,3.6339874267578125,7.838653564453125
G1:I1:conditional:L18H18,noise,92,3.439910888671875,3.39154052734375
G1:I1:conditional:L18H18,noise,94,6.036529541015625,7.16180419921875
G1:I1:conditional:L18H18,noise,96,7.290771484375,3.29248046875
G1:I1:conditional:L18H18,noise,98,2.58148193359375,-0.2098388671875
G1:I1:conditional:L18H18,noise,100,2.139617919921875,5.74566650390625
G1:I1:conditional:L18H18,noise,102,5.391515731811523,4.538745880126953
G1:I1:conditional:L18H18,noise,104,1.690643310546875,1.85296630859375
G1:I1:conditional:L18H18,noise,108,3.48486328125,6.2119140625
G1:I1:conditional:L18H18,noise,110,5.2740478515625,7.676513671875
G1:I1:conditional:L18H18,noise,112,6.662750244140625,3.99249267578125
G1:I1:conditional:L18H18,noise,114,2.4381942749023438,4.5430450439453125
G1:I1:conditional:L18H18,noise,116,2.465087890625,3.2568359375
G1:I1:conditional:L18H18,noise,118,5.7431640625,8.7109375
G1:I1:conditional:L18H18,noise,120,6.0791015625,5.281005859375
G1:I1:conditional:L18H18,noise,122,2.534637451171875,6.32916259765625
G1:I1:conditional:L18H18,noise,124,4.45831298828125,4.9295654296875
G1:I1:conditional:L18H18,noise,126,2.5168533325195312,5.1635894775390625
G1:I1:conditional:L18H18,noise,128,3.2393341064453125,1.020355224609375
G1:I1:conditional:L18H18,noise,130,2.6787872314453125,3.145355224609375
G1:I1:conditional:L18H18,noise,132,3.10205078125,4.763671875
G1:I1:conditional:L18H18,noise,134,2.68792724609375,5.3050537109375
G1:I1:conditional:L18H18,noise,136,5.699462890625,8.77978515625
G1:I1:conditional:L18H18,noise,138,2.0101318359375,2.903076171875
G1:I1:conditional:L18H18,noise,140,4.484375,4.142578125
G1:I1:conditional:L18H18,noise,142,3.38134765625,6.5771484375
G1:I1:conditional:L18H18,noise,148,2.1782684326171875,2.001617431640625
G1:I1:conditional:L18H18,noise,150,3.151336669921875,4.46478271484375
G1:I1:conditional:L18H18,noise,152,2.130279541015625,2.82159423828125
G1:I1:conditional:L18H18,noise,154,4.038909912109375,6.20440673828125
G1:I1:conditional:L18H18,noise,156,3.725982666015625,6.85345458984375
G1:I1:conditional:L18H18,noise,158,2.20623779296875,2.8050537109375
G1:I1:conditional:L18H18,noise,160,4.34490966796875,5.2093505859375
G1:I1:conditional:L18H18,noise,162,4.21966552734375,1.6312255859375
G1:I1:conditional:L18H18,noise,166,5.36029052734375,4.8931884765625
G1:I1:conditional:L18H18,noise,168,0.109619140625,0.42431640625
G1:I1:conditional:L18H18,noise,170,7.044677734375,9.484375
G1:I1:conditional:L18H18,noise,172,1.674072265625,2.840087890625
G1:I1:conditional:L18H18,noise,174,0.27392578125,0.021484375
G1:I1:conditional:L18H18,noise,176,3.106689453125,2.734375
G1:I1:conditional:L18H18,noise,178,4.3470458984375,7.786865234375
G1:I1:conditional:L18H18,noise,180,4.6768798828125,4.760498046875
G1:I1:conditional:L18H18,noise,182,5.964599609375,5.17919921875
G1:I1:conditional:L18H18,noise,186,5.108673095703125,6.47454833984375
G1:I1:conditional:L18H18,noise,188,5.854095458984375,3.59881591796875
G1:I1:conditional:L18H18,noise,192,3.866851806640625,3.75640869140625
G1:I1:conditional:L18H18,noise,194,2.9815673828125,4.142822265625
G1:I1:conditional:L18H18,noise,196,3.56689453125,4.9951171875
G1:I1:conditional:L18H18,noise,198,4.197509765625,2.1455078125
G1:I1:conditional:L18H18,restore,0,2.681427001953125,2.12017822265625
G1:I1:conditional:L18H18,restore,2,1.2074737548828125,2.967437744140625
G1:I1:conditional:L18H18,restore,4,7.15765380859375,5.2843017578125
G1:I1:conditional:L18H18,restore,6,2.2100830078125,3.757568359375
G1:I1:conditional:L18H18,restore,8,2.4508056640625,5.246337890625
G1:I1:conditional:L18H18,restore,12,5.09234619140625,3.7362060546875
G1:I1:conditional:L18H18,restore,14,3.4415283203125,3.759521484375
G1:I1:conditional:L18H18,restore,16,3.01324462890625,2.0206298828125
G1:I1:conditional:L18H18,restore,20,4.92144775390625,3.1319580078125
G1:I1:conditional:L18H18,restore,24,2.4389572143554688,6.7607574462890625
G1:I1:conditional:L18H18,restore,26,5.52862548828125,6.2767333984375
G1:I1:conditional:L18H18,restore,28,4.035430908203125,4.27569580078125
G1:I1:conditional:L18H18,restore,30,3.7587890625,5.09375
G1:I1:conditional:L18H18,restore,32,5.009557723999023,6.187915802001953
G1:I1:conditional:L18H18,restore,34,4.7861328125,1.380859375
G1:I1:conditional:L18H18,restore,36,3.0485687255859375,3.245147705078125
G1:I1:conditional:L18H18,restore,38,4.53759765625,2.91162109375
G1:I1:conditional:L18H18,restore,40,2.64385986328125,4.9874267578125
G1:I1:conditional:L18H18,restore,44,3.2750091552734375,2.062042236328125
G1:I1:conditional:L18H18,restore,46,3.33282470703125,2.5543212890625
G1:I1:conditional:L18H18,restore,48,2.0738983154296875,3.695648193359375
G1:I1:conditional:L18H18,restore,50,1.77056884765625,4.9859619140625
G1:I1:conditional:L18H18,restore,52,3.5093393325805664,6.877103805541992
G1:I1:conditional:L18H18,restore,54,3.657745361328125,3.45062255859375
G1:I1:conditional:L18H18,restore,56,4.38848876953125,4.4927978515625
G1:I1:conditional:L18H18,restore,58,2.6300048828125,3.640380859375
G1:I1:conditional:L18H18,restore,60,3.680389404296875,5.40179443359375
G1:I1:conditional:L18H18,restore,62,5.65533447265625,8.0301513671875
G1:I1:conditional:L18H18,restore,64,1.72491455078125,3.8128662109375
G1:I1:conditional:L18H18,restore,66,2.381103515625,5.44384765625
G1:I1:conditional:L18H18,restore,68,3.490478515625,4.85205078125
G1:I1:conditional:L18H18,restore,70,2.966777801513672,3.5692977905273438
G1:I1:conditional:L18H18,restore,72,3.033447265625,2.78955078125
G1:I1:conditional:L18H18,restore,76,3.16680908203125,3.7003173828125
G1:I1:conditional:L18H18,restore,78,5.022705078125,2.417724609375
G1:I1:conditional:L18H18,restore,80,4.195550918579102,5.037029266357422
G1:I1:conditional:L18H18,restore,82,3.685791015625,4.12548828125
G1:I1:conditional:L18H18,restore,84,5.4215087890625,4.368408203125
G1:I1:conditional:L18H18,restore,86,1.33831787109375,4.1204833984375
G1:I1:conditional:L18H18,restore,88,3.668670654296875,4.64007568359375
G1:I1:conditional:L18H18,restore,90,2.294921875,5.1044921875
G1:I1:conditional:L18H18,restore,92,3.0792694091796875,2.153656005859375
G1:I1:conditional:L18H18,restore,94,6.854522705078125,4.85943603515625
G1:I1:conditional:L18H18,restore,96,4.263763427734375,1.05096435546875
G1:I1:conditional:L18H18,restore,98,3.52642822265625,3.8953857421875
G1:I1:conditional:L18H18,restore,100,2.29168701171875,6.7462158203125
G1:I1:conditional:L18H18,restore,102,6.77557373046875,6.0472412109375
G1:I1:conditional:L18H18,restore,104,3.052165985107422,2.8678359985351562
G1:I1:conditional:L18H18,restore,108,2.228759765625,4.31640625
G1:I1:conditional:L18H18,restore,110,3.6190185546875,5.123291015625
G1:I1:conditional:L18H18,restore,112,6.062896728515625,3.10382080078125
G1:I1:conditional:L18H18,restore,114,2.0167236328125,3.971435546875
G1:I1:conditional:L18H18,restore,116,3.8633346557617188,6.8609466552734375
G1:I1:conditional:L18H18,restore,118,4.628425598144531,6.9526214599609375
G1:I1:conditional:L18H18,restore,120,4.85308837890625,2.8228759765625
G1:I1:conditional:L18H18,restore,122,2.21282958984375,5.7945556640625
G1:I1:conditional:L18H18,restore,124,4.14288330078125,4.4075927734375
G1:I1:conditional:L18H18,restore,126,3.5196533203125,7.785888671875
