id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,cohort,source,site
G1:I1:conditional:L18H18,noise,89,3.693218124046754,3.693218124046754,3.59881591796875,0.109619140625,7.290771484375,1.0,1.0,True,coherent,3.3808566672078677,4.01095778272393,4.43033449837331,11.170458413241954,0.3306236850287765,0.3306236850287765,G1,I1,conditional,594,,,
G1:I1:conditional:L18H18,restore,89,3.6059766726547413,3.6059766726547413,3.5196533203125,0.2742919921875,7.15765380859375,1.0,1.0,True,coherent,3.3226598268144585,3.8916392240631446,4.26879846379998,11.170458413241954,0.3228136697040166,0.3228136697040166,G1,I1,conditional,594,,,
G1:I1:conditional:L18H19,noise,89,4.297184097632933,4.297184097632933,4.23626708984375,0.148681640625,7.803535461425781,1.0,1.0,True,coherent,3.9768980004814236,4.618861376837398,2.3874615015608542,11.170458413241954,0.38469183077919716,0.38469183077919716,G1,I1,conditional,595,,,
G1:I1:conditional:L18H19,restore,89,4.180347201529513,4.180347201529513,4.150012969970703,0.3946533203125,8.814208984375,1.0,1.0,True,coherent,3.893611763166578,4.476772925425111,2.2388320987144215,11.170458413241954,0.3742323767638708,0.3742323767638708,G1,I1,conditional,595,,,
G1:I1:whole,noise,89,5.339535311366735,5.339535311366735,5.37152099609375,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.989556100663174,5.688268264090077,7.413365471229125,11.170458413241954,0.47800503021765106,0.47800503021765106,G1,I1,whole,,,,
G1:I1:whole,restore,89,5.335905192943102,5.335905192943102,5.3896484375,0.52880859375,8.60528564453125,1.0,1.0,True,coherent,5.0020562225513245,5.661133991466479,7.528732706991474,11.170458413241954,0.47768005533395874,0.47768005533395874,G1,I1,whole,,,,
G1:I2:conditional:L18H18,noise,89,3.523102543327246,3.523102543327246,3.39385986328125,0.12548828125,7.3143310546875,1.0,1.0,True,coherent,3.2376287290219508,3.811392013544446,4.567008131005791,11.170458413241954,0.31539462508994304,0.31539462508994304,G1,I2,conditional,594,,,
G1:I2:conditional:L18H18,restore,89,3.4680982011087824,3.4680982011087824,3.457275390625,0.2940673828125,6.20013427734375,1.0,1.0,True,coherent,3.2195258812957936,3.718373777625266,4.445160383588813,11.170458413241954,0.31047053512123957,0.31047053512123957,G1,I2,conditional,594,,,
G1:I2:conditional:L18H19,noise,89,4.202759967761093,4.202759967761093,4.19268798828125,0.1640625,8.15460205078125,1.0,1.0,True,coherent,3.9043547924984705,4.508538434210788,2.471740851241551,11.170458413241954,0.37623880885487704,0.37623880885487704,G1,I2,conditional,595,,,
G1:I2:conditional:L18H19,restore,89,4.135394482130415,4.135394482130415,4.243147850036621,0.4276123046875,6.883453369140625,1.0,1.0,True,coherent,3.864666130033772,4.403138974811253,2.3298540651128534,11.170458413241954,0.37020812657322427,0.37020812657322427,G1,I2,conditional,595,,,
G1:I2:whole,noise,89,5.460764311672596,5.460764311672596,5.3992919921875,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,5.094805681035759,5.825033376725871,6.387722176112486,11.170458413241954,0.4888576734862703,0.4888576734862703,G1,I2,whole,,,,
G1:I2:whole,restore,89,5.495287187983481,5.495287187983481,5.623046875,0.549560546875,9.205078125,1.0,1.0,True,coherent,5.148167552037186,5.833635864097081,6.513420426443721,11.170458413241954,0.49194822492415574,0.49194822492415574,G1,I2,whole,,,,
G1:I3:conditional:L18H18,noise,89,3.2264729510532337,3.2264729510532337,3.1683807373046875,0.115478515625,6.49798583984375,1.0,1.0,True,coherent,2.9596311847815353,3.4975448174423045,4.011251792479097,11.170458413241954,0.2888397979467369,0.2888397979467369,G1,I3,conditional,594,,,
G1:I3:conditional:L18H18,restore,89,3.1213041798452315,3.1213041798452315,3.054443359375,0.2625732421875,6.30364990234375,1.0,1.0,True,coherent,2.8796302506093228,3.3663909617434724,3.775477420078235,11.170458413241954,0.2794248959510113,0.2794248959510113,G1,I3,conditional,594,,,
G1:I3:conditional:L18H19,noise,89,3.764624884959017,3.764624884959017,3.75396728515625,0.155517578125,6.9129486083984375,1.0,1.0,True,coherent,3.4943964765312963,4.03937016229951,2.1567530685596252,11.170458413241954,0.3370161497129128,0.3370161497129128,G1,I3,conditional,595,,,
G1:I3:conditional:L18H19,restore,89,3.6506024264217762,3.6506024264217762,3.611083984375,0.383056640625,7.9495849609375,1.0,1.0,True,coherent,3.399647416961327,3.9071613552865014,1.9405766604991441,11.170458413241954,0.3268086493293947,0.3268086493293947,G1,I3,conditional,595,,,
G1:I3:whole,noise,89,5.574127588379249,5.574127588379249,5.57586669921875,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.219662127601967,5.926222226994761,7.173289706198017,11.170458413241954,0.49900616269887654,0.49900616269887654,G1,I3,whole,,,,
G1:I3:whole,restore,89,5.5744647336809825,5.5744647336809825,5.698886871337891,0.564697265625,9.010833740234375,1.0,1.0,True,coherent,5.226797479458069,5.918070653851112,7.219916182957339,11.170458413241954,0.49903634456691287,0.49903634456691287,G1,I3,whole,,,,
G1:O1:whole,noise,89,5.737452362360579,5.737452362360579,5.6357421875,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.383246634649427,6.090313633640161,5.218039812666647,11.170458413241954,0.5136272971178291,0.5136272971178291,G1,O1,whole,,,,
G1:O1:whole,restore,89,5.7777491874909135,5.7777491874909135,5.796875,0.868408203125,10.0096435546875,1.0,1.0,True,coherent,5.416664892033245,6.137199538075522,5.332361612427101,11.170458413241954,0.5172347430828546,0.5172347430828546,G1,O1,whole,,,,
G1:O3:conditional:L18H19,noise,89,2.920695619636707,2.920695619636707,2.5972900390625,0.1700439453125,6.843505859375,1.0,1.0,True,coherent,2.6361226617620233,3.2236551460255387,1.9711701548501346,11.170458413241954,0.2614660483561163,0.2614660483561163,G1,O3,conditional,595,,,
G1:O3:conditional:L18H19,restore,89,2.8767311224776706,2.8767311224776706,2.553375244140625,0.4105224609375,7.4962158203125,1.0,1.0,True,coherent,2.6026173757703117,3.17120382116082,1.8824303873469321,11.170458413241954,0.2575302656395432,0.2575302656395432,G1,O3,conditional,595,,,
G1:O3:whole,noise,89,6.528266198179695,6.528266198179695,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.1416965303796065,6.905443288770954,5.93749652551801,11.170458413241954,0.5844224074493487,0.5844224074493487,G1,O3,whole,,,,
