id,direction,family,effect,order_delta
G1:I1:conditional:L18H18,noise,0,2.26873779296875,1.2930908203125
G1:I1:conditional:L18H18,noise,16,3.60272216796875,3.9637451171875
G1:I1:conditional:L18H18,noise,32,4.25140380859375,6.7762451171875
G1:I1:conditional:L18H18,noise,48,2.767120361328125,4.26654052734375
G1:I1:conditional:L18H18,noise,56,4.4727020263671875,4.546783447265625
G1:I1:conditional:L18H18,noise,64,3.0338134765625,5.306396484375
G1:I1:conditional:L18H18,noise,82,1.917205810546875,3.93157958984375
G1:I1:conditional:L18H18,noise,96,7.290771484375,3.29248046875
G1:I1:conditional:L18H18,noise,98,2.58148193359375,-0.2098388671875
G1:I1:conditional:L18H18,noise,102,5.391515731811523,4.538745880126953
G1:I1:conditional:L18H18,noise,116,2.465087890625,3.2568359375
G1:I1:conditional:L18H18,noise,130,2.6787872314453125,3.145355224609375
G1:I1:conditional:L18H18,noise,150,3.151336669921875,4.46478271484375
G1:I1:conditional:L18H18,noise,154,4.038909912109375,6.20440673828125
G1:I1:conditional:L18H18,noise,162,4.21966552734375,1.6312255859375
G1:I1:conditional:L18H18,noise,176,3.106689453125,2.734375
G1:I1:conditional:L18H18,noise,178,4.3470458984375,7.786865234375
G1:I1:conditional:L18H18,noise,186,5.108673095703125,6.47454833984375
G1:I1:conditional:L18H18,noise,192,3.866851806640625,3.75640869140625
G1:I1:conditional:L18H18,noise,196,3.56689453125,4.9951171875
G1:I1:conditional:L18H19,noise,0,3.3736114501953125,2.278594970703125
G1:I1:conditional:L18H19,noise,16,2.37994384765625,1.4747314453125
G1:I1:conditional:L18H19,noise,32,4.798583984375,3.76806640625
G1:I1:conditional:L18H19,noise,48,4.44549560546875,4.3355712890625
G1:I1:conditional:L18H19,noise,56,4.1229095458984375,1.310821533203125
G1:I1:conditional:L18H19,noise,64,3.0447998046875,4.268798828125
G1:I1:conditional:L18H19,noise,82,3.29888916015625,2.3663330078125
G1:I1:conditional:L18H19,noise,96,7.100921630859375,-0.42315673828125
G1:I1:conditional:L18H19,noise,98,2.43109130859375,0.4112548828125
G1:I1:conditional:L18H19,noise,102,7.191198348999023,2.841236114501953
G1:I1:conditional:L18H19,noise,116,3.600830078125,1.888671875
G1:I1:conditional:L18H19,noise,130,3.433197021484375,0.42755126953125
