id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,group,kind,head,background,source,site
G1:I1:conditional:L18H18,noise,20,3.7063708305358887,3.7063708305358887,3.584808349609375,1.917205810546875,7.290771484375,1.0,1.0,True,coherent,3.197351882457733,4.275429558753967,4.128768348693848,11.200063323974609,0.3309240959916818,0.3309240959916818,G1,I1,conditional,594,,,
G1:I1:conditional:L18H19,noise,20,4.21425199508667,4.21425199508667,3.83380126953125,2.37994384765625,7.191198348999023,1.0,1.0,True,coherent,3.648559310436249,4.8504590177536,2.4339075088500977,11.200063323974609,0.3762703721563551,0.3762703721563551,G1,I1,conditional,595,,,
G1:I1:conditional:L19H16,noise,20,-0.2660183906555176,0.27484712600708006,-0.27039337158203125,-0.7534427642822266,0.088287353515625,0.95,0.85,True,coherent,-0.3459956407546997,-0.19273291349411023,0.38057193756103513,11.200063323974609,-0.023751507733539727,0.02453978321879202,G1,I1,conditional,624,,,
G1:I1:conditional:L20H1,noise,20,-0.49356660842895506,0.4976315498352051,-0.56072998046875,-0.9879856109619141,0.0406494140625,0.95,0.95,True,coherent,-0.6113025021553039,-0.37530835390090955,1.472869300842285,11.200063323974609,-0.04406819802281271,0.04443113716776814,G1,I1,conditional,641,,,
G1:I1:conditional:L23H15,noise,20,-0.359145450592041,0.368300724029541,-0.364013671875,-0.6163330078125,0.091552734375,0.95,0.95,True,coherent,-0.42758970260620116,-0.2850246644020083,0.531566047668457,11.200063323974609,-0.03206637678764388,0.03288380729430025,G1,I1,conditional,751,,,
G1:I1:conditional:L25H17,noise,20,0.7870596885681153,0.7870596885681153,0.79510498046875,0.4024658203125,1.1487178802490234,1.0,1.0,True,coherent,0.7114002895355224,0.8623153734207152,0.392548942565918,11.200063323974609,0.07027278916212489,0.07027278916212489,G1,I1,conditional,817,,,
G1:I1:interaction,noise,20,1.5209455013275146,1.664794683456421,1.5634994506835938,-0.7636871337890625,3.8598480224609375,0.9,1.0,True,coherent,1.0081846964359282,2.0255950462818144,1.8832839012145997,11.200063323974609,0.135797937684139,0.14864154204314167,G1,I1,interaction,,,,
G1:I1:whole,noise,20,5.440044498443603,5.440044498443603,5.581367492675781,2.95367431640625,7.633049011230469,1.0,1.0,True,coherent,4.854718987941743,6.012103154659271,7.063956260681152,11.200063323974609,0.48571551258989437,0.48571551258989437,G1,I1,whole,,,,
G1:I2:conditional:L17H24,noise,20,0.4991199493408203,0.4991199493408203,0.41350555419921875,0.220458984375,1.125,1.0,1.0,True,coherent,0.4032708072662354,0.6118015575408935,0.6963371276855469,11.200063323974609,0.04456402922940758,0.04456402922940758,G1,I2,conditional,568,,,
G1:I2:conditional:L18H18,noise,20,3.5276975631713867,3.5276975631713867,3.508880615234375,1.75860595703125,5.784027099609375,1.0,1.0,True,coherent,3.066971197128296,4.012572555541992,4.263879013061524,11.200063323974609,0.31497121588768834,0.31497121588768834,G1,I2,conditional,594,,,
G1:I2:conditional:L18H19,noise,20,4.105548858642578,4.105548858642578,4.122291564941406,2.19140625,7.54998779296875,1.0,1.0,True,coherent,3.555924777984619,4.709518547058105,2.471022033691406,11.200063323974609,0.36656478984849405,0.36656478984849405,G1,I2,conditional,595,,,
G1:I2:conditional:L19H16,noise,20,-0.20184650421142578,0.21704425811767578,-0.2216796875,-0.60455322265625,0.1519775390625,0.95,0.85,True,coherent,-0.2674614191055298,-0.13827880382537847,0.30729026794433595,11.200063323974609,-0.018021907410055226,0.0193788420511048,G1,I2,conditional,624,,,
G1:I2:conditional:L20H1,noise,20,-0.3571478843688965,0.3637885093688965,-0.44500732421875,-0.8504638671875,0.06640625,0.95,0.9,True,coherent,-0.456114718914032,-0.2602194857597352,1.263136100769043,11.200063323974609,-0.0318880236689728,0.03248093326313422,G1,I2,conditional,641,,,
G1:I2:interaction,noise,20,1.51526780128479,1.5562727451324463,1.475433349609375,-0.4100494384765625,3.877685546875,0.95,0.95,True,coherent,1.0648537349700928,1.979437496662139,1.5189251899719238,11.200063323974609,0.13529100304649538,0.13895213804739148,G1,I2,interaction,,,,
G1:I2:whole,noise,20,5.559914207458496,5.559914207458496,5.5944671630859375,2.98089599609375,7.836509704589844,1.0,1.0,True,coherent,4.93645302772522,6.169891443252563,5.9577678680419925,11.200063323974609,0.4964181046688429,0.4964181046688429,G1,I2,whole,,,,
G1:I3:conditional:L18H18,noise,20,3.2305137634277346,3.2305137634277346,3.304046630859375,1.7556304931640625,6.0337371826171875,1.0,1.0,True,coherent,2.796247119903564,3.7004105949401844,3.713420104980469,11.200063323974609,0.2884370980753803,0.2884370980753803,G1,I3,conditional,594,,,
G1:I3:conditional:L18H19,noise,20,3.6885726928710936,3.6885726928710936,3.4307785034179688,2.1236572265625,6.41021728515625,1.0,1.0,True,coherent,3.2059928703308107,4.238793334960937,2.1993896484375,11.200063323974609,0.3293349855420385,0.3293349855420385,G1,I3,conditional,595,,,
G1:I3:conditional:L20H1,noise,20,-0.34360389709472655,0.34801673889160156,-0.404815673828125,-0.7156982421875,0.04412841796875,0.95,0.9,True,coherent,-0.42561155319213867,-0.26047821044921876,1.4461402893066406,11.200063323974609,-0.03067874592808914,0.03107274743229751,G1,I3,conditional,641,,,
G1:I3:conditional:L23H15,noise,20,-0.30820722579956056,0.3216105461120605,-0.311065673828125,-0.6139678955078125,0.134033203125,0.95,0.95,True,coherent,-0.3759227991104126,-0.23514228105545062,0.4761312484741211,11.200063323974609,-0.027518346716827836,0.02871506497857276,G1,I3,conditional,751,,,
G1:I3:conditional:L25H17,noise,20,0.7338020324707031,0.7338020324707031,0.7246017456054688,0.370849609375,1.0067138671875,1.0,1.0,True,coherent,0.6614459228515625,0.8030432128906249,0.33889312744140626,11.200063323974609,0.0655176681813881,0.0655176681813881,G1,I3,conditional,817,,,
G1:I3:interaction,noise,20,0.9278694152832031,1.222956085205078,1.1781005859375,-1.3412017822265625,2.7735671997070312,0.8,0.95,True,coherent,0.45456045150756835,1.3771879196166987,1.4740692138671876,11.200063323974609,0.08284501510781875,0.10919189024469578,G1,I3,interaction,,,,
G1:I3:whole,noise,20,5.706062889099121,5.706062889099121,5.930702209472656,3.2784423828125,8.180397033691406,1.0,1.0,True,coherent,5.113584384918213,6.291238241195679,6.7787731170654295,11.200063323974609,0.509467020323434,0.509467020323434,G1,I3,whole,,,,
G1:I4:conditional:L16H1,noise,20,1.1520818710327148,1.1520818710327148,0.975433349609375,0.44793701171875,2.6940765380859375,1.0,1.0,True,coherent,0.9178561115264893,1.407657284736633,0.7887172698974609,11.200063323974609,0.10286387118603103,0.10286387118603103,G1,I4,conditional,513,,,
G1:I4:conditional:L16H21,noise,20,1.1136766433715821,1.1136766433715821,1.0964202880859375,0.13140869140625,2.2739105224609375,1.0,1.0,True,coherent,0.8504243564605714,1.3854845905303954,0.8898563385009766,11.200063323974609,0.0994348523894209,0.0994348523894209,G1,I4,conditional,533,,,
