id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference
G1:I1:conditional:L18H18,noise,69,2.370503698570141,2.5040415439052857,2.0567398071289062,-1.59033203125,9.197998046875,0.9130434782608695,0.9855072463768116,True,coherent,1.9336978465750596,2.839691507902698,2.770910491114077
G1:I1:conditional:L18H18,restore,69,2.0586519396823384,2.159721072169318,2.0023193359375,-1.74267578125,5.479278564453125,0.9130434782608695,0.9855072463768116,True,coherent,1.7049431510161663,2.4063618529102073,2.8841902725938438
G1:I1:conditional:L18H19,noise,69,2.832791843276093,2.873823390490767,2.5186767578125,-0.68719482421875,8.9951171875,0.9565217391304348,1.0,True,coherent,2.4461783719235575,3.238330100411954,1.5735609842383342
G1:I1:conditional:L18H19,restore,69,2.534685592720474,2.5381648177685947,2.427947998046875,-0.12003326416015625,5.2646484375,0.9855072463768116,1.0,True,coherent,2.2487133051174273,2.8195042827423067,1.7290183668551238
G1:I1:whole,noise,69,2.9855794802955957,3.0908448903456978,2.671630859375,-1.7819862365722656,10.2979736328125,0.9420289855072463,0.9855072463768116,True,coherent,2.506821390165799,3.4926645351492835,3.520807148753733
G1:I1:whole,restore,69,2.6398872724477798,2.760360277217367,2.6480770111083984,-1.7522964477539062,5.76171875,0.927536231884058,0.9855072463768116,True,coherent,2.2416348077680754,3.0253763218288836,3.8418486256530318
G1:I2:conditional:L18H18,noise,69,2.2297012494957964,2.3787650232729702,1.930694580078125,-1.862548828125,9.607269287109375,0.9130434782608695,1.0,True,coherent,1.7900121827056443,2.7014806014904065,2.79406389982804
G1:I2:conditional:L18H18,restore,69,1.8875798004260962,2.0485239789105845,1.9820404052734375,-2.1380615234375,5.27496337890625,0.9130434782608695,0.9710144927536232,True,coherent,1.5295366631037948,2.2403097472329065,2.8634357867033584
G1:I2:conditional:L18H19,noise,69,2.7388002976127295,2.7908128655475117,2.4888916015625,-0.77001953125,9.726806640625,0.9565217391304348,1.0,True,coherent,2.347163638515749,3.1554431818533635,1.5961993120718694
G1:I2:conditional:L18H19,restore,69,2.432241377623185,2.4444351403609565,2.38238525390625,-0.420684814453125,5.128448486328125,0.9855072463768116,1.0,True,coherent,2.148165291806926,2.7126758608265202,1.6636145080345264
G1:I2:whole,noise,69,3.1775493829146675,3.309085562609244,2.899169921875,-2.1848182678222656,10.6378173828125,0.927536231884058,0.9855072463768116,True,coherent,2.652365539730459,3.729091516784999,3.068405911542367
G1:I2:whole,restore,69,2.770107967266138,2.9469763507013735,2.785888671875,-2.317169189453125,6.1195526123046875,0.9130434782608695,1.0,True,coherent,2.3275484276854472,3.19974091882291,3.323390974514726
G1:I3:conditional:L18H18,noise,69,2.124828062195709,2.2423497075619907,1.8917236328125,-1.5390625,8.376220703125,0.9130434782608695,0.9710144927536232,True,coherent,1.7456978148308353,2.53295472877613,2.6047248287477354
G1:I3:conditional:L18H18,restore,69,1.8318110825358958,1.9192423958709275,1.729736328125,-1.777587890625,4.8255615234375,0.9420289855072463,1.0,True,coherent,1.526496405877929,2.132034150932146,2.6544172452843706
G1:I3:conditional:L18H19,noise,69,2.501730390216993,2.531397898991903,2.2540283203125,-0.540130615234375,8.1875,0.9565217391304348,1.0,True,coherent,2.1732636914736987,2.848323886463607,1.502529552017433
G1:I3:conditional:L18H19,restore,69,2.23676389887713,2.242887538412343,2.19464111328125,-0.21126556396484375,4.6834716796875,0.9855072463768116,1.0,True,coherent,1.9895579030548316,2.4819322993789887,1.5830948594687642
G1:I3:whole,noise,69,3.019540724547013,3.097676449927731,2.784454345703125,-1.5019569396972656,10.0689697265625,0.9565217391304348,0.9710144927536232,True,coherent,2.565768532476563,3.500042883727861,3.571400891179624
G1:I3:whole,restore,69,2.684707862743433,2.7765805894050044,2.59722900390625,-1.7491455078125,5.6468505859375,0.9710144927536232,0.9855072463768116,True,coherent,2.31329306450443,3.0447467707205504,3.8620706088301064
G1:O1:whole,noise,69,3.5779766569966855,3.6352171293203384,3.297332763671875,-1.0814857482910156,10.607421875,0.9710144927536232,1.0,True,coherent,3.137009805959204,4.041795549617297,3.471734969512276
G1:O1:whole,restore,69,3.2776517176973647,3.296995439391205,3.110137939453125,-0.6673583984375,6.251209259033203,0.9855072463768116,0.9855072463768116,True,coherent,2.9177010190659676,3.6379890704500504,3.7253790039947066
G1:O3:conditional:L18H19,noise,69,2.1473804280377817,2.1473804280377817,1.90869140625,0.01397705078125,6.2021484375,1.0,0.9710144927536232,True,coherent,1.8629876819209776,2.4540851629298666,1.2492703423983809
G1:O3:conditional:L18H19,restore,69,1.988983154296875,2.017671446869339,1.9322662353515625,-0.53955078125,4.1707763671875,0.9710144927536232,1.0,True,coherent,1.7444483135057531,2.2308112711146255,1.4654651586560234
G1:O3:whole,noise,69,3.048714921094369,3.0768911596657573,3.1002273559570312,-0.827239990234375,8.134429931640625,0.9710144927536232,1.0,True,coherent,2.7233725285184556,3.376125233242477,3.2350959639618364
G1:O3:whole,restore,69,2.9213191875513047,2.9255951867587324,2.859832763671875,-0.14752197265625,5.9621124267578125,0.9855072463768116,1.0,True,coherent,2.642641099294027,3.201053333973539,3.5762349557185518
G1:O4:conditional:L18H19,noise,69,1.981012731358625,1.9944652336231177,1.864227294921875,-0.26953125,7.197601318359375,0.9565217391304348,0.9855072463768116,True,coherent,1.7272317209105559,2.254324543994405,1.6092411538828975
G1:O4:conditional:L18H19,restore,69,1.7928491675335427,1.7937118419702502,1.77587890625,-0.02976226806640625,3.94293212890625,0.9855072463768116,0.9855072463768116,True,coherent,1.6087044411811275,1.9789608969204666,1.5846076633619226
G1:O4:whole,noise,69,3.213237949039625,3.2711135408152705,2.99822998046875,-1.045654296875,9.8944091796875,0.9710144927536232,1.0,True,coherent,2.7744127145711928,3.675428155194156,3.449722110361293
G1:O4:whole,restore,69,2.8928576206815415,2.9251264212788017,2.73883056640625,-0.839111328125,5.8840789794921875,0.9710144927536232,1.0,True,coherent,2.5378000328506247,3.244633226118226,3.6399433854697407
G2:L14H23:change,noise,69,-0.001518719438193501,0.0262968090997226,0.000732421875,-0.16950225830078125,0.08282470703125,0.4927536231884058,0.014492753623188406,False,below_rule,-0.01048235461331796,0.006904341690782184,0.05436283609141474
G2:L14H23:change,restore,69,0.004964362020077912,0.02388774139293726,0.0030517578125,-0.096221923828125,0.112518310546875,0.5797101449275363,0.014492753623188406,False,below_rule,-0.0029197083867114524,0.012796535353729687,0.04330201770948327
G2:L14H23:conditional,noise,69,-0.10903861557227978,0.1982175578241763,-0.085540771484375,-0.7216796875,0.434814453125,0.6521739130434783,0.6666666666666666,True,heterogeneous,-0.16436549908872963,-0.054135019537331415,0.4815316407576851
G2:L14H23:conditional,restore,69,-0.09706538310949353,0.17431980285091678,-0.071136474609375,-0.59771728515625,0.451171875,0.6521739130434783,0.5652173913043478,True,heterogeneous,-0.1488540848096212,-0.04521233931831696,0.4620074327441229
