id,direction,donor_mean,mean_replacement_mean,donor_retained,mean_retained,same_mean_sign,donor_classification,mean_classification
G1:I1:conditional:L18H18,noise,3.693218124046754,2.361732126621718,True,True,True,coherent,coherent
G1:I1:conditional:L18H18,restore,3.6059766726547413,2.157787817247798,True,True,True,coherent,coherent
G1:I1:conditional:L18H19,noise,4.297184097632933,2.7840477134404558,True,True,True,coherent,coherent
G1:I1:conditional:L18H19,restore,4.180347201529513,2.596969016482321,True,True,True,coherent,coherent
G1:I1:whole,noise,5.339535311366735,2.957198349277625,True,True,True,coherent,coherent
G1:I1:whole,restore,5.335905192943102,2.7718799475873452,True,True,True,coherent,coherent
G1:I2:conditional:L18H18,noise,3.523102543327246,2.2107906341552734,True,True,True,coherent,coherent
G1:I2:conditional:L18H18,restore,3.4680982011087824,1.9915183474508564,True,True,True,coherent,coherent
G1:I2:conditional:L18H19,noise,4.202759967761093,2.680781814489472,True,True,True,coherent,coherent
G1:I2:conditional:L18H19,restore,4.135394482130415,2.4973933348494968,True,True,True,coherent,coherent
G1:I2:whole,noise,5.460764311672596,3.1530666083432317,True,True,True,coherent,coherent
G1:I2:whole,restore,5.495287187983481,2.9116767551122087,True,True,True,coherent,coherent
G1:I3:conditional:L18H18,noise,3.2264729510532337,2.110008909461204,True,True,True,coherent,coherent
G1:I3:conditional:L18H18,restore,3.1213041798452315,1.9230233846085796,True,True,True,coherent,coherent
G1:I3:conditional:L18H19,noise,3.764624884959017,2.456547938036115,True,True,True,coherent,coherent
G1:I3:conditional:L18H19,restore,3.6506024264217762,2.2910638552033498,True,True,True,coherent,coherent
G1:I3:whole,noise,5.574127588379249,3.001819069465894,True,True,True,coherent,coherent
G1:I3:whole,restore,5.5744647336809825,2.818131478984704,True,True,True,coherent,coherent
G1:O1:whole,noise,5.737452362360579,3.5666550103198276,True,True,True,coherent,coherent
G1:O1:whole,restore,5.7777491874909135,3.3878323630000766,True,True,True,coherent,coherent
G1:O3:conditional:L18H19,noise,2.920695619636707,2.127903188212534,True,True,True,coherent,coherent
G1:O3:conditional:L18H19,restore,2.8767311224776706,2.0283685534187916,True,True,True,coherent,coherent
G1:O3:whole,noise,6.528266198179695,3.0719727023263994,True,True,True,coherent,coherent
G1:O3:whole,restore,6.5675191557809205,2.935486118445236,True,True,True,coherent,coherent
G1:O4:conditional:L18H19,noise,2.906222793493378,1.945986758457141,True,True,True,coherent,coherent
G1:O4:conditional:L18H19,restore,2.80691537428438,1.8376035154535528,True,True,True,coherent,coherent
G1:O4:whole,noise,5.629542549004715,3.2072084137562955,True,True,True,coherent,coherent
G1:O4:whole,restore,5.671762777178475,3.0227726711316056,True,True,True,coherent,coherent
G2:L14H23:change,noise,-0.0034436308935786903,0.000997243302591731,False,False,False,below_rule,below_rule
G2:L14H23:change,restore,0.001605955402502853,0.0056214734409632304,False,False,True,below_rule,below_rule
G2:L14H23:conditional,noise,-0.21501205610425284,-0.1341525088535266,True,True,True,coherent,heterogeneous
G2:L14H23:conditional,restore,-0.20057762874646134,-0.10446254590923866,True,True,True,coherent,heterogeneous
G2:L15H3:change,noise,0.0019955407367663438,-0.0016916789365618416,False,False,False,below_rule,below_rule
G2:L15H3:change,restore,0.0038401142934734902,-0.0018811788451805543,False,False,False,below_rule,below_rule
G2:L15H3:conditional,noise,-0.10403674238183525,-0.1539640212326907,True,True,True,coherent,coherent
G2:L15H3:conditional,restore,-0.08622377374198999,-0.14795426304420728,False,True,True,below_rule,coherent
