group,head,id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference,original_gap,normalized_mean,normalized_mean_absolute,panel,kind
O1,L16H1,G1:O1:conditional:L16H1,noise,20,0.19652862548828126,0.19652862548828126,0.17779541015625,0.06396484375,0.505035400390625,1.0,0.75,True,coherent,0.148858642578125,0.2525864028930664,0.1577911376953125,11.200063323974609,0.01754709949430343,0.01754709949430343,G1,conditional
O1,L17H3,G1:O1:conditional:L17H3,noise,20,-0.06445846557617188,0.06930007934570312,-0.04961395263671875,-0.2041168212890625,0.0223388671875,0.85,0.25,False,below_rule,-0.09169607162475586,-0.03958251953125003,0.10233306884765625,11.200063323974609,-0.005755187601323066,0.00618747210092651,G1,conditional
O1,L18H18,G1:O1:conditional:L18H18,noise,20,2.297627258300781,2.297627258300781,2.42010498046875,1.301025390625,3.5706787109375,1.0,1.0,True,coherent,2.0120147323608397,2.5875609302520752,3.4310943603515627,11.200063323974609,0.20514413104991386,0.20514413104991386,G1,conditional
O1,L18H19,G1:O1:conditional:L18H19,noise,20,2.6712013244628907,2.6712013244628907,2.6678466796875,1.337158203125,3.9772491455078125,1.0,1.0,True,coherent,2.3577163124084475,2.989961853027343,2.2199722290039063,11.200063323974609,0.2384987698011471,0.2384987698011471,G1,conditional
O2,L16H1,G1:O2:conditional:L16H1,noise,20,0.9607853174209595,0.9607853174209595,0.7861747741699219,0.41375732421875,2.296032428741455,1.0,1.0,True,coherent,0.7661905771493912,1.180904608368873,0.5921309947967529,11.200063323974609,0.0857839183252048,0.0857839183252048,G1,conditional
O2,L16H21,G1:O2:conditional:L16H21,noise,20,0.9845165491104126,0.9845165491104126,0.9783000946044922,0.1307373046875,2.101715087890625,1.0,1.0,True,coherent,0.7451519012451172,1.237041658759117,0.8421982288360595,11.200063323974609,0.08790276631766698,0.08790276631766698,G1,conditional
O3,L18H18,G1:O3:conditional:L18H18,noise,20,2.5003353118896485,2.5003353118896485,2.0317630767822266,1.0512733459472656,6.4503173828125,1.0,1.0,True,coherent,2.010177979469299,3.093192853927612,2.852824401855469,11.200063323974609,0.22324296207660593,0.22324296207660593,G1,conditional
O3,L18H19,G1:O3:conditional:L18H19,noise,20,2.8444442749023438,2.8444442749023438,2.472381591796875,1.483154296875,6.3599853515625,1.0,1.0,True,coherent,2.3045935916900637,3.4842976713180542,1.9558349609375,11.200063323974609,0.25396680292097895,0.25396680292097895,G1,conditional
O3,L18H24,G1:O3:conditional:L18H24,noise,20,-0.7515342712402344,0.7515342712402344,-0.7161865234375,-1.6463394165039062,-0.09807968139648438,1.0,0.95,True,coherent,-0.9161033725738525,-0.5994370603561403,1.2787063598632813,11.200063323974609,-0.06710089483436373,0.06710089483436373,G1,conditional
O3,L19H16,G1:O3:conditional:L19H16,noise,20,-0.2309173583984375,0.2361053466796875,-0.2320556640625,-0.5539932250976562,0.0518798828125,0.95,0.8,True,coherent,-0.29949640274047856,-0.16524234771728527,0.17136383056640625,11.200063323974609,-0.020617504715722535,0.021080715336161144,G1,conditional
