mode,direction,population,background,residual_mean,residual_ma,references_mean_ma,ma_ratio,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
donor,noise,core20,intact,0.08705923557281495,0.5794843912124634,0.20342326760292054,2.848663272598733,20,0.37606112360954286,0.4298428237438202,0.14543962478637695,-0.32550621032714844,2.131222724914551,0.85,0.75,True,coherent,0.15686804145574568,0.6412089657783508,0.2298952054977417,0.6774794907867907
donor,noise,core20,weakened,0.1258443832397461,0.6282876968383789,0.182461678981781,3.443395349338609,20,0.4458260178565979,0.4956711411476135,0.3039398193359375,-0.220367431640625,2.383495330810547,0.8,0.7,True,coherent,0.19800988763570787,0.7395928543806068,0.26759751647710805,0.7749573448300359
donor,noise,additional69,intact,0.12490068656810815,0.5987219395844833,0.21866376676421234,2.738093962453743,69,0.38005817282027093,0.4431577990020531,0.31984710693359375,-0.4089469909667969,2.36236572265625,0.7391304347826086,0.7971014492753623,True,coherent,0.27155497285766883,0.4959799021050548,0.3492813329765762,0.5477449571740798
donor,noise,additional69,weakened,0.2025754780009173,0.6643168563428132,0.20110434466514035,3.3033441293820376,69,0.4632125116776729,0.498710080333378,0.41158294677734375,-0.3743133544921875,2.62469482421875,0.8405797101449275,0.8260869565217391,True,coherent,0.34631110695393186,0.5901494693712908,0.39214455500461054,0.6176405351231063
donor,noise,all89,intact,0.11639698971523328,0.5943988950065012,0.21523893549201195,2.76157700579485,89,0.37915995951448933,0.44016566973054005,0.30477142333984375,-0.4089469909667969,2.36236572265625,0.7640449438202247,0.7865168539325843,True,coherent,0.27980355553412706,0.4876724433028296,0.35312464685922257,0.537569018461731
donor,noise,all89,weakened,0.18533253535795746,0.6562204160047381,0.19691498159022813,3.3325062963990493,89,0.45930543441451,0.49802717265118374,0.363250732421875,-0.3743133544921875,2.62469482421875,0.8314606741573034,0.797752808988764,True,coherent,0.3526374122232534,0.5789520859550891,0.3996193512437049,0.6104842678549581
donor,restore,core20,intact,0.4113352298736572,0.6798349857330322,0.22477265447378159,3.024544899932794,20,0.45506233125925066,0.48977669328451157,0.41349029541015625,-0.25131842494010925,1.5279579162597656,0.9,0.7,True,coherent,0.26794341430068014,0.652846782207489,0.32055493924766776,0.670387965776026
donor,restore,core20,weakened,0.38222665786743165,0.6646241188049317,0.21750526428222655,3.0556691167830343,20,0.44711885452270506,0.49872331619262694,0.3265113830566406,-0.2337646484375,1.3973388671875,0.8,0.85,True,coherent,0.25060848355293275,0.655205305814743,0.33123732924461363,0.6836524415016173
donor,restore,additional69,intact,0.1874925364618716,0.5837090533712636,0.20375421513681827,2.864770444033811,69,0.3799548382344453,0.4203459810519564,0.294403076171875,-0.27960205078125,1.873138427734375,0.8260869565217391,0.782608695652174,True,coherent,0.2853104232230048,0.4815072753939075,0.3356877823886664,0.5129414766594983
donor,restore,additional69,weakened,0.2189471203347911,0.5964827053788779,0.19507516834183017,3.05770698776823,69,0.4014075370370478,0.4263311242279799,0.29583740234375,-0.1958770751953125,1.781646728515625,0.855072463768116,0.782608695652174,True,coherent,0.3020186943744404,0.5075814044669917,0.3333504855902731,0.5276169011234371
donor,restore,all89,intact,0.23779426531845263,0.6053103864862678,0.2084774599316415,2.9034812045616127,89,0.3968329265546263,0.4359483882952272,0.294403076171875,-0.27960205078125,1.873138427734375,0.8426966292134831,0.7640449438202247,True,coherent,0.31041118074836355,0.48760969605338705,0.35819031838955506,0.5194443198234847
donor,restore,all89,weakened,0.25563915124100245,0.611795382553272,0.20011563933967205,3.057209244475008,89,0.4116797432136,0.44259903253464217,0.29583740234375,-0.2337646484375,1.781646728515625,0.8426966292134831,0.797752808988764,True,coherent,0.32284157022080395,0.5068861374401309,0.35967538152517897,0.5312058367797833
mean,noise,core20,intact,-0.735653305053711,0.8781681060791016,0.2843846082687378,3.087959335862686,20,0.5937834978103638,0.6338694810867309,0.5956974029541016,-0.1571197509765625,1.4506077766418457,0.8,0.9,True,coherent,0.3566064339876175,0.8363378196954726,0.4178845405578613,0.8582875663042068
mean,noise,core20,weakened,-0.75650634765625,0.9031387329101562,0.28259828090667727,3.1958394439363227,20,0.620540452003479,0.6520109057426453,0.5897064208984375,-0.1559978723526001,1.4369010925292969,0.85,0.8,True,coherent,0.38507726073265075,0.8588112099468708,0.4354114349186421,0.8740914446115493
mean,noise,additional69,intact,-0.6032051556352256,0.9759359083313873,0.26582121676292975,3.6713995978799803,69,0.7101146915684575,0.7570378313893857,0.5402498245239258,-0.3168492317199707,3.9664306640625,0.8260869565217391,0.855072463768116,True,coherent,0.5263230348410813,0.9132010843010915,0.5863647732181826,0.9495385771644288
mean,noise,additional69,weakened,-0.6007319878840792,1.0011916091476663,0.26345803858577344,3.8001938165257787,69,0.7377335705618927,0.7668389367020648,0.5763320922851562,-0.24041748046875,4.2678070068359375,0.855072463768116,0.8260869565217391,True,coherent,0.5511996129068776,0.9454927597788796,0.5889880923473317,0.9691712862339571
mean,noise,all89,intact,-0.6329687847180313,0.9539656156904242,0.2699927654159203,3.5333006579670854,89,0.6839728502745039,0.729359550422497,0.59564208984375,-0.3168492317199707,3.9664306640625,0.8202247191011236,0.8651685393258427,True,coherent,0.5309023253368528,0.8484869521320536,0.5855766468168644,0.8865255213520499
mean,noise,all89,weakened,-0.635737461990185,0.9791572549369898,0.26775921663541474,3.6568573333937784,89,0.711398038301575,0.7410348848010717,0.5763320922851562,-0.24041748046875,4.2678070068359375,0.8539325842696629,0.8202247191011236,True,coherent,0.5573519955692666,0.880771741522162,0.592590642762318,0.9047995358370664
mean,restore,core20,intact,-0.3655813217163086,0.6125524520874024,0.2746022939682007,2.2306894936512687,20,0.33795015811920165,0.4333709955215454,0.27123355865478516,-0.26201629638671875,1.1349774599075317,0.7,0.9,True,coherent,0.14613260939717293,0.532121762782335,0.2881547898054123,0.5890110667049885
mean,restore,core20,weakened,-0.3854421615600586,0.6117513656616211,0.2669795274734497,2.2913793108067355,20,0.34477183818817136,0.4247551679611206,0.3248004913330078,-0.24160003662109375,1.199859619140625,0.75,0.8,True,coherent,0.15880832552909852,0.5376769798994064,0.27743681252002717,0.5861835414171218
mean,restore,additional69,intact,-0.7465881402941718,0.9433230248050414,0.24687464513640472,3.8210607828269714,69,0.6964483796686366,0.7360980838969133,0.5649261474609375,-0.221649169921875,3.0121917724609375,0.8260869565217391,0.8260869565217391,True,coherent,0.536388268030208,0.8628423874360927,0.5879781662985898,0.8929066436446226
mean,restore,additional69,weakened,-0.7461465787196505,0.9552852416384048,0.24361691094826962,3.9212599729632607,69,0.7116683306901351,0.7467251964237379,0.5750732421875,-0.34204864501953125,3.0025787353515625,0.855072463768116,0.8840579710144928,True,coherent,0.5583744544481886,0.8714999899484108,0.6041691563267639,0.8984199826916058
mean,restore,all89,intact,-0.6609686305013935,0.8689925590257966,0.25310557745815665,3.4333204655257283,89,0.61588698156764,0.6680695247114374,0.5039710998535156,-0.26201629638671875,3.0121917724609375,0.797752808988764,0.8426966292134831,True,coherent,0.48069800503468246,0.758181887094894,0.5449821946661124,0.8003510387091153
mean,restore,all89,weakened,-0.6650894063242366,0.8780866178233971,0.24886693713370334,3.5283377853911007,89,0.6292196806896938,0.6743723810388801,0.5490875244140625,-0.34204864501953125,3.0025787353515625,0.8314606741573034,0.8651685393258427,True,coherent,0.49941610374142614,0.765936538677537,0.5543425015519174,0.802293871611022
