config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False
