config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate,selected_for_extension,extension_priority
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H1,0.09452285766601562,0.09452285766601562,0.09452285766601562,0.09452285766601562,0.082305908203125,0.050142620057566305,1.0,0.0,1.0,0.35,False,False,False,False,False,False,
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H1+L16H21,0.1791830062866211,0.1791830062866211,0.1791830062866211,0.1791830062866211,0.14428138732910156,0.09232845974383132,1.0,0.0,1.0,0.85,True,True,True,False,True,True,10.0
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H21,0.07460899353027343,0.07460899353027343,0.07460899353027343,0.07460899353027343,0.05908203125,0.04489342716203272,1.0,0.0,1.0,0.25,False,False,False,False,False,False,
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False,none,L16H1,0.06151885986328125,0.06151885986328125,0.06151885986328125,0.06151885986328125,0.04799652099609375,0.03679893073374933,1.0,0.0,1.0,0.2,False,False,False,False,False,False,
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False,none,L16H1+L16H21,0.11344032287597657,0.11344032287597657,0.11344032287597657,0.11344032287597657,0.097412109375,0.06375847794478275,1.0,0.0,1.0,0.5,True,True,True,False,True,False,
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False,none,L16H21,0.04534225463867188,0.04534225463867188,0.04534225463867188,0.04534225463867188,0.04018402099609375,0.02903024397884265,1.0,0.0,1.0,0.0,False,False,False,False,False,False,
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False,none,L16H1,0.11949844360351562,0.11949844360351562,0.11949844360351562,0.11949844360351562,0.10296630859375,0.061522969171029035,1.0,0.0,1.0,0.55,True,True,True,False,True,False,
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False,none,L16H1+L16H21,0.22561368942260743,0.22561368942260743,0.22561368942260743,0.22561368942260743,0.1851806640625,0.11037497894190304,1.0,0.0,1.0,0.9,True,True,True,False,True,True,1.0
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False,none,L16H21,0.09303722381591797,0.09303722381591797,0.09303722381591797,0.09303722381591797,0.07826042175292969,0.04899013125503405,1.0,0.0,1.0,0.35,False,False,False,False,False,False,
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H1,0.08119773864746094,0.08119773864746094,0.08119773864746094,0.08119773864746094,0.06465911865234375,0.042820088595771036,1.0,0.0,1.0,0.35,False,False,False,False,False,False,
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H1+L16H21,0.14791221618652345,0.14791221618652345,0.14791221618652345,0.14791221618652345,0.13403701782226562,0.07730155288603024,1.0,0.0,1.0,0.7,True,True,True,False,True,True,14.0
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H21,0.056948280334472655,0.056948280334472655,0.056948280334472655,0.056948280334472655,0.05123138427734375,0.03365861829514527,1.0,0.0,1.0,0.15,False,False,False,False,False,False,
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H18,0.08950557708740234,0.08950557708740234,0.08950557708740234,0.08950557708740234,0.070953369140625,0.0667936355901114,1.0,0.0,1.0,0.2,False,False,False,False,False,False,
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H18+L18H19,0.15979499816894532,0.15979499816894532,0.15979499816894532,0.15979499816894532,0.1375885009765625,0.10347000556455845,1.0,0.0,1.0,0.75,True,True,True,False,True,True,11.0
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H19,0.0456939697265625,0.0456939697265625,0.0456939697265625,0.0456939697265625,0.039005279541015625,0.03492739891599445,1.0,0.0,1.0,0.05,False,False,False,False,False,False,
chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,chain,False,none,L18H18,0.12546844482421876,0.12546844482421876,0.12546844482421876,0.12546844482421876,0.12634658813476562,0.0749862900004859,1.0,0.0,1.0,0.6,True,True,True,False,True,False,
chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,chain,False,none,L18H18+L18H19,0.21608777046203614,0.21608777046203614,0.21608777046203614,0.21608777046203614,0.207427978515625,0.11938366364868139,1.0,0.0,1.0,0.85,True,True,True,False,True,True,8.0
chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,chain,False,none,L18H19,0.06824860572814942,0.06824860572814942,0.06824860572814942,0.06824860572814942,0.054962158203125,0.04910496825937669,1.0,0.0,1.0,0.15,False,False,False,False,False,False,
chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,chain,False,none,L18H18,0.12704954147338868,0.12712736129760743,0.12704954147338868,0.12712736129760743,0.12366485595703125,0.07062894897805429,0.95,0.05,0.95,0.65,True,True,True,False,True,False,
chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,chain,False,none,L18H18+L18H19,0.21040382385253906,0.21040382385253906,0.21040382385253906,0.21040382385253906,0.2063121795654297,0.12177421052008101,1.0,0.0,1.0,0.85,True,True,True,False,True,True,9.0
chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,chain,False,none,L18H19,0.05706787109375,0.05719757080078125,0.05706787109375,0.05719757080078125,0.054901123046875,0.035004053239252354,0.95,0.05,0.95,0.1,False,False,False,False,False,False,
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H18,0.8579025268554688,0.8582504272460938,0.8579025268554688,0.8582504272460938,0.85302734375,0.5464643249677154,0.95,0.05,0.95,0.9,True,True,True,False,True,True,6.0
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H18+L18H19,1.6627162933349608,1.6627162933349608,1.6627162933349608,1.6627162933349608,1.4998016357421875,1.0577233090395068,1.0,0.0,1.0,1.0,True,True,True,False,True,True,2.0
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H19,0.4212545394897461,0.4246713638305664,0.4212545394897461,0.4246713638305664,0.4486083984375,0.31192221806500997,0.9,0.1,0.9,0.8,True,True,True,False,True,True,7.0
direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,direct_comparator_chain,True,none,none,0.0,0.0,,,,,,,,,,,,False,False,False,
