config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate
local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,local,True,none,none,0.4773667335510254,0.4773667335510254,,,,,,,,,,,,False,False
local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,L8H15,query_sentence,L18H19,V,local,True,none,none,0.45197381973266604,0.45197381973266604,,,,,,,,,,,,False,False
local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L26H23,colon,residual_to_logits,bypass,local,True,none,none,-0.21027107238769532,0.21027107238769532,,,,,,,,,,,,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=none|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,V,local,True,none,none,-0.1143768310546875,0.1143768310546875,,,,,,,,,,,,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=none|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,K,local,True,none,none,0.06276187896728516,0.06913700103759765,,,,,,,,,,,,False,False
local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L20H7,colon,residual_to_logits,bypass,local,True,none,none,0.03458480834960938,0.06204147338867187,,,,,,,,,,,,False,False
local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,query_sentence,L18H18,K,local,True,none,none,0.038389396667480466,0.061975288391113284,,,,,,,,,,,,False,False
local|src=L8H15|site=query_sentence|recv=L16H1|ch=V|med=none|live=none,local|src=L8H15|site=query_sentence|recv=L16H1|ch=V|med=none|live=none,L8H15,query_sentence,L16H1,V,local,True,none,none,0.051151275634765625,0.051151275634765625,,,,,,,,,,,,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H19|ch=V|med=none|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H19|ch=V|med=none|live=none,L8H15,other_answer_fact_sentence,L18H19,V,local,True,none,none,-0.05035057067871094,0.05035057067871094,,,,,,,,,,,,False,False
local|src=L26H23|site=colon|recv=L30H18|ch=Q|med=none|live=none,local|src=L26H23|site=colon|recv=L30H18|ch=Q|med=none|live=none,L26H23,colon,L30H18,Q,local,True,none,none,-0.03687000274658203,0.03730640411376953,,,,,,,,,,,,False,False
