config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H1,0.09452285766601562,0.09452285766601562,0.09452285766601562,0.09452285766601562,0.082305908203125,0.050142620057566305,1.0,0.0,1.0,0.35,False,False,False,False,False
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False,none,L16H21,0.09303722381591797,0.09303722381591797,0.09303722381591797,0.09303722381591797,0.07826042175292969,0.04899013125503405,1.0,0.0,1.0,0.35,False,False,False,False,False
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H18,0.08950557708740234,0.08950557708740234,0.08950557708740234,0.08950557708740234,0.070953369140625,0.0667936355901114,1.0,0.0,1.0,0.2,False,False,False,False,False
local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=block21|live=none,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L20H7,colon,residual_to_logits,bypass,local,False,block21,none,0.03748971223831177,0.11055718660354615,0.0029049038887023924,0.08876608610153199,-0.017333984375,0.1345757794022389,0.45,0.55,0.45,0.3,False,False,False,False,False
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H1,0.08119773864746094,0.08119773864746094,0.08119773864746094,0.08119773864746094,0.06465911865234375,0.042820088595771036,1.0,0.0,1.0,0.35,False,False,False,False,False
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H21,0.07460899353027343,0.07460899353027343,0.07460899353027343,0.07460899353027343,0.05908203125,0.04489342716203272,1.0,0.0,1.0,0.25,False,False,False,False,False
chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,chain,False,none,L18H19,0.06824860572814942,0.06824860572814942,0.06824860572814942,0.06824860572814942,0.054962158203125,0.04910496825937669,1.0,0.0,1.0,0.15,False,False,False,False,False
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H1,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False,none,L16H1,0.06151885986328125,0.06151885986328125,0.06151885986328125,0.06151885986328125,0.04799652099609375,0.03679893073374933,1.0,0.0,1.0,0.2,False,False,False,False,False
chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,chain,False,none,L18H19,0.05706787109375,0.05719757080078125,0.05706787109375,0.05719757080078125,0.054901123046875,0.035004053239252354,0.95,0.05,0.95,0.1,False,False,False,False,False
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H21,0.056948280334472655,0.056948280334472655,0.056948280334472655,0.056948280334472655,0.05123138427734375,0.03365861829514527,1.0,0.0,1.0,0.15,False,False,False,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=MLP8|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,K,local,False,MLP8,none,0.10118045806884765,0.10469989776611328,0.0384185791015625,0.050199127197265624,0.037353515625,0.04846810220835856,0.7,0.3,0.7,0.1,False,False,False,False,False
local|src=L20H7|site=colon|recv=L27H6|ch=Q|med=MLP20+block21+block22|live=none,local|src=L20H7|site=colon|recv=L27H6|ch=Q|med=none|live=none,L20H7,colon,L27H6,Q,local,False,MLP20+block21+block22,none,-0.04484500885009766,0.07676906585693359,-0.03644008636474609,0.04796161651611328,-0.04071044921875,0.05062348872653066,0.35,0.65,0.65,0.1,False,False,False,False,False
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H19,0.0456939697265625,0.0456939697265625,0.0456939697265625,0.0456939697265625,0.039005279541015625,0.03492739891599445,1.0,0.0,1.0,0.05,False,False,False,False,False
chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_child_last,L18H19,Q,chain,False,none,L16H21,0.04534225463867188,0.04534225463867188,0.04534225463867188,0.04534225463867188,0.04018402099609375,0.02903024397884265,1.0,0.0,1.0,0.0,False,False,False,False,False
local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=MLP8|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,query_sentence,L18H18,K,local,False,MLP8,none,-0.0017556190490722657,0.057392215728759764,-0.04014501571655273,0.043538570404052734,-0.03411865234375,0.036784395276733,0.1,0.9,0.9,0.05,False,False,False,False,False
local|src=L20H7|site=colon|recv=L30H18|ch=Q|med=MLP20+block21+block22|live=none,local|src=L20H7|site=colon|recv=L30H18|ch=Q|med=none|live=none,L20H7,colon,L30H18,Q,local,False,MLP20+block21+block22,none,-0.006284523010253906,0.05055103302001953,-0.01114482879638672,0.04050579071044922,-0.0136871337890625,0.0684514097108541,0.3,0.7,0.7,0.1,False,False,False,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=MLP8+MLP9|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,V,local,False,MLP8+MLP9,none,-0.0752634048461914,0.0752634048461914,0.039113426208496095,0.039113426208496095,0.034671783447265625,0.02202747712676506,1.0,0.0,1.0,0.0,False,False,False,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=MLP9|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,V,local,False,MLP9,none,-0.07641525268554687,0.07641525268554687,0.037961578369140624,0.037961578369140624,0.029449462890625,0.022539552231244105,1.0,0.0,1.0,0.0,False,False,False,False,False
local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=MLP8+MLP9|live=none,local|src=L8H15|site=other_answer_fact_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,other_answer_fact_sentence,L18H18,K,local,False,MLP8+MLP9,none,0.06433696746826172,0.0705404281616211,0.0015750885009765624,0.03640251159667969,0.00255584716796875,0.05398921957652802,0.5,0.5,0.5,0.1,False,False,False,False,False
local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=MLP8+MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=K|med=none|live=none,L8H15,query_sentence,L18H18,K,local,False,MLP8+MLP9,none,0.02781219482421875,0.04452438354492187,-0.010577201843261719,0.03517169952392578,-0.0048675537109375,0.059778348816846884,0.45,0.55,0.55,0.05,False,False,False,False,False
local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP8|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,local,False,MLP8,none,0.44386987686157225,0.44386987686157225,-0.033496856689453125,0.033496856689453125,-0.024623870849609375,0.0274254342814077,0.0,1.0,1.0,0.05,False,False,False,False,False
local|src=L8H15|site=query_sentence|recv=L18H19|ch=K|med=MLP8|live=none,local|src=L8H15|site=query_sentence|recv=L18H19|ch=K|med=none|live=none,L8H15,query_sentence,L18H19,K,local,False,MLP8,none,-0.017206573486328126,0.036998748779296875,-0.02897186279296875,0.03272552490234375,-0.028411865234375,0.02873383210416687,0.15,0.8,0.8,0.0,False,False,False,False,False
local|src=L20H7|site=colon|recv=L27H6|ch=Q|med=block22|live=none,local|src=L20H7|site=colon|recv=L27H6|ch=Q|med=none|live=none,L20H7,colon,L27H6,Q,local,False,block22,none,-0.02556300163269043,0.05665850639343262,-0.017158079147338866,0.028250837326049806,-0.015338897705078125,0.034019699234020824,0.3,0.7,0.7,0.0,False,False,False,False,False
