config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate
slot_control|src=L13H18|site=fact2_template|recv=L16H21|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=K|med=none|live=none,L13H18,fact2_template,L16H21,K,slot_control,False,MLP13+MLP14,none,-0.0018156051635742187,0.0033590316772460936,3.35693359375e-05,0.0026580810546875,4.57763671875e-05,0.0037900933526008092,0.5,0.45,0.5,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L16H21|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H21|ch=V|med=none|live=none,L13H18,fact2_template,L16H21,V,slot_control,False,MLP13+MLP14,none,0.00048084259033203124,0.002816581726074219,0.0008762359619140625,0.0024478912353515627,0.0009765625,0.0029048961137506774,0.7,0.3,0.7,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=V|med=none|live=none,L13H18,fact2_mother,L18H19,V,slot_control,False,MLP13+MLP14,none,6.40869140625e-05,0.001929473876953125,-0.00028629302978515624,0.002282524108886719,-0.00091552734375,0.002644048703616105,0.45,0.55,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=K|med=none|live=none,L13H18,fact2_mother,L18H18,K,slot_control,False,MLP13+MLP14,none,0.0005743026733398438,0.0025018692016601563,-0.0010650634765625,0.0022369384765625,-0.001129150390625,0.002492690277804703,0.3,0.7,0.7,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L16H1|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=K|med=none|live=none,L13H18,fact2_template,L16H1,K,slot_control,False,MLP13+MLP14,none,-0.0003936767578125,0.002054595947265625,-0.00030345916748046874,0.002187156677246094,-0.00060272216796875,0.0028194304651656776,0.3,0.7,0.7,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L16H1|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L16H1|ch=V|med=none|live=none,L13H18,fact2_template,L16H1,V,slot_control,False,MLP13+MLP14,none,0.00036373138427734373,0.002240562438964844,-0.0001697540283203125,0.0021839141845703125,-0.000659942626953125,0.0027074297318034858,0.45,0.55,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L18H19|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=K|med=none|live=none,L13H18,fact2_template,L18H19,K,slot_control,False,MLP13+MLP14,none,0.000804901123046875,0.0028533935546875,2.536773681640625e-05,0.0021600723266601562,0.0001087188720703125,0.0027970671961860837,0.55,0.45,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact2_mother,L16H21,V,slot_control,False,MLP13+MLP14,none,0.0006549835205078125,0.0025959014892578125,0.000685882568359375,0.002146148681640625,0.000152587890625,0.002828709637079652,0.5,0.45,0.5,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H18|ch=V|med=none|live=none,L13H18,fact2_mother,L18H18,V,slot_control,False,MLP13+MLP14,none,0.0001430511474609375,0.0018482208251953125,0.0007402420043945313,0.0021448135375976562,0.00042724609375,0.0026663076448195555,0.55,0.45,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L18H19|ch=K|med=none|live=none,L13H18,fact2_mother,L18H19,K,slot_control,False,MLP13+MLP14,none,-9.6893310546875e-05,0.003212738037109375,-0.0005290985107421875,0.0018993377685546874,-0.00030517578125,0.002527791989845879,0.3,0.7,0.7,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact2_mother,L16H1,V,slot_control,False,MLP13+MLP14,none,-8.029937744140625e-05,0.002756690979003906,0.0003543853759765625,0.0018665313720703125,7.62939453125e-06,0.002365022246325214,0.5,0.5,0.5,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact2_mother,L16H21,K,slot_control,False,MLP13+MLP14,none,-0.0009490966796875,0.003739166259765625,0.0005992889404296875,0.0018169403076171875,0.000457763671875,0.0024080793505391624,0.55,0.4,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact2_mother,L16H1,K,slot_control,False,MLP13+MLP14,none,-0.0002635955810546875,0.0020496368408203123,-0.0006826400756835937,0.0016893386840820313,-0.000579833984375,0.0022237453278114465,0.4,0.6,0.6,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L18H18|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=V|med=none|live=none,L13H18,fact2_template,L18H18,V,slot_control,False,MLP13+MLP14,none,0.00041637420654296877,0.0014219284057617188,-0.0001556396484375,0.00168609619140625,-0.000244140625,0.002218916947433735,0.45,0.55,0.55,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L18H19|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H19|ch=V|med=none|live=none,L13H18,fact2_template,L18H19,V,slot_control,False,MLP13+MLP14,none,-0.000165557861328125,0.001944732666015625,-0.000614166259765625,0.001546478271484375,-0.000640869140625,0.0019972354787235825,0.4,0.6,0.6,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact2_template|recv=L18H18|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact2_template|recv=L18H18|ch=K|med=none|live=none,L13H18,fact2_template,L18H18,K,slot_control,False,MLP13+MLP14,none,0.00047664642333984376,0.0015310287475585938,0.0005193710327148438,0.0013650894165039063,0.0008392333984375,0.0016220817067172405,0.65,0.35,0.65,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=K|med=none|live=none,L13H18,fact0_mother,L16H1,K,slot_control,False,MLP13+MLP14,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H1|ch=V|med=none|live=none,L13H18,fact0_mother,L16H1,V,slot_control,False,MLP13+MLP14,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=K|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=K|med=none|live=none,L13H18,fact0_mother,L16H21,K,slot_control,False,MLP13+MLP14,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
slot_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=V|med=MLP13+MLP14|live=none,direct_l13_control|src=L13H18|site=fact0_mother|recv=L16H21|ch=V|med=none|live=none,L13H18,fact0_mother,L16H21,V,slot_control,False,MLP13+MLP14,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,False
