extension_priority,config_id,source,screen20_mean_signed,rerun20_mean_signed,abs_diff_mean_signed,screen20_mean_abs,rerun20_mean_abs,abs_diff_mean_abs,screen20_sign_agreement,rerun20_sign_agreement,abs_diff_sign_agreement,screen20_active_fraction,rerun20_active_fraction,abs_diff_active_fraction,screen20_retained,rerun20_retained
1,chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,L15H25,0.2256136894226074,0.22561368942260743,2.7755575615628914e-17,0.2256136894226074,0.22561368942260743,2.7755575615628914e-17,1.0,1.0,0.0,0.9,0.9,0.0,True,True
2,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18+L18H19,L17H1,1.6627162933349608,1.6627162933349608,0.0,1.6627162933349608,1.6627162933349608,0.0,1.0,1.0,0.0,1.0,1.0,0.0,True,True
3,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=MLP20+block21+block22|live=none,L20H7,-0.1019377589225769,-0.10193775892257691,1.3877787807814457e-17,0.1475935816764831,0.14759358167648315,5.551115123125783e-17,0.85,0.85,0.0,0.6,0.6,0.0,True,True
4,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=MLP26+block27+block28|live=none,L26H23,-0.2489046096801757,-0.24890460968017578,8.326672684688674e-17,0.2489046096801757,0.24890460968017578,8.326672684688674e-17,1.0,1.0,0.0,0.8,0.8,0.0,True,True
5,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP8+MLP9|live=none,L8H15,-0.1731982231140136,-0.17319822311401367,8.326672684688674e-17,0.1731982231140136,0.17319822311401367,8.326672684688674e-17,1.0,1.0,0.0,0.8,0.8,0.0,True,True
6,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18,L17H1,0.8579025268554688,0.8579025268554688,0.0,0.8582504272460938,0.8582504272460938,0.0,0.95,0.95,0.0,0.9,0.9,0.0,True,True
7,chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H19,L17H1,0.4212545394897461,0.4212545394897461,0.0,0.4246713638305664,0.4246713638305664,0.0,0.9,0.9,0.0,0.8,0.8,0.0,True,True
8,chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H18+L18H19,L17H1,0.2160877704620361,0.21608777046203614,5.551115123125783e-17,0.2160877704620361,0.21608777046203614,5.551115123125783e-17,1.0,1.0,0.0,0.85,0.85,0.0,True,True
9,chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H18+L18H19,L17H1,0.210403823852539,0.21040382385253906,5.551115123125783e-17,0.210403823852539,0.21040382385253906,5.551115123125783e-17,1.0,1.0,0.0,0.85,0.85,0.0,True,True
10,chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,L15H25,0.1791830062866211,0.1791830062866211,0.0,0.1791830062866211,0.1791830062866211,0.0,1.0,1.0,0.0,0.85,0.85,0.0,True,True
11,chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H18+L18H19,L17H1,0.1597949981689453,0.15979499816894532,2.7755575615628914e-17,0.1597949981689453,0.15979499816894532,2.7755575615628914e-17,1.0,1.0,0.0,0.75,0.75,0.0,True,True
12,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP9|live=none,L8H15,-0.1530373573303222,-0.15303735733032225,5.551115123125783e-17,0.1530373573303222,0.15303735733032225,5.551115123125783e-17,1.0,1.0,0.0,0.7,0.7,0.0,True,True
13,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=MLP9|live=none,L8H15,-0.1511452674865722,-0.15114526748657225,5.551115123125783e-17,0.1511452674865722,0.15114526748657225,5.551115123125783e-17,1.0,1.0,0.0,0.7,0.7,0.0,True,True
14,chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1+L16H21,L15H25,0.1479122161865234,0.14791221618652345,5.551115123125783e-17,0.1479122161865234,0.14791221618652345,5.551115123125783e-17,1.0,1.0,0.0,0.7,0.7,0.0,True,True
15,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=block27|live=none,L26H23,-0.1289807319641113,-0.12898073196411133,2.7755575615628914e-17,0.1442646980285644,0.14426469802856445,5.551115123125783e-17,0.9,0.9,0.0,0.6,0.6,0.0,True,True
16,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=MLP8+MLP9|live=none,L8H15,-0.1381016731262207,-0.1381016731262207,0.0,0.1381016731262207,0.1381016731262207,0.0,1.0,1.0,0.0,0.6,0.6,0.0,True,True
