config_id,comparator_config_id,source,site,receiver,channel,registry_section,is_direct_comparator,mediators,live_heads,raw_mean_signed,raw_mean_abs,increment_mean_signed,increment_mean_abs,increment_median,increment_std,positive_fraction,negative_fraction,sign_agreement,active_fraction,coherent,heterogeneous,retained,is_slot_control,extension_candidate,selected_for_extension,extension_priority
chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_sentence,L18H18,Q,chain,False,none,L16H1+L16H21,0.2256136894226074,0.2256136894226074,0.2256136894226074,0.2256136894226074,0.1851806640625,0.110374978941903,1.0,0.0,1.0,0.9,True,True,True,False,True,True,1.0
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H18+L18H19,1.6627162933349608,1.6627162933349608,1.6627162933349608,1.6627162933349608,1.4998016357421875,1.0577233090395068,1.0,0.0,1.0,1.0,True,True,True,False,True,True,2.0
local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=MLP20+block21+block22|live=none,local|src=L20H7|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L20H7,colon,residual_to_logits,bypass,local,False,MLP20+block21+block22,none,-0.0673529505729675,0.1595892786979675,-0.1019377589225769,0.1475935816764831,-0.1018036603927612,0.1730664861598802,0.15,0.85,0.85,0.6,True,True,True,False,True,True,3.0
local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=MLP26+block27+block28|live=none,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L26H23,colon,residual_to_logits,bypass,local,False,MLP26+block27+block28,none,-0.459175682067871,0.459175682067871,-0.2489046096801757,0.2489046096801757,-0.1627426147460937,0.2116738241694692,0.0,1.0,1.0,0.8,True,True,True,False,True,True,4.0
local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP8+MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,local,False,MLP8+MLP9,none,0.3041685104370117,0.3041685104370117,-0.1731982231140136,0.1731982231140136,-0.1698369979858398,0.0777549311330513,0.0,1.0,1.0,0.8,True,True,True,False,True,True,5.0
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H18,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H18,0.8579025268554688,0.8582504272460938,0.8579025268554688,0.8582504272460938,0.85302734375,0.5464643249677154,0.95,0.05,0.95,0.9,True,True,True,False,True,True,6.0
chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L27H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L27H6,Q,chain,False,none,L18H19,0.4212545394897461,0.4246713638305664,0.4212545394897461,0.4246713638305664,0.4486083984375,0.3119222180650099,0.9,0.1,0.9,0.8,True,True,True,False,True,True,7.0
chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H6|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H6,Q,chain,False,none,L18H18+L18H19,0.2160877704620361,0.2160877704620361,0.2160877704620361,0.2160877704620361,0.207427978515625,0.1193836636486813,1.0,0.0,1.0,0.85,True,True,True,False,True,True,8.0
chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L22H5|ch=Q|med=none|live=none,L17H1,query_writer_union,L22H5,Q,chain,False,none,L18H18+L18H19,0.210403823852539,0.210403823852539,0.210403823852539,0.210403823852539,0.2063121795654297,0.121774210520081,1.0,0.0,1.0,0.85,True,True,True,False,True,True,9.0
chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_child_last|recv=L18H18|ch=Q|med=none|live=none,L15H25,query_child_last,L18H18,Q,chain,False,none,L16H1+L16H21,0.1791830062866211,0.1791830062866211,0.1791830062866211,0.1791830062866211,0.1442813873291015,0.0923284597438313,1.0,0.0,1.0,0.85,True,True,True,False,True,True,10.0
chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=L18H18+L18H19,direct_chain|src=L17H1|site=query_writer_union|recv=L21H18|ch=Q|med=none|live=none,L17H1,query_writer_union,L21H18,Q,chain,False,none,L18H18+L18H19,0.1597949981689453,0.1597949981689453,0.1597949981689453,0.1597949981689453,0.1375885009765625,0.1034700055645584,1.0,0.0,1.0,0.75,True,True,True,False,True,True,11.0
local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H18|ch=V|med=none|live=none,L8H15,query_sentence,L18H18,V,local,False,MLP9,none,0.3243293762207031,0.3243293762207031,-0.1530373573303222,0.1530373573303222,-0.1315383911132812,0.074641386186801,0.0,1.0,1.0,0.7,True,True,True,False,True,True,12.0
local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,L8H15,query_sentence,L18H19,V,local,False,MLP9,none,0.3008285522460937,0.3008285522460937,-0.1511452674865722,0.1511452674865722,-0.1344757080078125,0.0788468943560409,0.0,1.0,1.0,0.7,True,True,True,False,True,True,13.0
chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=L16H1+L16H21,direct_chain|src=L15H25|site=query_sentence|recv=L18H19|ch=Q|med=none|live=none,L15H25,query_sentence,L18H19,Q,chain,False,none,L16H1+L16H21,0.1479122161865234,0.1479122161865234,0.1479122161865234,0.1479122161865234,0.1340370178222656,0.0773015528860302,1.0,0.0,1.0,0.7,True,True,True,False,True,True,14.0
local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=block27|live=none,local|src=L26H23|site=colon|recv=residual_to_logits|ch=bypass|med=none|live=none,L26H23,colon,residual_to_logits,bypass,local,False,block27,none,-0.3392518043518066,0.3392518043518066,-0.1289807319641113,0.1442646980285644,-0.1213808059692382,0.1867012270414035,0.1,0.9,0.9,0.6,True,True,True,False,True,True,15.0
local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=MLP8+MLP9|live=none,local|src=L8H15|site=query_sentence|recv=L18H19|ch=V|med=none|live=none,L8H15,query_sentence,L18H19,V,local,False,MLP8+MLP9,none,0.3138721466064453,0.3138721466064453,-0.1381016731262207,0.1381016731262207,-0.124908447265625,0.0686196581765818,0.0,1.0,1.0,0.6,True,True,True,False,True,True,16.0
