config_id,parent,control_type,parent_mean,parent_ma,control_ma,signed_difference,absolute_difference,parent_larger_fraction,control_mean,control_mean_absolute,control_median,control_minimum,control_maximum,control_sign_fraction,control_above_tau_fraction,control_retained,control_classification
505:query_is_token:head:513:V,505:query_child_last:head:513:V,other_site,0.18114891052246093,0.18114891052246093,0.001721954345703125,0.1807544708251953,0.1794269561767578,1.0,0.000394439697265625,0.001721954345703125,0.000274658203125,-0.00372314453125,0.0048828125,0.5,0.0,False,below_rule
505:query_is_token:head:533:V,505:query_child_last:head:533:V,other_site,0.19176244735717773,0.19176244735717773,0.0024749755859375,0.19061574935913086,0.18928747177124022,1.0,0.001146697998046875,0.0024749755859375,0.001094818115234375,-0.00604248046875,0.0069580078125,0.65,0.0,False,below_rule
513:colon:head:579:Q,513:colon:head:594:Q,random_receiver,0.38652992248535156,0.38652992248535156,0.002219581604003905,0.3874517440795898,0.38431034088134763,1.0,-0.0009218215942382801,0.002219581604003905,-0.00102996826171875,-0.006103515625,0.003448486328125,0.6,0.0,False,below_rule
513:colon:head:604:Q,513:colon:head:594:Q,random_receiver,0.38652992248535156,0.38652992248535156,0.0016160964965820299,0.38609676361083983,0.38491382598876955,1.0,0.00043315887451172,0.0016160964965820299,-0.00031280517578125,-0.0026893615722656,0.006103515625,0.45,0.0,False,below_rule
533:colon:head:578:Q,533:colon:head:594:Q,random_receiver,0.3539587020874023,0.3539587020874023,0.0019704818725585923,0.35456199645996095,0.35198822021484377,1.0,-0.0006032943725585926,0.0019704818725585923,-0.000164031982421875,-0.00640869140625,0.00308990478515625,0.5,0.0,False,below_rule
533:colon:head:586:Q,533:colon:head:594:Q,random_receiver,0.3539587020874023,0.3539587020874023,0.003939247131347655,0.3554058074951172,0.3500194549560547,1.0,-0.001447105407714845,0.003939247131347655,-0.00030517578125,-0.01666259765625,0.00726318359375,0.55,0.0,False,below_rule
545:other_is_token:head:594:V,545:query_is_token:head:594:V,other_site,0.9597070217132568,0.9597070217132568,0.17153291702270507,1.131239938735962,0.7881741046905517,1.0,-0.17153291702270507,0.17153291702270507,-0.16009521484375,-0.3933258056640625,-0.053680419921875,1.0,0.85,True,coherent
545:other_is_token:head:595:V,545:query_is_token:head:595:V,other_site,0.914797019958496,0.914797019958496,0.0682107925415039,0.9830078125,0.8465862274169922,1.0,-0.0682107925415039,0.0682107925415039,-0.0595550537109375,-0.1985015869140625,-0.009002685546875,1.0,0.25,False,below_rule
545:other_is_token:head:600:V,545:query_is_token:head:600:V,other_site,-0.3251034736633301,0.3251034736633301,0.19069957733154297,-0.515803050994873,0.13440389633178712,0.95,0.19069957733154297,0.19069957733154297,0.1819305419921875,0.0768585205078125,0.4420166015625,1.0,0.95,True,coherent
545:other_mother:head:594:V,545:query_mother:head:594:V,other_site,1.210488986968994,1.210488986968994,0.21924171447753907,1.4297307014465332,0.9912472724914551,1.0,-0.21924171447753907,0.21924171447753907,-0.20969390869140625,-0.5565948486328125,-0.0663604736328125,1.0,0.7,True,coherent
