head,retained_core_outgoing,retained_core_incoming,extended_outgoing,extended_incoming,membership
L1H27,0,0,0,0,not yet established; S4.2 pending
L6H24,0,0,0,0,not yet established; S4.2 pending
L8H8,0,0,0,0,not yet established; S4.2 pending
L8H15,0,0,0,0,not yet established; S4.2 pending
L9H6,0,0,0,0,not yet established; S4.2 pending
L9H17,0,0,0,0,not yet established; S4.2 pending
L11H4,0,0,0,0,not yet established; S4.2 pending
L11H7,0,0,0,0,not yet established; S4.2 pending
L12H2,0,0,0,0,not yet established; S4.2 pending
L14H23,0,0,0,0,not yet established; S4.2 pending
L15H3,0,0,0,0,not yet established; S4.2 pending
L16H1,5,6,5,6,not yet established; S4.2 pending
L16H4,0,0,0,0,not yet established; S4.2 pending
L16H16,0,0,0,0,not yet established; S4.2 pending
L16H21,5,2,5,2,not yet established; S4.2 pending
L16H24,0,0,0,0,not yet established; S4.2 pending
L16H31,0,0,0,0,not yet established; S4.2 pending
L17H5,0,0,0,0,not yet established; S4.2 pending
L17H24,4,0,3,0,not yet established; S4.2 pending
L18H19,14,13,12,10,not yet established; S4.2 pending
L19H16,5,5,5,4,not yet established; S4.2 pending
L20H7,0,0,0,0,not yet established; S4.2 pending
L21H25,0,0,0,0,not yet established; S4.2 pending
L22H5,0,7,0,6,not yet established; S4.2 pending
L23H10,0,0,0,0,not yet established; S4.2 pending
L23H15,2,2,2,2,not yet established; S4.2 pending
L25H18,0,0,0,0,not yet established; S4.2 pending
L26H23,0,0,0,0,not yet established; S4.2 pending
L26H31,0,0,0,0,not yet established; S4.2 pending
L27H23,0,0,0,0,not yet established; S4.2 pending
L30H3,0,0,0,0,not yet established; S4.2 pending
