config_id,direction,population,n,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,source,site,kind,receiver,channel,panel,control_of,mean_restore,retained_restore,mean_additional69,retained_additional69,I_over_full_gap,J_over_full_gap
426:query_sentence:head:513:KV,noise,all89,89,-0.1951945819211809,0.2003157058458649,-0.1466064453125,-0.927642822265625,0.133056640625,0.9438202247191012,0.6853932584269663,True,coherent,-0.2314233159751035,-0.1616171030516035,426,query_sentence,head,513,KV,P4,,-0.1778975443893604,True,-0.1853845499563908,True,-0.017474178292431457,-0.01592571565178317
426:query_sentence:head:513:V,noise,all89,89,-0.174612106901876,0.174612106901876,-0.141204833984375,-0.555389404296875,-0.0006866455078125,1.0,0.6853932584269663,True,coherent,-0.198431192154295,-0.1522224699513296,426,query_sentence,head,513,V,P4,,-0.1749725904357567,True,-0.171539192614348,True,-0.01563159723999179,-0.015663868389531484
426:query_sentence:head:547:KV,noise,all89,89,0.2340028473500455,0.2340028473500455,0.1861572265625,0.0023193359375,0.8182373046875,1.0,0.7752808988764045,True,coherent,0.2002374415986993,0.2711034174715535,426,query_sentence,head,547,KV,P4,,0.2056584733255793,True,0.2352214412412781,True,0.020948365652805098,0.01841092511313436
426:query_sentence:head:547:V,noise,all89,89,0.1500875869493806,0.1500875869493806,0.1290740966796875,0.0087432861328125,0.465576171875,1.0,0.6404494382022472,True,coherent,0.1327183685945661,0.1691422795981502,426,query_sentence,head,547,V,P4,,0.1394997821764999,True,0.1511859548264655,True,0.013436117068522465,0.012488277294970337
426:query_sentence:head:594:K,noise,all89,89,-0.1068972389349776,0.1357210700431566,-0.102783203125,-0.5678863525390625,0.18560791015625,0.7640449438202247,0.5393258426966292,True,coherent,-0.1373889928453424,-0.0778576976797554,426,query_sentence,head,594,K,P4,,-0.0736203568705012,True,-0.1010256401006726,True,-0.009569637608449167,-0.006590629869158134
426:query_sentence:head:595:V,noise,all89,89,-0.1164127039105704,0.1164127039105704,-0.100830078125,-0.3968887329101562,-0.009033203125,1.0,0.5056179775280899,True,coherent,-0.1329387496026714,-0.1012909665536345,426,query_sentence,head,595,V,P4,,-0.103087184134494,True,-0.1177195880724036,True,-0.010421479549359375,-0.009228554489070019
426:query_sentence:mlp:14:,noise,all89,89,0.1842255270882938,0.1845697928010747,0.16552734375,-0.01531982421875,0.6236572265625,0.9887640449438202,0.6966292134831461,True,coherent,0.1574034775241037,0.2129225465688812,426,query_sentence,mlp,14,,P4,,0.1719250303975651,True,0.1850573429162951,True,0.016492208311693343,0.015391045204891285
474:query_sentence:head:513:KV,noise,all89,89,0.1483084110731489,0.1497773695527837,0.13641357421875,-0.06536865234375,0.48834228515625,0.9887640449438202,0.6853932584269663,True,coherent,0.1288466685273674,0.1691336659902937,474,query_sentence,head,513,KV,P4,,0.1395483445585443,True,0.1502344020898791,True,0.013276841968932767,0.012492624688805748
474:query_sentence:head:513:V,noise,all89,89,0.1360233017567838,0.1360233017567838,0.1212882995605468,0.001922607421875,0.4090576171875,1.0,0.6292134831460674,True,coherent,0.1198913925149467,0.1534311235620734,474,query_sentence,head,513,V,P4,,0.1396613281764341,True,0.1393599371979202,True,0.012177056368209182,0.012502739190262182
505:query_child_last:head:513:KV,noise,all89,89,0.1845618097969655,0.1845618097969655,0.162353515625,0.01953125,0.51690673828125,1.0,0.7528089887640449,True,coherent,0.1622464185350396,0.207768251119035,505,query_child_last,head,513,KV,P2,,0.1810939445924223,True,0.1771140513212784,True,0.016522312958810872,0.016211863281971092
