source,site,population,mode,direction,source_mean,blocked_residual_mean,ratio,ratio_ci_low,ratio_ci_high,bootstrap_denominator_min_abs,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
L13H10,query_sentence,core20,donor,noise,-0.5907781839370727,0.07476787567138672,1.1265582882108436,1.0149142842799272,1.315151222491443,0.25268898010253904,20,-0.6655460596084595,0.6655460596084595,-0.5087072849273682,-1.6493988037109375,-0.177398681640625,1.0,1.0,True,coherent,-0.8443546622991562,-0.502541060447693,0.5025410604476929,0.8443546622991558
L13H10,query_sentence,core20,donor,restore,-0.3303884983062744,0.09866266250610352,1.2986262022191883,1.1070742457279863,1.8974674180776754,0.001258707046508789,20,-0.42905116081237793,0.47606654167175294,-0.351593017578125,-1.680877685546875,0.437164306640625,0.9,0.95,True,coherent,-0.6264199733734132,-0.252573544979096,0.3277022457122803,0.6552329671382888
L15H25,query_child_last,core20,donor,noise,0.42902963161468505,0.0025390863418579103,0.9940817925971643,0.96516568437994,1.0204797010119324,0.25899925231933596,20,0.42649054527282715,0.42649054527282715,0.3263053894042969,0.175262451171875,0.89276123046875,1.0,1.0,True,coherent,0.3302092832326889,0.5306173127889632,0.3302092832326889,0.5306173127889632
L15H25,query_child_last,core20,donor,restore,0.45728087425231934,0.01511211395263672,0.9669522282615779,0.9308005324907193,1.0015080461598638,0.22577056884765626,20,0.4421687602996826,0.4452968120574951,0.412109375,-0.0233154296875,1.1904144287109375,0.9,0.9,True,coherent,0.31782110333442687,0.5785200870037078,0.32340676069259644,0.5801616728305816
L15H25,query_sentence,core20,donor,noise,0.4726902484893799,0.018500232696533205,0.9608618270513172,0.9049587529543021,1.0198169943591742,0.2786385536193848,20,0.4541900157928467,0.4541900157928467,0.38468170166015625,0.196868896484375,0.87493896484375,1.0,1.0,True,coherent,0.3601100170612335,0.5568770873546597,0.3601100170612335,0.5568770873546597
L15H25,query_sentence,core20,donor,restore,0.45131165981292726,0.009742927551269532,0.9784119746533735,0.8932556339770052,1.0892162650393011,0.1614288330078125,20,0.4415687322616577,0.461663031578064,0.446929931640625,-0.1031494140625,1.0828628540039062,0.9,0.95,True,coherent,0.31215778946876527,0.5748369503021239,0.34943696081638337,0.5842917752265929
L17H1,query_writer_union,core20,donor,noise,5.697087287902832,0.6798408508300782,0.8806686967437468,0.8560802707590265,0.9040797829984366,4.498939895629883,20,5.017246437072754,5.017246437072754,4.712368011474609,2.56317138671875,6.8335723876953125,1.0,1.0,True,coherent,4.469584221839905,5.526516542434691,4.469584221839905,5.526516542434691
L17H1,query_writer_union,additional69,donor,noise,5.654080038485319,0.6874532215837119,0.8784146639410016,0.8555795616683621,0.8962467358038386,4.890706905420275,69,4.9666268169016075,4.9666268169016075,4.82525634765625,0.558319091796875,8.3363037109375,1.0,1.0,True,coherent,4.589085482168889,5.34806975627291,4.589085482168889,5.34806975627291
L17H1,query_writer_union,all89,donor,noise,5.663744588916221,0.6857425764705358,0.8789241700954323,0.860678115062369,0.8939964192277015,4.978636945231577,89,4.978002012445685,4.978002012445685,4.749443054199219,0.558319091796875,8.3363037109375,1.0,1.0,True,coherent,4.666299336144093,5.29205353822601,4.666299336144093,5.29205353822601
L17H1,query_writer_union,core20,donor,restore,5.456295585632324,0.5942962646484375,0.891080632395841,0.8689227484547856,0.9091419806560187,4.473958587646484,20,4.8619993209838865,4.8619993209838865,4.939567565917969,2.845733642578125,6.89080810546875,1.0,1.0,True,coherent,4.383451111316681,5.343513145446778,4.383451111316681,5.343513145446778
