id,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,descriptive_ci_low,descriptive_ci_high,mean_absolute_order_difference
G1:I1:conditional:L18H18,noise,69,3.6894057453542515,3.6894057453542515,3.59881591796875,0.109619140625,7.243415832519531,1.0,1.0,True,coherent,3.31615439152372,4.069110393524169,4.5177449765412705
G1:I1:conditional:L18H18,restore,69,3.5822177140609077,3.5822177140609077,3.5093393325805664,0.2742919921875,7.15765380859375,1.0,1.0,True,coherent,3.2466365136962003,3.9238881162975146,4.34140780352164
G1:I1:conditional:L18H19,noise,69,4.321222388226053,4.321222388226053,4.3084564208984375,0.148681640625,7.803535461425781,1.0,1.0,True,coherent,3.9476164168205816,4.697634683139081,2.373998890752378
G1:I1:conditional:L18H19,restore,69,4.13068687743035,4.13068687743035,4.10418701171875,0.3946533203125,7.36260986328125,1.0,1.0,True,coherent,3.800032545863718,4.45896804522777,2.1465495427449546
G1:I1:whole,noise,69,5.310402213663295,5.310402213663295,5.315185546875,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.890594623399817,5.73006737180378,7.514643503272015
G1:I1:whole,restore,69,5.30429338372272,5.30429338372272,5.300834655761719,0.52880859375,8.60528564453125,1.0,1.0,True,coherent,4.904622824295708,5.70084761985834,7.614037306412406
G1:I2:conditional:L18H18,noise,69,3.52177065351735,3.52177065351735,3.39385986328125,0.12548828125,7.3143310546875,1.0,1.0,True,coherent,3.1789690892765488,3.870202612358591,4.654871643453404
G1:I2:conditional:L18H18,restore,69,3.4542043381843013,3.4542043381843013,3.457275390625,0.2940673828125,6.20013427734375,1.0,1.0,True,coherent,3.1506097662276114,3.757779769275499,4.504312432330588
G1:I2:conditional:L18H19,noise,69,4.230937100838924,4.230937100838924,4.206787109375,0.1640625,8.15460205078125,1.0,1.0,True,coherent,3.8795486982317935,4.588242687695268,2.4719492041546367
G1:I2:conditional:L18H19,restore,69,4.101675379103509,4.101675379103509,4.243147850036621,0.4276123046875,6.883453369140625,1.0,1.0,True,coherent,3.781519849404045,4.415143992935402,2.224236115165379
G1:I2:whole,noise,69,5.4320252114448,5.4320252114448,5.3272705078125,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,4.999225559787473,5.868234818741895,6.512346613234368
G1:I2:whole,restore,69,5.453406361566073,5.453406361566073,5.49163818359375,0.549560546875,9.205078125,1.0,1.0,True,coherent,5.038371551209602,5.868258480749265,6.603513828222303
G1:I3:conditional:L18H18,noise,69,3.2253017010896103,3.2253017010896103,3.1588134765625,0.115478515625,6.49798583984375,1.0,1.0,True,coherent,2.909428159741388,3.546352407206659,4.0975798178410185
G1:I3:conditional:L18H18,restore,69,3.100990488909293,3.100990488909293,2.98681640625,0.2625732421875,6.30364990234375,1.0,1.0,True,coherent,2.814577991375025,3.3928742001022116,3.8502056287682573
G1:I3:conditional:L18H19,noise,69,3.786668998607691,3.786668998607691,3.780919075012207,0.155517578125,6.9129486083984375,1.0,1.0,True,coherent,3.4692889158276543,4.104725676688595,2.1443946396095166
G1:I3:conditional:L18H19,restore,69,3.6044300742771314,3.6044300742771314,3.53363037109375,0.383056640625,6.681388854980469,1.0,1.0,True,coherent,3.318506802683291,3.8898181030715717,1.8620890188908232
G1:I3:whole,noise,69,5.5358854722285615,5.5358854722285615,5.57366943359375,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.1128697238106655,5.9599644787069685,7.287642340729202
G1:I3:whole,restore,69,5.523140230040619,5.523140230040619,5.6427459716796875,0.564697265625,9.010833740234375,1.0,1.0,True,coherent,5.104343119220458,5.941959791598112,7.329190240390059
G1:O1:whole,noise,69,5.735091409821441,5.735091409821441,5.53253173828125,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.308967906323032,6.156396158363507,5.334457217783168
G1:O1:whole,restore,69,5.732361790062725,5.732361790062725,5.7694091796875,0.868408203125,10.0096435546875,1.0,1.0,True,coherent,5.299606696419094,6.164940384591835,5.4031460319740185
G1:O3:conditional:L18H19,noise,69,2.9427974586901455,2.9427974586901455,2.6180572509765625,0.1700439453125,6.843505859375,1.0,1.0,True,coherent,2.610603746815004,3.2922413480454593,1.9756151385929273
G1:O3:conditional:L18H19,restore,69,2.8656915028889975,2.8656915028889975,2.492919921875,0.4105224609375,7.4962158203125,1.0,1.0,True,coherent,2.545329442231551,3.2105615802433176,1.8337966808374377
G1:O3:whole,noise,69,6.495489339897598,6.495489339897598,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.043708847052809,6.92543822950211,6.11150586432305
G1:O3:whole,restore,69,6.547562087791554,6.547562087791554,6.69384765625,0.275390625,9.667144775390625,1.0,1.0,True,coherent,6.099684136846792,6.9730645490729275,6.297095257302989
G1:O4:conditional:L18H19,noise,69,2.915164297905521,2.915164297905521,2.9248046875,0.164306640625,5.9058837890625,1.0,1.0,True,coherent,2.688965522379115,3.144619051269863,2.1587737539540166
G1:O4:conditional:L18H19,restore,69,2.7811057878577192,2.7811057878577192,2.76580810546875,0.37744140625,4.76141357421875,1.0,1.0,True,coherent,2.5712890300197877,2.9867195910301763,1.9475751683331919
G1:O4:whole,noise,69,5.625531977501469,5.625531977501469,5.41278076171875,0.413330078125,9.85308837890625,1.0,1.0,True,coherent,5.20166281738143,6.045255706275718,5.498983894569286
G1:O4:whole,restore,69,5.624447504679362,5.624447504679362,5.7225341796875,0.59619140625,9.65521240234375,1.0,1.0,True,coherent,5.201246712173241,6.045459484708481,5.535830566848534
G2:L14H23:change,noise,69,-0.0033918446388797483,0.03898088310075843,-0.001861572265625,-0.13702392578125,0.15566253662109375,0.5072463768115942,0.10144927536231885,False,below_rule,-0.01613706704499065,0.00935905964478201,0.06255398971447046
G2:L14H23:change,restore,69,0.0021298035331394362,0.03439644799716231,-0.000244140625,-0.1071014404296875,0.11579132080078125,0.4927536231884058,0.028985507246376812,False,below_rule,-0.008361865126568339,0.012626527012258335,0.07177350141000056
G2:L14H23:conditional,noise,69,-0.21755609477775684,0.2470667344936426,-0.196075439453125,-0.9703369140625,0.25396728515625,0.8695652173913043,0.782608695652174,True,coherent,-0.27651780623456707,-0.16332597555457687,0.3170396245044211
G2:L14H23:conditional,restore,69,-0.20265519791755124,0.24686120904010275,-0.20703125,-0.80023193359375,0.381591796875,0.8115942028985508,0.7536231884057971,True,coherent,-0.25535330357758895,-0.15003879346709323,0.32989587645599805
G2:L15H3:change,noise,69,0.0009166382361149442,0.013941973879717398,0.00146484375,-0.06290435791015625,0.0428924560546875,0.6086956521739131,0.0,False,below_rule,-0.003623919988024062,0.0052761025186898024,0.02545223719831826
G2:L15H3:change,restore,69,0.005143649336220562,0.015161431354025135,0.00506591796875,-0.0493927001953125,0.0698089599609375,0.5942028985507246,0.0,False,below_rule,0.0004650126332822054,0.009845600784688756,0.025240663169086842
G2:L15H3:conditional,noise,69,-0.1036181294399759,0.11552572423133298,-0.09142208099365234,-0.491668701171875,0.12918055057525635,0.8405797101449275,0.463768115942029,True,coherent,-0.1310799092054367,-0.07775622299615892,0.12100209706071494
G2:L15H3:conditional,restore,69,-0.09094218931336334,0.10171640092048093,-0.0870361328125,-0.34326171875,0.08511161804199219,0.8695652173913043,0.42028985507246375,True,heterogeneous,-0.11201932326607082,-0.07054723725802657,0.11860247625820879
G2:L16H1:change,noise,69,-0.06848527210346167,0.09802004392596259,-0.0540771484375,-0.38812255859375,0.162353515625,0.7681159420289855,0.34782608695652173,False,below_rule,-0.09528372171132461,-0.0423458441875983,0.19215738946113034
G2:L16H1:change,restore,69,-0.07698095708653546,0.09985169811525206,-0.0419158935546875,-0.9805908203125,0.2641754150390625,0.7971014492753623,0.34782608695652173,False,below_rule,-0.11719726185867752,-0.04367705220761508,0.2054253315580064
G2:L16H1:conditional,noise,69,0.7967302574627642,0.8034679768741995,0.6536865234375,-0.12856948375701904,2.196044921875,0.9710144927536232,1.0,True,coherent,0.6817538441523262,0.9162927888441773,0.921071021453194
G2:L16H1:conditional,restore,69,0.7804250578949417,0.7907572483670884,0.74322509765625,-0.31024169921875,2.1189727783203125,0.9565217391304348,0.9710144927536232,True,coherent,0.6653469704199528,0.9008405125659444,0.7784051204073257
G2:L16H21:change,noise,69,-0.029001610866491345,0.09978348448656607,-0.02518463134765625,-0.520843505859375,0.35356903076171875,0.6086956521739131,0.37681159420289856,False,below_rule,-0.06290532557860665,0.0037911181000695494,0.19095640942670297
G2:L16H21:change,restore,69,-0.07199845797773721,0.13993315765823144,-0.0220947265625,-1.28564453125,0.3182373046875,0.5942028985507246,0.37681159420289856,True,heterogeneous,-0.13466296506964642,-0.019119155925253168,0.20104842255080957
G2:L16H21:conditional,noise,69,0.9017170460327811,0.910003674203071,0.792694091796875,-0.285888671875,2.746337890625,0.9855072463768116,1.0,True,coherent,0.767059269633846,1.043041476089021,0.6665441920791847
G2:L16H21:conditional,restore,69,0.9905105259107507,0.9921858967214391,0.82110595703125,-0.05780029296875,3.611968994140625,0.9855072463768116,0.9710144927536232,True,coherent,0.8288102257078972,1.168013931357342,0.6263862831005151
G2:L16H31:change,noise,69,0.015278779942056408,0.025918672050254932,0.010467529296875,-0.09356689453125,0.12017822265625,0.6811594202898551,0.028985507246376812,False,below_rule,0.007553086505419966,0.022971231047657935,0.048732270365175995
G2:L16H31:change,restore,69,0.019158017808112545,0.025193394094273663,0.01531982421875,-0.085479736328125,0.14505767822265625,0.7971014492753623,0.028985507246376812,False,below_rule,0.012085962381915769,0.02655925370644831,0.04908202351003453
G2:L16H31:conditional,noise,69,-0.17553169312684433,0.17693138640859854,-0.1463775634765625,-0.5068359375,0.03724205493927002,0.9710144927536232,0.7101449275362319,True,coherent,-0.20400533697743345,-0.14841719338859338,0.3049004077911377
G2:L16H31:conditional,restore,69,-0.1714741181636202,0.173016803852026,-0.15582275390625,-0.550537109375,0.02685546875,0.9710144927536232,0.6956521739130435,True,coherent,-0.19884997727214426,-0.14575115442276002,0.2915219984192779
G2:L17H24:change,noise,69,-0.02166439657625945,0.04509828919949739,-0.0159149169921875,-0.1544189453125,0.180511474609375,0.7391304347826086,0.14492753623188406,False,below_rule,-0.03512689514436584,-0.007330154508784209,0.09328021519425986
G2:L17H24:change,restore,69,-0.023419518401657326,0.043153209962706635,-0.0245361328125,-0.233612060546875,0.1990833282470703,0.7246376811594203,0.057971014492753624,False,below_rule,-0.03724439593328946,-0.00975711967634118,0.09652953216995018
G2:L17H24:conditional,noise,69,0.3924473144006038,0.3929285191107487,0.3594970703125,-0.0166015625,0.8675537109375,0.9855072463768116,0.9710144927536232,True,coherent,0.3485571663880694,0.43674642849659573,0.7794612490612528
G2:L17H24:conditional,restore,69,0.3855667390685151,0.3855667390685151,0.3521575927734375,0.037109375,0.9473876953125,1.0,0.9565217391304348,True,coherent,0.34389479246692384,0.4291071247363436,0.7635974607605865
G2:L18H19:change,noise,69,-0.07011649055757384,0.2609289746353592,-0.038360595703125,-0.7404632568359375,0.7983245849609375,0.5942028985507246,0.7536231884057971,True,heterogeneous,-0.14611883798371192,0.007829438128333154,0.4172723638838616
G2:L18H19:change,restore,69,-0.0688263091488161,0.26110590368077374,-0.0698394775390625,-1.2621526718139648,0.7051239013671875,0.6086956521739131,0.7681159420289855,True,heterogeneous,-0.15324589601461439,0.01019949671150969,0.4015105565388997
G2:L18H19:conditional,noise,69,2.999632754187653,2.999632754187653,3.046417236328125,0.126953125,5.727813720703125,1.0,1.0,True,coherent,2.7713975602302,3.225290684380393,2.0649054465086563
G2:L18H19:conditional,restore,69,3.1136119192925054,3.1136119192925054,3.0965576171875,0.2943115234375,6.120361328125,1.0,1.0,True,coherent,2.86571455122768,3.3624417503674824,2.294818311497785
G2:L19H16:change,noise,69,-0.057438081589297973,0.10009520468504532,-0.02566814422607422,-0.65240478515625,0.2618408203125,0.6231884057971014,0.37681159420289856,True,heterogeneous,-0.090559343194616,-0.026107284210730292,0.17073477523914282
G2:L19H16:change,restore,69,-0.07530287728793379,0.11613498217817667,-0.0516357421875,-0.55419921875,0.202392578125,0.6521739130434783,0.4057971014492754,True,heterogeneous,-0.11273468974707783,-0.040869431737540436,0.19470451189124066
G2:L19H16:conditional,noise,69,-0.8682089525720348,0.8691359792930492,-0.8172607421875,-2.5779075622558594,0.031982421875,0.9855072463768116,0.9710144927536232,True,coherent,-0.9905697691699733,-0.752577388804892,0.5245197441266931
G2:L19H16:conditional,restore,69,-0.8835542167442433,0.8835542167442433,-0.8542633056640625,-2.3427734375,-0.0791015625,1.0,0.9565217391304348,True,coherent,-0.9936979153881902,-0.7771624535754108,0.5202358494634214
G2:L20H7:change,noise,69,0.06232610128927922,0.12300205403479977,0.04095458984375,-0.337432861328125,0.6135940551757812,0.6376811594202898,0.42028985507246375,True,heterogeneous,0.024071587946103968,0.10318832393141758,0.13903435071309408
G2:L20H7:change,restore,69,0.024258015812307163,0.09292647112970767,0.011928558349609375,-0.364471435546875,0.41064453125,0.5942028985507246,0.37681159420289856,False,below_rule,-0.005481162019397901,0.055004821566567844,0.1506595266038093
G2:L20H7:conditional,noise,69,0.0510472992192144,0.31137697420258453,-0.0494384765625,-0.839630126953125,1.19439697265625,0.391304347826087,0.7246376811594203,True,heterogeneous,-0.049051368754843006,0.1573345847751783,0.24176559240921683
G2:L20H7:conditional,restore,69,0.08120975978132608,0.29790850998698803,-0.01094818115234375,-0.5720577239990234,1.69775390625,0.4492753623188406,0.7246376811594203,True,heterogeneous,-0.015522717997647713,0.18568227913068683,0.24636082718337793
G2:L22H5:change,noise,69,0.10606542704761893,0.133108945860379,0.06671142578125,-0.158203125,0.58251953125,0.7391304347826086,0.4492753623188406,True,coherent,0.07021489523459172,0.14305043566054193,0.2048429026119951
G2:L22H5:change,restore,69,0.10691515604654948,0.1376822374869084,0.06518173217773438,-0.2369537353515625,0.472564697265625,0.7101449275362319,0.5072463768115942,True,coherent,0.07022197799406191,0.14432436556055922,0.2297017747077389
G2:L22H5:conditional,noise,69,1.0636612867963486,1.0636612867963486,1.0429954528808594,0.023193359375,2.4217529296875,1.0,0.9710144927536232,True,coherent,0.9593691517909368,1.1740876539893772,0.7502970799155857
G2:L22H5:conditional,restore,69,1.0916535612465679,1.0916535612465679,1.047882080078125,0.0224609375,2.270751953125,1.0,0.9710144927536232,True,coherent,0.9875391099763954,1.1975728622381236,0.8185047481371008
G2:L23H15:change,noise,69,0.01344597339630127,0.09630736233531564,0.0240478515625,-0.33441925048828125,0.4775390625,0.5942028985507246,0.3333333333333333,False,below_rule,-0.01843386028987774,0.045446069344230296,0.16621975622315338
G2:L23H15:change,restore,69,0.019639986148778942,0.10122118479963663,0.04583740234375,-0.4541778564453125,0.4301300048828125,0.6376811594202898,0.34782608695652173,True,heterogeneous,-0.011949924800706946,0.05101409096648726,0.1739313913428265
G2:L23H15:conditional,noise,69,-0.9327477838682092,0.9327477838682092,-0.815948486328125,-3.398651123046875,-0.046630859375,1.0,0.9710144927536232,True,coherent,-1.0747594460629035,-0.8045313424390296,0.49191939658012945
G2:L23H15:conditional,restore,69,-0.8884460787842239,0.8904168951338616,-0.7947998046875,-2.4869537353515625,0.049072265625,0.9710144927536232,0.9710144927536232,True,coherent,-1.0019943655401038,-0.7833727411601854,0.4115355878636457
G2:L26H23:change,noise,69,-0.002025250075519949,0.02564856453218322,0.0001220703125,-0.200927734375,0.1618366241455078,0.4927536231884058,0.028985507246376812,False,below_rule,-0.012490963072016619,0.007983034892358623,0.04289153347844663
G2:L26H23:change,restore,69,-0.005456965902577276,0.031949402629465294,-0.0002593994140625,-0.218231201171875,0.10488510131835938,0.5072463768115942,0.057971014492753624,False,below_rule,-0.0181063213210175,0.006041260387586502,0.04815975133923517
