group,population,kind,mode,direction,families,mean,mean_absolute,median,minimum,maximum,sign_fraction,above_tau_fraction,retained,classification,ci_low,ci_high,ma_ci_low,ma_ci_high
O1,core20,whole,donor,noise,20,5.745597648620605,5.745597648620605,5.896675109863281,3.39337158203125,8.359397888183594,1.0,1.0,True,coherent,5.137675375938415,6.354277029037475,5.137675375938415,6.354277029037475
O1,additional69,whole,donor,noise,69,5.735091409821441,5.735091409821441,5.53253173828125,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.308967906323032,6.156396158363507,5.308967906323032,6.156396158363507
O1,all89,whole,donor,noise,89,5.737452362360579,5.737452362360579,5.6357421875,0.527587890625,10.0443115234375,1.0,1.0,True,coherent,5.383246634649427,6.090313633640161,5.383246634649427,6.090313633640161
O2,core20,whole,donor,noise,20,1.841701912879944,1.841701912879944,1.5671234130859375,0.621826171875,3.80131196975708,1.0,1.0,True,coherent,1.479018940925598,2.2331401485204694,1.479018940925598,2.2331401485204694
O3,core20,whole,donor,noise,20,6.64134635925293,6.64134635925293,6.566944122314453,3.20367431640625,9.133773803710938,1.0,1.0,True,coherent,5.868248367309571,7.384666690826415,5.868248367309571,7.384666690826415
O3,additional69,whole,donor,noise,69,6.495489339897598,6.495489339897598,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.043708847052809,6.92543822950211,6.043708847052809,6.92543822950211
O3,all89,whole,donor,noise,89,6.528266198179695,6.528266198179695,6.578322410583496,0.4808349609375,11.339691162109375,1.0,1.0,True,coherent,6.1416965303796065,6.905443288770954,6.1416965303796065,6.905443288770954
O4,core20,whole,donor,noise,20,5.643379020690918,5.643379020690918,5.778144836425781,3.35931396484375,8.119377136230469,1.0,1.0,True,coherent,5.051795473098755,6.238350305557249,5.051795473098755,6.238350305557249
O4,additional69,whole,donor,noise,69,5.625531977501469,5.625531977501469,5.41278076171875,0.413330078125,9.85308837890625,1.0,1.0,True,coherent,5.20166281738143,6.045255706275718,5.20166281738143,6.045255706275718
O4,all89,whole,donor,noise,89,5.629542549004715,5.629542549004715,5.5997314453125,0.413330078125,9.85308837890625,1.0,1.0,True,coherent,5.278754869203889,5.977417690432473,5.278754869203889,5.977417690432473
I1,core20,whole,donor,noise,20,5.440044498443603,5.440044498443603,5.581367492675781,2.95367431640625,7.633049011230469,1.0,1.0,True,coherent,4.854718987941743,6.012103154659271,4.854718987941743,6.012103154659271
I1,additional69,whole,donor,noise,69,5.310402213663295,5.310402213663295,5.315185546875,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.890594623399817,5.73006737180378,4.890594623399817,5.73006737180378
I1,all89,whole,donor,noise,89,5.339535311366735,5.339535311366735,5.37152099609375,0.461181640625,9.544921875,1.0,1.0,True,coherent,4.989556100663174,5.688268264090077,4.989556100663174,5.688268264090077
I2,core20,whole,donor,noise,20,5.559914207458496,5.559914207458496,5.5944671630859375,2.98089599609375,7.836509704589844,1.0,1.0,True,coherent,4.93645302772522,6.169891443252563,4.93645302772522,6.169891443252563
I2,additional69,whole,donor,noise,69,5.4320252114448,5.4320252114448,5.3272705078125,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,4.999225559787473,5.868234818741895,4.999225559787473,5.868234818741895
I2,all89,whole,donor,noise,89,5.460764311672596,5.460764311672596,5.3992919921875,0.380615234375,10.03887939453125,1.0,1.0,True,coherent,5.094805681035759,5.825033376725871,5.094805681035759,5.825033376725871
I3,core20,whole,donor,noise,20,5.706062889099121,5.706062889099121,5.930702209472656,3.2784423828125,8.180397033691406,1.0,1.0,True,coherent,5.113584384918213,6.291238241195679,5.113584384918213,6.291238241195679
I3,additional69,whole,donor,noise,69,5.5358854722285615,5.5358854722285615,5.57366943359375,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.1128697238106655,5.9599644787069685,5.1128697238106655,5.9599644787069685
I3,all89,whole,donor,noise,89,5.574127588379249,5.574127588379249,5.57586669921875,0.486083984375,9.8026123046875,1.0,1.0,True,coherent,5.219662127601967,5.926222226994761,5.219662127601967,5.926222226994761
I4,core20,whole,donor,noise,20,1.7184289932250976,1.7184289932250976,1.4703559875488281,0.48211669921875,3.6494598388671875,1.0,1.0,True,coherent,1.3826182651519776,2.0776683282852164,1.3826182651519776,2.0776683282852164
