family,mode,direction,background,effect
0,donor,noise,intact,0.66796875
2,donor,noise,intact,-0.1943359375
4,donor,noise,intact,1.173919677734375
6,donor,noise,intact,-0.611083984375
8,donor,noise,intact,0.8614501953125
12,donor,noise,intact,-0.051483154296875
14,donor,noise,intact,0.26287841796875
16,donor,noise,intact,-0.5558624267578125
20,donor,noise,intact,-0.40953540802001953
24,donor,noise,intact,0.18459320068359375
26,donor,noise,intact,1.1756591796875
28,donor,noise,intact,0.00244140625
30,donor,noise,intact,0.1094970703125
32,donor,noise,intact,1.4116363525390625
34,donor,noise,intact,1.0535588264465332
36,donor,noise,intact,0.930023193359375
38,donor,noise,intact,-1.17138671875
40,donor,noise,intact,-0.603729248046875
44,donor,noise,intact,-0.0194091796875
46,donor,noise,intact,0.2638053894042969
48,donor,noise,intact,0.0151824951171875
50,donor,noise,intact,-0.101318359375
52,donor,noise,intact,-0.341766357421875
54,donor,noise,intact,-0.62554931640625
56,donor,noise,intact,0.2930145263671875
58,donor,noise,intact,1.018157958984375
60,donor,noise,intact,-0.03484344482421875
62,donor,noise,intact,0.3341178894042969
64,donor,noise,intact,-0.99810791015625
66,donor,noise,intact,-0.8238525390625
68,donor,noise,intact,-1.3623046875
70,donor,noise,intact,0.230712890625
72,donor,noise,intact,-0.823486328125
76,donor,noise,intact,-1.050262451171875
78,donor,noise,intact,0.404052734375
80,donor,noise,intact,0.129638671875
82,donor,noise,intact,-0.1859130859375
84,donor,noise,intact,0.5564422607421875
86,donor,noise,intact,-0.0833740234375
88,donor,noise,intact,-0.60687255859375
90,donor,noise,intact,0.20645523071289062
92,donor,noise,intact,0.80877685546875
94,donor,noise,intact,0.89349365234375
96,donor,noise,intact,-0.15247344970703125
98,donor,noise,intact,0.47861480712890625
100,donor,noise,intact,0.182708740234375
102,donor,noise,intact,2.430809497833252
104,donor,noise,intact,-0.435516357421875
108,donor,noise,intact,0.2845649719238281
110,donor,noise,intact,-0.08203125
112,donor,noise,intact,0.9078445434570312
114,donor,noise,intact,1.142608642578125
116,donor,noise,intact,0.35870361328125
118,donor,noise,intact,0.429443359375
120,donor,noise,intact,0.07159423828125
122,donor,noise,intact,0.5339498519897461
124,donor,noise,intact,-0.88006591796875
126,donor,noise,intact,-0.49298095703125
128,donor,noise,intact,0.07958984375
130,donor,noise,intact,-1.2005767822265625
132,donor,noise,intact,1.07080078125
134,donor,noise,intact,0.3193359375
136,donor,noise,intact,0.698974609375
138,donor,noise,intact,-1.027252197265625
140,donor,noise,intact,0.415771484375
142,donor,noise,intact,-0.21240234375
148,donor,noise,intact,-0.088134765625
150,donor,noise,intact,0.092620849609375
152,donor,noise,intact,-0.686767578125
154,donor,noise,intact,0.2106475830078125
156,donor,noise,intact,0.68621826171875
158,donor,noise,intact,0.3204345703125
160,donor,noise,intact,-0.6555032730102539
162,donor,noise,intact,-0.09619140625
166,donor,noise,intact,0.489471435546875
168,donor,noise,intact,-0.8203125
170,donor,noise,intact,2.1226806640625
172,donor,noise,intact,0.517730712890625
174,donor,noise,intact,-0.99755859375
176,donor,noise,intact,0.70623779296875
178,donor,noise,intact,-0.18428421020507812
180,donor,noise,intact,-0.299285888671875
182,donor,noise,intact,2.486328125
186,donor,noise,intact,-0.51373291015625
188,donor,noise,intact,0.858245849609375
192,donor,noise,intact,-0.224609375
194,donor,noise,intact,-0.7544279098510742
196,donor,noise,intact,-0.8125
198,donor,noise,intact,0.74700927734375
0,donor,noise,weakened,0.73956298828125
2,donor,noise,weakened,-0.35604190826416016
4,donor,noise,weakened,1.59637451171875
6,donor,noise,weakened,-0.713775634765625
8,donor,noise,weakened,0.569244384765625
12,donor,noise,weakened,-0.3065185546875
14,donor,noise,weakened,0.1595458984375
16,donor,noise,weakened,-0.65484619140625
20,donor,noise,weakened,-0.4051246643066406
24,donor,noise,weakened,0.1788330078125
26,donor,noise,weakened,1.148529052734375
28,donor,noise,weakened,-0.0546875
30,donor,noise,weakened,0.365478515625
32,donor,noise,weakened,1.63037109375
34,donor,noise,weakened,1.026885986328125
36,donor,noise,weakened,0.985107421875
38,donor,noise,weakened,-1.536834716796875
40,donor,noise,weakened,-0.77313232421875
44,donor,noise,weakened,0.2590113878250122
46,donor,noise,weakened,0.37677001953125
48,donor,noise,weakened,0.09967041015625
50,donor,noise,weakened,0.223724365234375
52,donor,noise,weakened,-0.290863037109375
54,donor,noise,weakened,-0.4541473388671875
56,donor,noise,weakened,0.252410888671875
58,donor,noise,weakened,0.9109344482421875
60,donor,noise,weakened,-0.1533203125
62,donor,noise,weakened,0.7649812698364258
64,donor,noise,weakened,-1.07012939453125
66,donor,noise,weakened,-0.81640625
68,donor,noise,weakened,-1.1405372619628906
70,donor,noise,weakened,0.301727294921875
72,donor,noise,weakened,-0.58673095703125
76,donor,noise,weakened,-1.1727142333984375
78,donor,noise,weakened,1.4116668701171875
80,donor,noise,weakened,0.2625732421875
82,donor,noise,weakened,-0.030914306640625
84,donor,noise,weakened,0.8318634033203125
86,donor,noise,weakened,-0.170318603515625
88,donor,noise,weakened,-0.6104583740234375
90,donor,noise,weakened,0.31988525390625
92,donor,noise,weakened,0.7669410705566406
94,donor,noise,weakened,0.9876632690429688
96,donor,noise,weakened,0.130859375
98,donor,noise,weakened,0.17919921875
100,donor,noise,weakened,0.1229400634765625
102,donor,noise,weakened,2.60882568359375
104,donor,noise,weakened,-0.30269622802734375
108,donor,noise,weakened,0.326324462890625
110,donor,noise,weakened,0.087646484375
112,donor,noise,weakened,1.54412841796875
114,donor,noise,weakened,1.0237274169921875
116,donor,noise,weakened,0.227630615234375
118,donor,noise,weakened,0.92437744140625
120,donor,noise,weakened,0.277374267578125
122,donor,noise,weakened,0.44830322265625
124,donor,noise,weakened,-0.91546630859375
126,donor,noise,weakened,-0.48590087890625
128,donor,noise,weakened,0.012237548828125
130,donor,noise,weakened,-1.36920166015625
132,donor,noise,weakened,1.0418701171875
134,donor,noise,weakened,0.4355010986328125
136,donor,noise,weakened,0.881591796875
138,donor,noise,weakened,-0.9015350341796875
140,donor,noise,weakened,0.28676605224609375
142,donor,noise,weakened,-0.051025390625
148,donor,noise,weakened,-0.0843505859375
150,donor,noise,weakened,0.449310302734375
152,donor,noise,weakened,-0.473724365234375
154,donor,noise,weakened,0.435546875
156,donor,noise,weakened,0.8133087158203125
158,donor,noise,weakened,0.3846435546875
160,donor,noise,weakened,-0.666015625
162,donor,noise,weakened,-0.13818359375
166,donor,noise,weakened,0.4453125
168,donor,noise,weakened,-0.8260498046875
170,donor,noise,weakened,2.408935546875
172,donor,noise,weakened,0.53192138671875
174,donor,noise,weakened,-1.0068359375
176,donor,noise,weakened,0.787933349609375
178,donor,noise,weakened,-0.19512939453125
180,donor,noise,weakened,0.09088134765625
182,donor,noise,weakened,2.75537109375
186,donor,noise,weakened,-0.4725341796875
188,donor,noise,weakened,0.997802734375
192,donor,noise,weakened,-0.22136306762695312
194,donor,noise,weakened,-0.67486572265625
196,donor,noise,weakened,-0.87213134765625
198,donor,noise,weakened,0.61907958984375
0,donor,restore,intact,0.9268341064453125
2,donor,restore,intact,0.319000244140625
4,donor,restore,intact,1.557281494140625
6,donor,restore,intact,-0.251953125
8,donor,restore,intact,0.6199951171875
12,donor,restore,intact,0.028350830078125
14,donor,restore,intact,0.721160888671875
16,donor,restore,intact,0.49224853515625
20,donor,restore,intact,0.3079833984375
24,donor,restore,intact,-0.560211181640625
26,donor,restore,intact,1.29779052734375
28,donor,restore,intact,-0.0892333984375
30,donor,restore,intact,0.50439453125
32,donor,restore,intact,0.380035400390625
34,donor,restore,intact,1.015380859375
36,donor,restore,intact,-0.4797821044921875
38,donor,restore,intact,0.383026123046875
40,donor,restore,intact,0.0709228515625
44,donor,restore,intact,0.91021728515625
46,donor,restore,intact,0.1954498291015625
48,donor,restore,intact,-0.3206787109375
50,donor,restore,intact,-0.238037109375
52,donor,restore,intact,0.039764404296875
54,donor,restore,intact,0.4764404296875
56,donor,restore,intact,-0.248260498046875
58,donor,restore,intact,0.1702880859375
60,donor,restore,intact,0.900390625
62,donor,restore,intact,1.2037200927734375
64,donor,restore,intact,1.1867218017578125
66,donor,restore,intact,-0.023351669311523438
68,donor,restore,intact,0.6260986328125
70,donor,restore,intact,-0.36104583740234375
72,donor,restore,intact,-0.7470703125
76,donor,restore,intact,1.236297607421875
78,donor,restore,intact,2.0224609375
80,donor,restore,intact,0.84039306640625
82,donor,restore,intact,0.8974609375
84,donor,restore,intact,-0.3216552734375
86,donor,restore,intact,0.19329833984375
88,donor,restore,intact,-0.1073455810546875
90,donor,restore,intact,-0.05373382568359375
92,donor,restore,intact,0.2724609375
94,donor,restore,intact,0.462982177734375
96,donor,restore,intact,1.21875
98,donor,restore,intact,-0.28448486328125
100,donor,restore,intact,-0.9869384765625
102,donor,restore,intact,1.103759765625
104,donor,restore,intact,-0.47381591796875
108,donor,restore,intact,0.23130416870117188
110,donor,restore,intact,0.61883544921875
112,donor,restore,intact,0.78741455078125
114,donor,restore,intact,-0.95233154296875
116,donor,restore,intact,0.8449478149414062
118,donor,restore,intact,0.8966064453125
120,donor,restore,intact,0.3466796875
122,donor,restore,intact,-0.093109130859375
124,donor,restore,intact,-0.5518798828125
126,donor,restore,intact,0.44329833984375
128,donor,restore,intact,-0.3011474609375
130,donor,restore,intact,-0.864013671875
132,donor,restore,intact,-0.3753662109375
134,donor,restore,intact,-0.7003173828125
136,donor,restore,intact,1.1971435546875
